Patent,Inventor,Filing Date
US7005118,DOMINGUEZ ESQUIVEL JOSE MANUEL,17/07/2003
US10364386,DOMINGUEZ ESQUIVEL JOSE MANUEL,19/09/2013
US9790446,DOMINGUEZ ESQUIVEL JOSE MANUEL,22/10/2014
US10551335,DOMINGUEZ ESQUIVEL JOSE MANUEL,31/03/2017
US11760944,DOMINGUEZ ESQUIVEL JOSE MANUEL,17/07/2020
US6270785,POSSANI POSTAY LOURIVAL DOMINGOS,01/04/1998
US7381802,POSSANI POSTAY LOURIVAL DOMINGOS,17/04/2006
US9951135,POSSANI POSTAY LOURIVAL DOMINGOS,17/06/2014
US8447690,SALMON SALAZAR MANUEL DE JESUS,09/09/2010
US8666756,SALMON SALAZAR MANUEL DE JESUS,05/02/2013
US7981275,Lozada y Cassou Marcelo,10/10/2003
US7645439,Lozada y Cassou Marcelo,04/05/2005
US7416655,Lozada y Cassou Marcelo,04/05/2005
US8946110,Lozada y Cassou Marcelo,22/08/2006
US9221803,Lozada y Cassou Marcelo,04/11/2008
US8722588,Lozada y Cassou Marcelo,05/10/2009
US7799313,Lozada y Cassou Marcelo,23/11/2009
US8815960,Lozada y Cassou Marcelo,10/12/2009
US9120885,Lozada y Cassou Marcelo,21/09/2010
US9404052,Lozada y Cassou Marcelo,10/04/2012
US8658126,Lozada y Cassou Marcelo,19/06/2012
US9074982,Lozada y Cassou Marcelo,30/08/2012
US9518231,Lozada y Cassou Marcelo,23/07/2014
US9932430,Lozada y Cassou Marcelo,08/12/2014
US6777193,BAEZA RAMIREZ MARIA ISABEL,04/08/2000
US7867723,BAEZA RAMIREZ MARIA ISABEL,14/06/2004
US7169012,RUIZ SCHNEIDER ELFEGO GUILLERMO,05/01/2006
US11478896,RUIZ SCHNEIDER ELFEGO GUILLERMO,08/11/2017
US8979698,Chicurel Uziel Ricardo,06/02/2013
US8287860,Alagon Cano Alejandro,29/08/2005
US8075893,Alagon Cano Alejandro,02/12/2008
US8512706,Alagon Cano Alejandro,17/11/2011
US8541551,Alagon Cano Alejandro,11/09/2012
US7968069,RAMIREZ SOLIS JORGE FERNANDO,18/10/2006
US9896628,RAMIREZ SOLIS JORGE FERNANDO,06/11/2013
US10030202,RAMIREZ SOLIS JORGE FERNANDO,24/01/2018
US8354019,CANO DOMINGUEZ JOSE LUIS,23/11/2007
US6528492,LARA OCHOA JOSE MANUEL FRANCISCO,20/09/2001
US9537606,RODRIGUEZ RODRIGUEZ JOAQUIN HECTOR,25/09/2013
US8563626,Olayo Gonzalez Roberto,01/06/2007
US9927012,CHICUREL Y UZIEL ENRIQUE JAIME,29/10/2015
US10316215,CASTAÑO MENESES VICTOR MANUEL,29/09/2015
US9873947,PEREZ ROBLES JUAN FRANCISCO,19/12/2013
US9739721,MARCHETTI TIRABOSCHI SERGIO VLADIMIRO,27/10/2016
US8324185,ROSADO LORIA JORGE LUIS,18/07/2005
US8178515,ROSADO LORIA JORGE LUIS,08/10/2009
US8536362,ROSADO LORIA JORGE LUIS,22/03/2012
US9591872,ROSADO LORIA JORGE LUIS,26/07/2012
US9492466,ROSADO LORIA JORGE LUIS,14/03/2013
US8501663,ELIZALDE GONZALEZ MARIA DE LA PAZ,26/06/2009
US7435564,SERNA SALDIVAR SERGIO ROMAN OTHON,28/09/2004
US7763292,SERNA SALDIVAR SERGIO ROMAN OTHON,10/05/2005
US8470858,SERNA SALDIVAR SERGIO ROMAN OTHON,09/09/2008
US9585928,SERNA SALDIVAR SERGIO ROMAN OTHON,25/03/2013
USPP35505,GARZON TIZNADO JOSE ANTONIO,23/11/2022
US10239842,IBARRA VELARDE OSVALDO FROYLAN,25/11/2015
US6048700,MONTARAZ CRESPO JUAN ANTONIO,07/06/1995
US6127151,MONTARAZ CRESPO JUAN ANTONIO,07/06/1995
US6210685,MONTARAZ CRESPO JUAN ANTONIO,17/06/1999
US10851386,HERRERA ESTRELLA LUIS RAFAEL,27/07/2012
US9446122,SCIUTTO CONDE EDDA LYDIA,28/07/2012
US11020449,SCIUTTO CONDE EDDA LYDIA,18/05/2017
US11746207,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,14/06/2018
US8354019,LAREDO SANCHEZ GEORGINA CECILIA,23/11/2007
US9777029,LAREDO SANCHEZ GEORGINA CECILIA,09/12/2015
US11110550,ACOSTA ORTIZ SOFIA ELIZABETH,22/11/2016
US9220697,ALONSO VILATELA MARIA ELISA,15/07/2005
US7829279,ALONSO VILATELA MARIA ELISA,15/07/2005
US10260099,ALONSO VILATELA MARIA ELISA,24/11/2015
US10913980,ALONSO VILATELA MARIA ELISA,05/11/2018
US8855774,VEGA Y SAENZ DE MIERA MARIA DEL ROSARIO GUADALUPE,14/09/2012
US11721233,VEGA Y SAENZ DE MIERA MARIA DEL ROSARIO GUADALUPE,08/05/2020
US8354019,Hernandez Perez Fidencio,23/11/2007
US11059027,Hernandez Perez Fidencio,28/09/2018
US6159436,CASTILLEJOS ESCOBAR ALFONSO HUMBERTO,18/11/1996
US9533260,PACHECO SOTELO JOEL OSVALDO,03/07/2013
US10239842,VERA MONTENEGRO REMEDIOS YOLANDA,25/11/2015
US8343514,LOPEZ GOERNE TESSY MARIA,06/06/2006
US8563283,GOSSET LAGARDA GUILLERMO,06/08/2010
US9474268,ANGELES ALVAREZ PEDRO GUILLERMO,15/01/2013
US9920264,AGUILAR ESCALANTE RODOLFO ANTONIO,30/08/2012
US8506997,SOTO PEREDO CLAUDIA ANGELICA,01/05/2009
US9625432,GORDILLO MOSCOSO JOSE LUIS,28/11/2013
US8992442,Gallegos Cazares Sergio,05/09/2008
US6965063,TORRES MONTALVO JOSE HERIBERTO,16/10/2002
US7435564,RITO PALOMARES MARCO ANTONIO,28/09/2004
US8178321,RITO PALOMARES MARCO ANTONIO,16/08/2007
US9289172,ROFFE SAMANIEGO NORMA FRIDA,17/12/2014
US8563283,MARTINEZ JIMENEZ ALFREDO,06/08/2010
US9580332,MORAN PINEDA FLORENCIA MARINA,20/06/2013
US10017397,MORAN PINEDA FLORENCIA MARINA,05/01/2017
US5922603,HERRERA ESTRELLA ALFREDO HERIBERTO,25/07/1997
US7670830,HERRERA ESTRELLA ALFREDO HERIBERTO,06/10/2005
US6342375,VIADER SALVADO JOSE MARIA,21/07/1999
US9492466,REYES ESPARZA JORGE ALBERTO,14/03/2013
US7169012,LUNA AGUILAR ESTEBAN ANTOLIN,05/01/2006
US11478896,LUNA AGUILAR ESTEBAN ANTOLIN,08/11/2017
US7651604,Ancheyta Juarez Jorge,09/07/2003
US7968069,Ancheyta Juarez Jorge,18/10/2006
US9133401,Ancheyta Juarez Jorge,26/05/2008
US9387466,Ancheyta Juarez Jorge,27/11/2008
US8431018,Ancheyta Juarez Jorge,03/03/2010
US9771528,Ancheyta Juarez Jorge,10/03/2010
US9920264,Ancheyta Juarez Jorge,30/08/2012
US9896628,Ancheyta Juarez Jorge,06/11/2013
US9969945,Ancheyta Juarez Jorge,15/07/2015
US9901908,Ancheyta Juarez Jorge,22/07/2015
