Alvarez-Majmutov, Anton (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Molecular-Level Modeling and Simulation of Vacuum Gas Oil Hydrocracking","Alvarez-Majmutov, Anton; Chen, Jinwen; Gieleciak, Rafal","","","","ENERGY & FUELS","JAN 2016","2016","30","1","","","","138","148","","10.1021/acs.energyfuels.5b02084","","","32","3.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","8","1","7","3","2","2"
"Deriving the Molecular Composition of Vacuum Distillates by Integrating Statistical Modeling and Detailed Hydrocarbon Characterization","Alvarez-Majmutov, Anton; Gieleciak, Rafal; Chen, Jinwen","","","","ENERGY & FUELS","DEC 2015","2015","29","12","","","","7931","7940","","10.1021/acs.energyfuels.5b02082","","","32","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","8","1","7","3","2","2"
"Co-processing of Hydrothermal Liquefaction Biocrude with Vacuum Gas Oil through Hydrotreating and Hydrocracking to Produce Low-Carbon Fuels","Badoga, Sandeep; Alvarez-Majmutov, Anton; Xing, Tingyong; Gieleciak, Rafal; Chen, Jinwen","","","","ENERGY & FUELS","JUN 18 2020","2020","34","6","","","","7160","7169","","10.1021/acs.energyfuels.0c00937","","","29","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","7","7"
"Co-hydroprocessing HTL Biocrude from Waste Biomass with Bitumen-Derived Vacuum Gas Oil","Xing, Tingyong; Alvarez-Majmutov, Anton; Gieleciak, Rafal; Chen, Jinwen","","","","ENERGY & FUELS","NOV 2019","2019","33","11","","","","11135","11144","","10.1021/acs.energyfuels.9b02711","","","27","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","9","4","5"
"Modeling the molecular composition of vacuum residue from oil sand bitumen","Alvarez-Majmutov, Anton; Gieleciak, Rafal; Chen, Jinwen","","","","FUEL","APR 1 2019","2019","241","","","","","744","752","","10.1016/j.fuel.2018.12.096","","","26","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7","3","5","3"
"Stochastic Modeling and Simulation Approach for Industrial Fixed Bed Hydrocrackers","Alvarez-Majmutov, Anton; Chen, Jinwen","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","JUN 21 2017","2017","56","24","","","","6926","6938","","10.1021/acs.iecr.7b01743","","","20","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","6","4","2"
"Deriving the Molecular Composition of Middle Distillates by Integrating Statistical Modeling with Advanced Hydrocarbon Characterization","Alvarez-Majmutov, Anton; Chen, Jinwen; Gieleciak, Rafal; Hager, Darcy; Heshka, Nicole; Salmon, Sara","","","","ENERGY & FUELS","DEC 2014","2014","28","12","","","","7385","7393","","10.1021/ef5018169","","","19","1.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","0","4","0","2","5","3","0"
"Bitumen partial upgrading by mild hydroprocessing in a fixed-bed reactor","Xing, Tingyong; Alvarez-Majmutov, Anton; Chen, Jinwen","","","","FUEL","JAN 1 2019","2019","235","","","","","696","702","","10.1016/j.fuel.2018.08.058","","","18","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","1","3","3"
"Co-Processing of Deoxygenated Pyrolysis Bio-Oil with Vacuum Gas Oil through Hydrocracking","Alvarez-Majmutov, Anton; Badoga, Sandeep; Chen, Jinwen; Monnier, Jacques; Zhang, Yi","","","","ENERGY & FUELS","JUN 17 2021","2021","35","12","","","","9983","9993","","10.1021/acs.energyfuels.1c00822","","","17","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","5"
"Hydrogenation of Olefins in Bitumen-Derived Naphtha over a Commercial Hydrotreating Catalyst","Xin, Qin; Alvarez-Majmutov, Anton; Dettman, Heather D.; Chen, Jinwen","","","","ENERGY & FUELS","MAY 2018","2018","32","5","","","","6167","6175","","10.1021/acs.energyfuels.8b00344","","","17","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","1","2","2"
