Alvarez-Ramirez, Fernando (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Island versus Archipelago Architecture for Asphaltenes: Polycyclic Aromatic Hydrocarbon Dimer Theoretical Studies","Alvarez-Ramirez, Fernando; Ruiz-Morales, Yosadara","","","","ENERGY & FUELS","APR 2013","2013","27","4","","","","1791","1808","","10.1021/ef301522m","13th International Conference on Petroleum Phase Behavior and Fouling","JUN 10-14, 2012","105","8.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","5","6","11","11","9","15","12","14","10","6"
"Morphology of aggregated asphaltene structural models","Pacheco-Sánchez, JH; Alvarez-Ramírez, F; Martínez-Magadán, JM","","","","ENERGY & FUELS","NOV-DEC 2004","2004","18","6","","","","1676","1686","","10.1021/ef049911a","","","93","4.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","1","4","4","5","1","6","3","6","4","7","8","11","4","7","3","8","3"
"Calculation of the interaction potential curve between asphaltene-asphaltene, asphaltene-resin, and resin-resin systems using density functional theory","Alvarez-Ramirez, F; Ramirez-Jaramillo, E; Ruiz-Morales, Y","","","","ENERGY & FUELS","JAN-FEB 2006","2006","20","1","","","","195","204","","10.1021/ef0501795","","","86","4.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","4","1","6","2","4","1","3","5","6","5","9","5","8","8","7","2"
"Dissipative Particle Dynamics (DPD) Study of Crude Oil-Water Emulsions in the Presence of a Functionalized Co-polymer","Alvarez, Fernando; Flores, E. A.; Castro, L. V.; Hernandez, J. G.; Lopez, A.; Vazquez, F.","","","","ENERGY & FUELS","FEB 2011","2011","25","2","","","","562","567","","10.1021/ef1012038","11th International Conference on Petroleum Phase Behavior and Fouling","JUN 13-17, 2010","59","4.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","9","8","3","5","8","1","7","4","9","1"
"Synthesis of FAU(Y)- and MFI(ZSM5)-nanosized crystallites for catalytic cracking of 1,3,5-triisopropylbenzene","Morales-Pacheco, P.; Dominguez, J. M.; Bucio, L.; Alvarez, F.; Sedran, U.; Falco, M.","","","","CATALYSIS TODAY","MAY 30 2011","2011","166","1","","","SI","25","38","","10.1016/j.cattod.2010.07.005","2nd International Symposium on New Catalytic Materials","AUG 16-20, 2009","55","3.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","3","6","11","2","8","7","5","1","2","3","1"
"Synthesis and Structural Properties of Zeolitic Nanocrystals II: FAU-Type Zeolites","Morales-Pacheco, P.; Alvarez, F.; Bucio, L.; Dominguez, J. M.","","","","JOURNAL OF PHYSICAL CHEMISTRY C","FEB 12 2009","2009","113","6","","","","2247","2255","","10.1021/jp8070713","","","51","3.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","4","4","3","2","2","9","2","4","8","2","5"
"On the geometric structure of the (0001)hematite surface","Alvarez-Ramírez, F; Martínez-Magadán, JM; Gomes, JRB; Illas, F","","","","SURFACE SCIENCE","JUN 1 2004","2004","558","1-3","","","","4","14","","10.1016/j.susc.2004.04.009","","","49","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","1","2","4","2","3","2","2","2","8","5","1","3","3","3","1","0"
"Anion and cation effects of ionic liquids and ammonium salts evaluated as dehydrating agents for super-heavy crude oil: Experimental and theoretical points of view","Flores, Cesar A.; Flores, Eugenio A.; Hernandez, Edgar; Castro, Laura V.; Garcia, Antonieta; Alvarez, Fernando; Vazquez, Flavio S.","","","","JOURNAL OF MOLECULAR LIQUIDS","AUG 2014","2014","196","","","","","249","257","","10.1016/j.molliq.2014.03.044","","","48","4.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","1","6","9","7","7","5","1","2"
"<i>Ab initio</i> simulation of the structural and electronic properties of aluminosilicate and aluminogermanate natotubes with imogolite-like structure","Alvarez-Ramirez, Fernando","","","","PHYSICAL REVIEW B","SEP 2007","2007","76","12","","","","","","125421","10.1103/PhysRevB.76.125421","","","48","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","3","1","2","4","2","1","7","3","4","4","3","0","0","2","2"
"Synthesis, Characterization, and Evaluation of Petroleum Demulsifiers of Multibranched Block Copolymers","Hernandez, E. I.; Castro-Sotelo, L. V.; Avendano-Gomez, J. R.; Flores, C. A.; Alvarez-Ramirez, F.; Vazquez, F.","","","","ENERGY & FUELS","JUL 2016","2016","30","7","","","","5363","5378","","10.1021/acs.energyfuels.6b00419","","","43","4.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","6","5","6","7","6","2"
