Myriam Amezcua Allieri (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Technical and economical evaluation of bioethanol production from lignocellulosic residues in Mexico: Case of sugarcane and blue agave bagasses","Barrera, Iliana; Amezcua-Allieri, Myriam A.; Estupinan, Lorena; Martinez, Tabata; Aburto, Jorge","","","","CHEMICAL ENGINEERING RESEARCH & DESIGN","MAR 2016","2016","107","","","","SI","91","101","","10.1016/j.cherd.2015.10.015","","","68","7.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","10","11","9","15","9","5","4"
"Process simulation and techno-economic analysis of bio-jet fuel and green diesel production - Minimum selling prices","Martinez-Hernandez, Elias; Felipe Ramirez-Verduzco, Luis; Amezcua-Allieri, Myriam A.; Aburto, Jorge","","","","CHEMICAL ENGINEERING RESEARCH & DESIGN","JUN 2019","2019","146","","","","","60","70","","10.1016/j.cherd.2019.03.042","","","50","8.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","16","7","12","7"
"Techno-economic and greenhouse gas analyses of lignin valorization to eugenol and phenolic products in integrated ethanol biorefineries","Martinez-Hernandez, Elias; Cui, Xinguang; Scown, Corinne D.; Amezcua-Allieri, Myriam A.; Aburto, Jorge; Simmons, Blake A.","","","","BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR","JUL 2019","2019","13","4","","","","978","993","","10.1002/bbb.1989","","","40","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","12","8","4"
"Removal of polycyclic aromatic hydrocarbons from soil: A comparison between bioremoval and supercritical fluids extraction","Amezcua-Allieri, M. A.; Avila-Chavez, M. A.; Trejo, A.; Melendez-Estrada, J.","","","","CHEMOSPHERE","MAR 2012","2012","86","10","","","","985","993","","10.1016/j.chemosphere.2011.11.032","","","35","2.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","6","2","3","3","4","2","3","2","2","0"
"Techno-economic analysis and life cycle assessment for energy generation from sugarcane bagasse: Case study for a sugar mill in Mexico","Amezcua-Allieri, Myriam A.; Martinez-Hernandez, Elias; Anaya-Reza, Omar; Magdaleno-Molina, Moises; Melgarejo-Flores, Luis A.; Esther Palmerin-Ruiz, M.; Zermeno Eguia-Lis, Juan A.; Rosas-Molina, Andres; Enriquez-Poy, Manuel; Aburto, Jorge","","","","FOOD AND BIOPRODUCTS PROCESSING","NOV 2019","2019","118","","","","","281","292","","10.1016/j.fbp.2019.09.014","","","34","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","6","10","5"
"Study of Chemical and Enzymatic Hydrolysis of Cellulosic Material to Obtain Fermentable Sugars","Amezcua-Allieri, Myriam A.; Duran, Teresa Sanchez; Aburto, Jorge","","","","JOURNAL OF CHEMISTRY","2017","2017","2017","","","","","","","5680105","10.1155/2017/5680105","","","30","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","8","7","2","1"
"Impact of microbial activity on copper, lead and nickel mobilization during the bioremediation of soil PAHs","Amezcua-Allieri, MA; Lead, JR; Rodríguez-Vázquez, R","","","","CHEMOSPHERE","OCT 2005","2005","61","4","","","","484","491","","10.1016/j.chemosphere.2005.03.002","","","24","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","5","0","0","2","2","2","0","0","3","4","0","0","2","0","0","0"
"Unravelling the chemical reactions of fatty acids and triacylglycerides under hydrodeoxygenation conditions based on a comprehensive thermodynamic analysis","Valencia, Diego; Garcia-Cruz, Isidoro; Uc, Victor Hugo; Felipe Ramirez-Verduzco, Luis; Amezcua-Allieri, Myriam A.; Aburto, Jorge","","","","BIOMASS & BIOENERGY","MAY 2018","2018","112","","","","","37","44","","10.1016/j.biombioe.2018.02.014","","","22","3.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","4","5","4","2"
"Modelling to analyse the process and sustainability performance of forestry-based bioenergy systems","Martinez-Hernandez, Elias; Sadhukhan, Jhuma; Aburto, Jorge; Amezcua-Allieri, Myriam A.; Morse, Stephen; Murphy, Richard","","","","CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY","AUG 2022","2022","24","6","","","","1709","1725","","10.1007/s10098-022-02278-1","","","17","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","7"
"Changes of chromium behavior in soil during phenanthrene removal by <i>Penicillium frequentans</i>","Amezcua-Allieri, MA; Lead, JR; Rodríguez-Vázquez, R","","","","BIOMETALS","FEB 2005","2005","18","1","","","","23","29","","10.1007/s10534-004-5771-y","","","13","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","3","1","0","0","2","0","0","1","0","0","1"
