Guillermo Angeles (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IAWA LIST OF MICROSCOPIC BARK FEATURES","Angyalossy, Veronica; Pace, Marcelo R.; Evert, Ray F.; Marcati, Carmen R.; Oskolski, Alexei A.; Terrazas, Teresa; Kotina, Ekaterina; Lens, Frederic; Mazzoni-Viveiros, Solange C.; Angeles, Guillermo; Machado, Silvia R.; Crivellaro, Alan; Rao, Karumanchi S.; Junikka, Leo; Nikolaeva, Nadezhda; Baas, Pieter","IAWA Comm","","","IAWA JOURNAL","2016","2016","37","4","","","","517","517","","10.1163/22941932-20160151","","","164","18.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","13","25","23","37","18","22","19"
"An overview of the anatomy, development and evolution of the vascular system of lianas","Angyalossy, Veronica; Angeles, Guillermo; Pace, Marcelo R.; Lima, Andre C.; Dias-Leme, Claudia L.; Lohmann, Lucia G.; Madero-Vega, Carolina","","","","PLANT ECOLOGY & DIVERSITY","2012","2012","5","2","","","SI","167","182","","10.1080/17550874.2011.615574","","","92","7.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","8","6","3","6","8","11","15","13","10","3"
"Morphological and secretory characterization of extrafloral nectaries in plants of coastal Veracruz, Mexico","Díaz-Castelazo, C; Rico-Gray, V; Ortega, F; Angeles, G","","","","ANNALS OF BOTANY","DEC 2005","2005","96","7","","","","1175","1189","","10.1093/aob/mci270","","","80","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","2","3","11","7","3","3","6","3","8","6","3","7","2","5"
"Survey of root pressure in tropical vines and woody species","Fisher, JB; Angeles, G; Ewers, FW; LopezPortillo, J","","","","INTERNATIONAL JOURNAL OF PLANT SCIENCES","JAN 1997","1997","158","1","","","","44","50","","10.1086/297412","","","80","2.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","3","3","4","3","2","2","3","2","3","1","4","3","7","2","3","6","5","1","1","4","5","3","2","2"
"Sap salinity effects on xylem conductivity in two mangrove species","López-Portillo, J; Ewers, FW; Angeles, G","","","","PLANT CELL AND ENVIRONMENT","OCT 2005","2005","28","10","","","","1285","1292","","10.1111/j.1365-3040.2005.01366.x","","","69","3.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","1","2","4","8","2","2","10","3","3","6","0","2","2","5","5","2","1"
"The Cohesion-Tension theory","Angeles, G; Bond, B; Boyer, JS; Brodribb, T; Brooks, JR; Burns, MJ; Cavender-Bares, J; Clearwater, M; Cochard, H; Comstock, J; Davis, SD; Domec, JC; Donovan, L; Ewers, F; Gartner, B; Hacke, U; Hinckley, T; Holbrook, NM; Jones, HG; Kavanagh, K; Law, B; López-Portillo, J; Lovisolo, C; Martin, T; Martínez-Vilalta, J; Mayr, S; Meinzer, FC; Melcher, P; Mencuccini, M; Mulkey, S; Nardini, A; Neufeld, HS; Passioura, J; Pockman, WT; Pratt, RB; Rambal, S; Richter, H; Sack, L; Salleo, S; Schubert, A; Schulte, P; Sparks, JP; Sperry, J; Teskey, R; Tyree, M","","","","NEW PHYTOLOGIST","SEP 2004","2004","163","3","","","","451","452","","","","","65","3.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","3","1","2","5","4","5","10","1","1","4","3","3","3","2","6","3","2"
"Exploiting water versus tolerating drought: water-use strategies of trees in a secondary successional tropical dry forest","Pineda-Garcia, Fernando; Paz, Horacio; Meinzer, Frederick C.; Angeles, Guillermo","","","","TREE PHYSIOLOGY","FEB 2016","2016","36","2","","","","208","217","","10.1093/treephys/tpv124","","","62","6.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","8","6","11","12","11","4"
"DEVELOPMENT OF LENTICELS AND ADVENTITIOUS ROOTS IN FLOODED ULMUS-AMERICANA SEEDLINGS","ANGELES, G; EVERT, RF; KOZLOWSKI, TT","","","","CANADIAN JOURNAL OF FOREST RESEARCH","JUN 1986","1986","16","3","","","","585","590","","10.1139/x86-101","","","39","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","2","0","2","1","2","0","1","0","2","0","2","1","2","0","2","1","0","3","2","2","0","0","1","1","2","0","2","1","2","1","0","0","0"
"Hydraulic conductivity and embolism in the mangrove tree <i>Laguncularia racemosa</i>","Ewers, FW; Lopez-Portillo, J; Angeles, G; Fisher, JB","","","","TREE PHYSIOLOGY","SEP 2004","2004","24","9","","","","1057","1062","","10.1093/treephys/24.9.1057","","","38","1.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","0","1","1","0","1","3","1","4","2","3","1","0","2","5","4","3","1"
"Preparative laser capture microdissection and single-pot cell wall material preparation:: a novel method for tissue-specific analysis","Angeles, Guillermo; Berrio-Sierra, Jimmy; Joseleau, Jean-Paul; Lorimier, Philippe; Lefebvre, Andree; Ruel, Katia","","","","PLANTA","JUN 2006","2006","224","1","","","","228","232","","10.1007/s00425-006-0285-1","","","34","1.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","5","2","1","7","1","2","1","1","1","2","0","1","0","0","0","0"
