Angeles-Chavez, Carlos (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Antibacterial activity of montmorillonites modified with silver","Magana, S. M.; Quintana, P.; Aguilar, D. H.; Toledo, J. A.; Angeles-Chavez, C.; Cortes, M. A.; Leon, L.; Freile-Pelegrin, Y.; Lopez, T.; Torres Sanchez, R. M.","","","","JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL","FEB 18 2008","2008","281","1-2","","","SI","192","199","","10.1016/j.molcata.2007.10.024","4th San Luis Symposium on Surfaces, Interfaces and Catalysis","APR 14-23, 2007","236","13.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","13","17","14","25","23","16","14","21","16","8","22","15","9","10","5"
"Corrosion inhibition of pipeline steel grade API 5L X52 immersed in a 1 M H<sub>2</sub>SO<sub>4</sub> aqueous solution using heterocyclic organic molecules","Morales-Gil, P; Negrón-Silva, G; Romero-Romo, M; Angeles-Chávez, C; Palomar-Pardavé, M","","","","ELECTROCHIMICA ACTA","OCT 15 2004","2004","49","26","","","","4733","4741","","10.1016/j.electacta.2004.05.029","","","131","6.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","5","6","9","7","15","4","8","9","6","8","9","10","6","6","5","3","5","1"
"Tin Sulfide Thin Films by Pulse Electrodeposition: Structural, Morphological, and Optical Properties","Mathews, N. R.; Anaya, Hiran B. M.; Cortes-Jacome, M. A.; Angeles-Chavez, C.; Toledo-Antonio, J. A.","","","","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","2010","2010","157","3","","","","H337","H341","","10.1149/1.3289318","","","117","7.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","10","6","10","20","13","8","15","7","3","4","2","6"
"Ni/Ce-MCM-41 mesostructured catalysts for simultaneous production of hydrogen and nanocarbon <i>via</i> methane decomposition","Guevara, J. C.; Wang, J. A.; Chen, L. F.; Valenzuela, M. A.; Salas, P.; Garcia-Ruiz, A.; Toledo, J. A.; Cortes-Jacome, M. A.; Angeles-Chavez, C.; Novaro, O.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","APR 2010","2010","35","8","","","","3509","3521","","10.1016/j.ijhydene.2010.01.068","","","98","6.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","6","7","8","5","10","10","5","5","6","10","6","7","4"
"Migration and oxidation of tungsten species at the origin of acidity and catalytic activity on WO<sub>3</sub>-ZrO<sub>2</sub> catalysts","Cortes-Jacome, M. A.; Angeles-Chavez, C.; Lopez-Salinas, E.; Navarrete, J.; Toribio, P.; Toledo, J. A.","","","","APPLIED CATALYSIS A-GENERAL","FEB 20 2007","2007","318","","","","","178","189","","10.1016/j.apcata.2006.11.019","","","98","5.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","2","6","12","8","4","5","9","8","6","6","6","5","7","4","1"
"Synthesis and characterization of bimetallic Cu-Ni/ZrO<sub>2</sub> nanocatalysts: H<sub>2</sub> production by oxidative steam reforming of methanol","Perez-Hernandez, R.; Galicia, G. Mondragon; Anaya, D. Mendoza; Palacios, J.; Angeles-Chavez, C.; Arenas-Alatorre, J.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","SEP 2008","2008","33","17","","","","4569","4576","","10.1016/j.ijhydene.2008.06.019","","","89","5.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","8","8","5","5","5","15","7","6","4","11","3","3","1","1"
"In situ thermo-Raman study of titanium oxide nanotubes","Cortes-Jacome, M. A.; Ferrat-Torres, G.; Ortiz, L. F. Flores; Angeles-Chavez, C.; Lopez-Salinas, E.; Escobar, J.; Mosqueira, M. L.; Toledo-Antonio, J. A.","","","","CATALYSIS TODAY","AUG 15 2007","2007","126","1-2","","","","248","255","","10.1016/j.cattod.2007.02.012","2nd International Congress on Operando Spectroscopy","APR 23-27, 2006","83","4.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","9","12","4","4","6","6","5","2","4","3","5","11","3","1","3","1"
"Efficient photo luminescence of Dy<SUP>3+</SUP> at low concentrations in nanocrystalline ZrO<sub>2</sub>","Diaz-Torres, L. A.; De la Rosa, E.; Salas, P.; Romero, V. H.; Angeles-Chavez, C.","","","","JOURNAL OF SOLID STATE CHEMISTRY","JAN 2008","2008","181","1","","","","75","80","","10.1016/j.jssc.2007.09.033","","","80","4.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","6","7","5","4","9","6","11","2","3","5","0","6","3","1"
"Role of Yb<SUP>3+</SUP> and Er<SUP>3+</SUP> concentration on the tunability of green-yellow-red upconversion emission of codoped ZrO<sub>2</sub>:Yb<SUP>3+</SUP>-Er<SUP>3+</SUP> nanocrystals","Solis, D.; De la Rosa, E.; Meza, O.; Diaz-Torres, L. A.; Salas, P.; Angeles-Chavez, C.","","","","JOURNAL OF APPLIED PHYSICS","JUL 15 2010","2010","108","2","","","","","","023103","10.1063/1.3465325","","","73","4.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","6","7","10","5","7","6","7","4","1","5","4","2"
"Synthesis, characterization and luminescence properties of ZrO<sub>2</sub>:Yb<SUP>3+</SUP>-Er<SUP>3+</SUP> nanophosphor","Salas, P; Angeles-Chávez, C; Montoya, JA; De la Rosa, E; Diaz-Torres, LA; Desirena, H; Martínez, A; Romero-Romo, MA; Morales, J","","","","OPTICAL MATERIALS","APR 2005","2005","27","7","","","","1295","1300","","10.1016/j.optmat.2004.10.019","1st Topical Meeting on Nanostructured Materials and Nanotechnology (CIO 2004)","SEP 22-24, 2004","69","3.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","5","6","8","4","5","4","5","5","3","4","3","6","1","2","0","1","0"
