Aquino-Olivos, Marco A. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Investigations of inhibition of asphaltene precipitation at high pressure using bottomhole samples","Aquino-Olivos, MA; Buenrostro-Gonzalez, E; Andersen, SI; Lira-Galeana, C","","","","ENERGY & FUELS","JAN-FEB 2001","2001","15","1","","","","236","240","","","","","33","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","3","0","1","2","0","0","0","1","0","1","2","4","2","0","0","5","2","3","0"
"Modeling of asphaltene precipitation from <i>n</i>-alkane diluted heavy oils and bitumens using the PC-SAFT equation of state","Zuniga-Hinojosa, Maria A.; Justo-Garcia, Daimler N.; Aquino-Olivos, Marco A.; Roman-Ramirez, Luis A.; Garcia-Sanchez, Fernando","","","","FLUID PHASE EQUILIBRIA","AUG 25 2014","2014","376","","","","","210","224","","10.1016/j.fluid.2014.06.004","","","23","2.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","4","3","5","3","1","0"
"Accurate Modeling of CO<sub>2</sub> Solubility in Ionic Liquids Using a Cubic EoS","Macias-Salinas, Ricardo; Adrian Chavez-Velasco, Jose; Aquino-Olivos, Marco A.; Mendoza de la Cruz, Jose Luis; Sanchez-Ochoa, Jesus C.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","JUN 5 2013","2013","52","22","","","SI","7593","7601","","10.1021/ie400106g","","","23","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2","2","2","3","1","4","2","1","0"
"Comparisons between asphaltenes from the dead and live-oil samples of the same crude oils","Aquino-Olivos, MA; Andersen, SI; Lira-Galeana, C","","","","PETROLEUM SCIENCE AND TECHNOLOGY","2003","2003","21","5-6","","","","1017","1041","","10.1081/LFT-120017463","","","21","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","0","2","1","1","0","1","0","2","2","2","0","0","0","3","1","1","0"
"(Liquid-liquid) equilibria for ternary and quaternary systems of representative compounds of gasoline plus methanol at 293.15 K: Experimental data and correlation","Garcia-Flores, Blanca E.; Aguila-Hernandez, Jacinto; Garcia-Sanchez, Fernando; Aquino-Olivos, Marco A.","","","","FLUID PHASE EQUILIBRIA","JUN 25 2013","2013","348","","","","","60","69","","10.1016/j.fluid.2013.03.022","","","15","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","0","0","0","3","1","1","0","0"
"Measurements and correlation of Mexican heavy dead crude oil viscosities","de la Cruz, Jose L. Mendoza; Alvarez-Badillo, Sergio; Ramirez-Jaramillo, Edgar; Aquino-Olivos, Marco A.; Orea, Pedro","","","","JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING","OCT 2013","2013","110","","","","","184","192","","10.1016/j.petrol.2013.09.003","","","13","1.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","4","2","1","1","1","0","0"
"Determination of the Asphaltene Precipitation Envelope and Bubble Point Pressure for a Mexican Crude Oil by Scanning Transitiometry","Aquino-Olivos, Marco A.; Grolier, Jean-Pierre E.; Randzio, Stanislaw L.; Aguirre-Gutierrez, Adriana J.; Garcia-Sanchez, Fernando","","","","ENERGY & FUELS","MAR 2013","2013","27","3","","","","1212","1222","","10.1021/ef301449e","","","8","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","1","1","2","0"
"Study of the binding between lysozyme and C<sub>10</sub>-TAB:: Determination and interpretation of the partial properties of protein and surfactant at infinite dilution","Morgado, Jorge; Antonio Aquino-Olivos, Marco; Martinez-Hernandez, Ranulfo; Corea, Monica; Grolier, Jean Pierre E.; Manuel del Rio, Jose","","","","BIOPHYSICAL CHEMISTRY","JUN 2008","2008","135","1-3","","","","51","58","","10.1016/j.bpc.2008.03.002","","","8","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1","0","1","0","0","0","1","0","0","0"
"Incompatibility Determination of Crude Oil Blends from Experimental Viscosity and Density Data","de la Cruz, Jose L. Mendoza; Cedillo-Ramirez, Juan C.; Aguirre-Gutierrez, Adriana de J.; Garcia-Sanchez, Fernando; Aquino-Olivos, Marco A.","","","","ENERGY & FUELS","FEB 2015","2015","29","2","","","","480","487","","10.1021/ef501512b","","","6","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","2","1","0","0"
"Thermodynamics of Interactions at Infinite Dilution between Asphaltenes and a Surfactant or Crude Oil Resins","Morgado, J.; Aquino-Olivos, M. A.; Martinez-Hernandez, R.; Grolier, J. -P. E.; del Rio, J. M.","","","","ENERGY & FUELS","MAY-JUN 2009","2009","23","5-6","","","","2581","2591","","10.1021/ef800941s","","","6","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","2","0","1","0","0","0","0","0","0","0"
