Jesus A Badillo (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"High-level expression of human immunodeficiency virus antigens from the tobacco and tomato plastid genomes","Zhou, Fei; Badillo-Corona, Jesus A.; Karcher, Daniel; Gonzalez-Rabade, Nuria; Piepenburg, Katrin; Borchers, A. -M. Inka; Maloney, Alan P.; Kavanagh, Tony A.; Gray, John C.; Bock, Ralph","","","","PLANT BIOTECHNOLOGY JOURNAL","DEC 2008","2008","6","9","","","","897","913","","10.1111/j.1467-7652.2008.00356.x","","","155","9.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","12","17","21","8","9","9","12","10","4","5","5","9","10","6","4"
"Biologically Active and Antimicrobial Peptides from Plants","Salas, Carlos E.; Badillo-Corona, Jesus A.; Ramirez-Sotelo, Guadalupe; Oliver-Salvador, Carmen","","","","BIOMED RESEARCH INTERNATIONAL","2015","2015","2015","","","","","","","102129","10.1155/2015/102129","","","93","9.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","11","7","18","19","10","15","6","2"
"Production of plant proteases <i>in vivo</i> and <i>in vitro</i> - A review","Gonzalez-Rabade, Nuria; Agustin Badillo-Corona, Jesus; Silvestre Aranda-Barradas, Juan; del Carmen Oliver-Salvador, Maria","","","","BIOTECHNOLOGY ADVANCES","NOV-DEC 2011","2011","29","6","","","","983","996","","10.1016/j.biotechadv.2011.08.017","","","80","5.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","4","9","6","9","5","8","10","5","9","2"
"Plastid transformation of high-biomass tobacco variety Maryland Mammoth for production of human immunodeficiency virus type 1 (HIV-1) p24 antigen","McCabe, Matthew S.; Klaas, Manfred; Gonzalez-Rabade, Nuria; Poage, Miranda; Badillo-Corona, Jesus A.; Zhou, Fei; Karcher, Daniel; Bock, Ralph; Gray, John C.; Dix, Philip J.","","","","PLANT BIOTECHNOLOGY JOURNAL","DEC 2008","2008","6","9","","","","914","929","","10.1111/j.1467-7652.2008.00365.x","","","59","3.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","13","7","4","3","8","2","5","1","0","1","2","5","0","1","1"
"Production of therapeutic proteins in the chloroplast of <i>Chlamydomonas</i> <i>reinhardtii</i>","Lorena Almaraz-Delgado, Alma; Flores-Uribe, Jose; Hugo Perez-Espana, Victor; Salgado-Manjarrez, Edgar; Agustin Badillo-Corona, Jesus","","","","AMB EXPRESS","AUG 13 2014","2014","4","","","","","","","57","10.1186/s13568-014-0057-4","","","54","4.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","8","7","10","7","1","3","10","1"
"Commonalities and differences of chloroplast translation in a green alga and land plants","Troesch, Raphael; Barahimipour, Rouhollah; Gao, Yang; Badillo-Corona, Jesus Agustin; Gotsmann, Vincent Leon; Zimmer, David; Muehlhaus, Timo; Zoschke, Reimo; Willmund, Felix","","","","NATURE PLANTS","AUG 2018","2018","4","8","","","","564","575","","10.1038/s41477-018-0211-0","","","40","5.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","6","6","8","8","5"
"Efficient Editing of the Nuclear APT Reporter Gene in Chlamydomonas reinhardtii via Expression of a CRISPR-Cas9 Module","Guzman-Zapata, Daniel; Sandoval-Vargas, Jose M.; Macedo-Osorio, Karla S.; Salgado-Manjarrez, Edgar; Castrejon-Flores, Jose L.; del Carmen Oliver-Salvador, Maria; Duran-Figueroa, Noe V.; Nogue, Fabien; Badillo-Corona, Jesus A.","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","MAR 1 2019","2019","20","5","","","","","","1247","10.3390/ijms20051247","","","34","5.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","5","6","6","3"
"A stoichiometric analysis of biological xylitol production","Aranda-Barradas, Juan S.; Garibay-Orijel, Claudio; Badillo-Corona, Jesus A.; Salgado-Manjarrez, Edgar","","","","BIOCHEMICAL ENGINEERING JOURNAL","JUN 15 2010","2010","50","1-2","","","","1","9","","10.1016/j.bej.2009.10.023","","","18","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","7","3","0","0","0","2","2","0","0"
"Identification of influenza A pandemic (H1N1) 2009 variants during the first 2009 influenza outbreak in Mexico City","Zepeda, Hector M.; Perea-Araujo, Lizbeth; Zarate-Segura, Paola B.; Vazquez-Perez, Joel A.; Miliar-Garcia, Angel; Garibay-Orijel, Claudio; Dominguez-Lopez, Aaron; Badillo-Corona, Jesus A.; Lopez-Orduna, Eduardo; Garcia-Gonzalez, Octavio P.; Villasenor-Ruiz, Ignacio; Ahued-Ortega, Armando; Aguilar-Faisal, Leopoldo; Bravo, Jorge; Lara-Padilla, Eleazar; Garcia-Cavazos, Ricardo J.","","","","JOURNAL OF CLINICAL VIROLOGY","MAY 2010","2010","48","1","","","","36","39","","10.1016/j.jcv.2010.02.008","","","15","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","2","2","2","0","1","1","0","1","0","0"
"Intercistronic expression elements (IEE) from the chloroplast of <i>Chlamydomonas reinhardtii</i> can be used for the expression of foreign genes in synthetic operons","Macedo-Osorio, Karla S.; Perez-Espana, Victor H.; Garibay-Orijel, Claudio; Guzman-Zapata, Daniel; Duran-Figueroa, Noe V.; Badillo-Corona, Jesus A.","","","","PLANT MOLECULAR BIOLOGY","NOV 2018","2018","98","4-5","","","","303","317","","10.1007/s11103-018-0776-z","","","14","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","5","1","1"
