Buenrostro-Gonzalez, E. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Asphaltene precipitation in crude oils: Theory and experiments","Buenrostro-Gonzalez, E; Lira-Galeana, C; Gil-Villegas, A; Wu, JZ","","","","AICHE JOURNAL","OCT 2004","2004","50","10","","","","2552","2570","","10.1002/aic.10243","","","226","10.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","4","2","5","9","4","9","9","13","12","14","14","10","24","23","24","14","19","6"
"The overriding chemical principles that define asphaltenes","Buenrostro-Gonzalez, E; Groenzin, H; Lira-Galeana, C; Mullins, OC","","","","ENERGY & FUELS","JUL-AUG 2001","2001","15","4","","","","972","978","","10.1021/ef0100449","","","199","8.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","8","7","6","10","9","15","14","6","6","10","5","13","16","11","11","9","7","11","7","4","5"
"Molecular size of asphaltene fractions obtained from residuum hydrotreatment","Buch, L; Groenzin, H; Buenrostro-Gonzalez, E; Andersen, SI; Lira-Galeana, C; Mullins, OC","","","","FUEL","JUN 2003","2003","82","9","","","","1075","1084","","10.1016/S0016-2361(03)00006-1","","","128","5.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","4","5","4","10","6","8","9","6","2","9","10","7","6","9","8","8","4","4","1"
"Solubility/molecular structure relationships of asphaltenes in polar and nonpolar media","Buenrostro-Gonzalez, E; Andersen, SI; Garcia-Martinez, JA; Lira-Galeana, C","","","","ENERGY & FUELS","MAY-JUN 2002","2002","16","3","","","","732","741","","10.1021/ef0102317","","","103","4.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","6","5","3","2","5","1","6","4","3","3","4","7","1","5","4","7","10","8","5","2"
"Characterization of the wax precipitation in Mexican crude oils","Alberto Alcazar-Vara, Luis; Buenrostro-Gonzalez, Eduardo","","","","FUEL PROCESSING TECHNOLOGY","DEC 2011","2011","92","12","","","","2366","2374","","10.1016/j.fuproc.2011.08.012","","","93","6.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","8","7","9","9","6","11","7","8","15","5"
"Effect of asphaltenes on equilibrium and rheological properties of waxy model systems","Alberto Alcazar-Vara, Luis; Alberto Garcia-Martinez, Jorge; Buenrostro-Gonzalez, Eduardo","","","","FUEL","MAR 2012","2012","93","1","","","","200","212","","10.1016/j.fuel.2011.10.038","","","88","6.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","5","6","3","13","11","7","11","8","11","4"
"Study of medium effect on asphaltene agglomeration inhibitor efficiency","Barcenas, M.; Orea, P.; Buenrostro-Gonzalez, E.; Zamudio-Rivera, L. S.; Duda, Y.","","","","ENERGY & FUELS","MAY-JUN 2008","2008","22","3","","","","1917","1922","","10.1021/ef700773m","","","74","4.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","5","4","5","7","5","3","6","9","9","5","1"
"Study of monolayer to multilayer adsorption of asphaltenes on reservoir rock minerals","Mendoza de la Cruz, Jose L.; Castellanos-Ramirez, Ivan V.; Ortiz-Tapia, Arturo; Buenrostro-Gonzalez, Eduardo; Duran-Valencia, Cecilia de los A.; Lopez-Ramirez, Simon","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","MAY 15 2009","2009","340","1-3","","","","149","154","","10.1016/j.colsurfa.2009.03.021","","","64","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","5","4","2","8","5","11","7","5","2","1","2","3"
"Predicting adsorption isotherms of asphaltenes in porous materials","Castro, Martin; Mendoza de la Cruz, Jose L.; Buenrostro-Gonzalez, Eduardo; Lopez-Ramirez, Simon; Gil-Villegas, Alejandro","","","","FLUID PHASE EQUILIBRIA","DEC 15 2009","2009","286","2","","","","113","119","","10.1016/j.fluid.2009.08.009","","","48","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","6","4","2","4","3","6","4","4","5","1","2","1"
"Characterization of asphaltenes and resins from problematic Mexican crude oils","Buenrostro-Gonzalez, E; Espinosa-Peña, M; Andersen, SI; Lira-Galeana, C","","","","PETROLEUM SCIENCE AND TECHNOLOGY","2001","2001","19","3-4","","","","299","316","","10.1081/LFT-100000764","","","47","1.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","2","2","0","6","0","3","0","3","2","4","1","2","4","3","2","3","1","3","2"
