Rodigo Camacho-Perez, Jose (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Space Mapping Optimization of Handset Antennas Considering EM Effects of Mobile Phone Components and Human Body","Cervantes-Gonzalez, Juan C.; Rayas-Sanchez, Jose E.; Lopez, Carlos A.; Camacho-Perez, Jose R.; Brito-Brito, Zabdiel; Chavez-Hurtado, Jose L.","","","","INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING","FEB 2016","2016","26","2","","","","121","128","","10.1002/mmce.20945","","","36","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","6","4","7","10","5"
"Adaptive Activation Functions Using Fractional Calculus","Zamora-Esquivel, Julio; Cruz Vargas, Adan; Rodigo Camacho-Perez, Jose; Lopez Meyer, Paulo; Cordourier, Hector; Tickoo, Omesh","","","","2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS (ICCVW)","2019","2019","","","","","","2006","2013","","10.1109/ICCVW.2019.00250","IEEE/CVF International Conference on Computer Vision (ICCV)","OCT 27-NOV 02, 2019","9","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","1"
"Initial Considerations Towards Hemispherical Near-Field Antenna Measurements","Rodrigo Camacho-Perez, J.; Moreno, Pablo","","","","IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS","2014","2014","13","","","","","1441","1444","","10.1109/LAWP.2014.2339830","","","8","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","2","0","0","0","1"
"3D Simulation-Based Acoustic Wave Resonator Analysis and Validation Using Novel Finite Element Method Software","Vidana Morales, Ruth Yadira; Ortega Cisneros, Susana; Camacho Perez, Jose Rodrigo; Sandoval Ibarra, Federico; Casas Carrillo, Ricardo","","","","SENSORS","APR 2021","2021","21","8","","","","","","2715","10.3390/s21082715","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0"
"Novel process for low temperature crystallization of a-SiC:H for optoelectronic applications","Hossain, Maruf; Perez, Jose Roberto Sanchez; Rivera, Jose Marcel Rodriguez; Gangopadhyay, Keshab; Gangopadhyay, Shubhra","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS","JAN 2009","2009","20","","","1","","412","415","","10.1007/s10854-008-9647-8","2nd International Conference on Optical and Optoelectronic Properties of Materials and Applications","JUL 30-AUG 03, 2007","5","0.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Fractional Adaptation of Activation Functions In Neural Networks","Zamora Esquivel, Julio; Cruz Vargas, Jesus Adan; Lopez-Meyer, Paulo; Cordourier Maruri, Hector Alfonso; Camacho Perez, Jose Rodrigo; Tickoo, Omesh","","","","2020 25TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR)","2021","2021","","","","","","7544","7550","","10.1109/ICPR48806.2021.9413338","25th International Conference on Pattern Recognition (ICPR)","JAN 10-15, 2021","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"A Practical Formulation of the Image Rule for Electromagnetic Spherical Wave Sources Above a PEC or PMC Plane Interface","Rodrigo Camacho-Perez, J.; Moreno, Pablo","","","","2013 IEEE ANTENNAS AND PROPAGATION SOCIETY INTERNATIONAL SYMPOSIUM (APSURSI)","2013","2013","","","","","","1766","+","","","International Symposium of the IEEE-Antennas-and-Propagation-Society","JUL 07-13, 2013","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Vehicle Roof Embedded Millimeter-Wave Combo-Array System Architecture for Optimum V2X Coverage","Perez, Jose Rodrigo Camacho; Yamada, Shuhei; Choudhury, Debabani","","","","2021 IEEE MTT-S INTERNATIONAL MICROWAVE SYMPOSIUM (IMS)","2021","2021","","","","","","807","810","","10.1109/IMS19712.2021.9575025","IEEE MTT-S International Microwave Symposium (IMS)","JUN 07-25, 2021","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Analytical Method to Calculate the Unloaded Q of a T-Type Stepped-Impedance Resonator","Cruz-Perez, Elizabeth; Alavi, Hossein; Jaimes-Vera, Aline; Camacho-Perez, Jose R.","","","","2016 IEEE MTT-S LATIN AMERICA MICROWAVE CONFERENCE (LAMC)","2016","2016","","","","","","","","","","IEEE MTT-S Latin America Microwave Conference (LAMC)","DEC 12-14, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Detection and Classification of Intra Boby Acoustic Wave Signals for Wearable Applications","Moncada-Gonzalez, Hector R.; Aguilar-Ponce, Ruth M.; Luis Tecpanecatl-Xihuitl, J.; Lopez-Meyer, Paulo; Rodrigo Camacho-Perez, J.; Zamora-Esquivel, Julio; Cordourier-Maruri, Hector; Ibarra Von Borstel, Alejandro","","","","2016 IEEE INTERNATIONAL AUTUMN MEETING ON POWER, ELECTRONICS AND COMPUTING (ROPEC)","2016","2016","","","","","","","","","","IEEE International Autumn Meeting on Power, Electronics and Computing (ROPEC)","NOV 09-11, 2016","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Intel Labs Mexico - Leading Industrial Research in Latin America","Camacho-Perez, Jose R.; Hemandez-Sosa, Gaudencio; Alcocer-Ochoa, Alberto; Lopez, Carlos A.; Zenteno, Antonio; Cervantes-Gonzalez, Juan C.; Veloz, Arturo; Cordourier, Hector; Visairo-Cruz, Horacio","","","","2014 IEEE MTT-S INTERNATIONAL MICROWAVE SYMPOSIUM (IMS)","2014","2014","","","","","","","","","","IEEE MTT-S International Microwave Symposium (IMS)","JUN 01-06, 2014","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spherical Near-Field to Far-Field Transformations for the Half-Space Problem with a PEC Boundary","Rodrigo Camacho-Perez, J.; Moreno-Villalobos, Pablo","","","","2009 INTERNATIONAL MICROWAVE WORKSHOP SERIES ON SIGNAL INTEGRITY AND HIGH-SPEED INTERCONNECTS","2009","2009","","","","","","85","+","","","International Microwave Workshop on Signal Integrity and High-Speed Interconnects","FEB 19-20, 2009","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Broad-band antenna for cellular communications","Kotov, YV; Perez, JRC","","","","14th International Crimean Conference: Microwave & Telecommunication Technology, Conference Proceedings","2004","2004","","","","","","348","349","","","14th International Crimean Conference on Microwave and Telecommunication Technology","SEP 13-17, 2004","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
