Tanya Camacho-Villegas (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Ultrasensitive SERS Substrate for Label-Free Therapeutic-Drug Monitoring of Paclitaxel and Cyclophosphamide in Blood Serum","Surendra Panikar, Sandeep; Ramirez-Garcia, Gonzalo; Sidhik, Siraj; Lopez-Luke, Tazara; Rodriguez-Gonzalez, Claramaria; Higuera Ciapara, Inocencio; Salas Castillo, Pedro; Camacho-Villegas, Tanya; De la Rosa, Elder","","","","ANALYTICAL CHEMISTRY","FEB 5 2019","2019","91","3","","","","2100","2111","","10.1021/acs.analchem.8b04523","","","73","12.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","14","16","16","11"
"Novel anti-HER2 peptide-conjugated theranostic nanoliposomes combining NaYF<sub>4</sub>:Yb,Er nano-particles for NIR-activated bioimaging and chemo-photodynamic therapy against breast cancer","Panikar, Sandeep Surendra; Ramirez-Garcia, Gonzalo; Vallejo-Cardona, Alba A.; Banu, Nehla; Patron-Soberano, Olga A.; Cialla-May, Dana; Camacho-Villegas, Tanya A.; de la Rosa, Elder","","","","NANOSCALE","NOV 21 2019","2019","11","43","","","","20598","20613","","10.1039/c9nr06535k","","","40","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","14","9","7","4"
"Anti-fouling SERS-based immunosensor for point-of-care detection of the B7-H6 tumor biomarker in cervical cancer patient serum","Surendra Panikar, Sandeep; Banu, Nehla; Haramati, Jesse; Yareli Gutierrez-Silerio, Gloria; Estela Bastidas-Ramirez, Blanca; Cecilia Tellez-Banuelos, Martha; Camacho-Villegas, Tanya A.; del Toro-Arreola, Susana; De la Rosa, Elder","","","","ANALYTICA CHIMICA ACTA","NOV 22 2020","2020","1138","","","","","110","122","","10.1016/j.aca.2020.09.019","","","38","7.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","11","9","8"
"Human TNF cytokine neutralization with a vNAR from <i>Heterodontus francisci</i> shark A potential therapeutic use","Camacho-Villegas, Tanya; Mata-Gonzalez, Teresa; Paniagua-Solis, Jorge; Sanchez, Edna; Licea, Alexei","","","","MABS","JAN-FEB 2013","2013","5","1","","","","80","85","","10.4161/mabs.22593","","","32","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","4","2","3","2","3","2","5","2"
"Stealth modified bottom up SERS substrates for label-free therapeutic drug monitoring of doxorubicin in blood serum","Surendra Panikar, Sandeep; Banu, Nehla; Escobar, Elia-Reza; Garcia, Gonzalo-Ramirez; Cervantes-Martinez, Jesus; Villegas, Tanya-Camacho; Salas, Pedro; De la Rosa, Elder","","","","TALANTA","OCT 1 2020","2020","218","","","","","","","121138","10.1016/j.talanta.2020.121138","","","31","6.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","8","7"
"An immunoconjugated up-conversion nanocomplex for selective imaging and photodynamic therapy against HER2-positive breast cancer","Ramirez-Garcia, Gonzalo; Panikar, Sandeep S.; Lopez-Luke, Tzarara; Piazza, Valeria; Angel Honorato-Colin, Miguel; Camacho-Villegas, Tanya; Hernandez-Gutierrez, Rodolfo; De la Rosa, Elder","","","","NANOSCALE","JUN 7 2018","2018","10","21","","","","10154","10165","","10.1039/c8nr01512k","","","31","4.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","7","8","3","2","2"
"Anti-tumor necrosis factor <sub>V</sub>NAR single domains reduce lethality and regulate underlying inflammatory response in a murine model of endotoxic shock","Bojalil, Rafael; Teresa Mata-Gonzalez, Maria; Sanchez-Munoz, Fausto; Yee, Yepci; Argueta, Ivan; Bolanos, Lucia; Manuel Amezcua-Guerra, Luis; Amanda Camacho-Villegas, Tanya; Sanchez-Castrejon, Edna; Jakob Garcia-Ubbelohde, Walter; Fedorovish Licea-Navarro, Alexei; Marquez-Velasco, Ricardo; Fernando Paniagua-Solis, Jorge","","","","BMC IMMUNOLOGY","APR 2 2013","2013","14","","","","","","","17","10.1186/1471-2172-14-17","","","26","2.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","3","1","1","1","4","4","0"
"Intraocular Penetration of a vNAR: In Vivo and In Vitro VEGF<sub>165</sub> Neutralization","Camacho-Villegas, Tanya A.; Teresa Mata-Gonzalez, Maria; Garcia-Ubbelohd, Walter; Nunez-Garcia, Linda; Elosua, Carolina; Paniagua-Solis, Jorge F.; Licea-Navarro, Alexei F.","","","","MARINE DRUGS","APR 2018","2018","16","4","","","","","","113","10.3390/md16040113","","","21","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","4","8","1"
"Effect of starch on the mechanical and <i>in vitro</i> properties of collagen-hydroxyapatite sponges for applications in dentistry","Castro-Cesena, Ana B.; Camacho-Villegas, Tanya A.; Lugo-Fabres, Pavel H.; Novitskaya, Ekaterina E.; McKittrick, Joanna; Licea-Navarro, Alexei","","","","CARBOHYDRATE POLYMERS","SEP 5 2016","2016","148","","","","","78","85","","10.1016/j.carbpol.2016.04.056","","","20","2.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","1","6","3","1","0"
"Ligand-targeted Theranostic Liposomes combining methylene blue attached upconversion nanoparticles for NIR activated bioimaging and photodynamic therapy against HER-2 positive breast cancer","Panikar, Sandeep Surendra; Ramirez-Garcia, Gonzalo; Banu, Nehla; Vallejo-Cardona, Alba A.; Lugo-Fabres, Pavel; Camacho-Villegas, Tanya A.; Salas, Pedro; de la Rosa, Elder","","","","JOURNAL OF LUMINESCENCE","SEP 2021","2021","237","","","","","","","118143","10.1016/j.jlumin.2021.118143","","","15","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","1","2"
