Campos-Canton, E. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Multiscroll attractors by switching systems","Campos-Canton, E.; Barajas-Ramirez, J. G.; Solis-Perales, G.; Femat, R.","","","","CHAOS","MAR 2010","2010","20","1","","","","","","013116","10.1063/1.3314278","","","68","4.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","4","4","4","7","7","3","10","7","4","6","3"
"Hyperchaotic encryption based on multi-scroll piecewise linear systems","Garcia-Martinez, M.; Ontanon-Garcia, L. J.; Campos-Canton, E.; Celikovsky, S.","","","","APPLIED MATHEMATICS AND COMPUTATION","NOV 1 2015","2015","270","","","","","413","424","","10.1016/j.amc.2015.08.037","","","54","5.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","5","6","11","6","7","4"
"Pseudo-random bit generator based on multi-modal maps","Garcia-Martinez, M.; Campos-Canton, E.","","","","NONLINEAR DYNAMICS","DEC 2015","2015","82","4","","","","2119","2131","","10.1007/s11071-015-2303-y","","","48","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","9","3","10","4","9","3"
"Attractors generated from switching unstable dissipative systems","Campos-Canton, Eric; Femat, Ricardo; Chen, Guanrong","","","","CHAOS","SEP 2012","2012","22","3","","","","","","033121","10.1063/1.4742338","","","44","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","4","6","5","3","6","3","2","3","2"
"Chaos generation in fractional-order switched systems and its digital implementation","Zambrano-Serrano, E.; Munoz-Pacheco, J. M.; Campos-Canton, E.","","","","AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS","2017","2017","79","","","","","43","52","","10.1016/j.aeue.2017.05.032","","","42","5.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","13","6","4","6","2"
"A family of hyperchaotic multi-scroll attractors in R<i><SUP>n</SUP></i>","Ontanon-Garcia, L. J.; Jimenez-Lopez, E.; Campos-Canton, E.; Basin, M.","","","","APPLIED MATHEMATICS AND COMPUTATION","MAY 1 2014","2014","233","","","","","522","533","","10.1016/j.amc.2014.01.134","","","41","3.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","8","11","5","6","0","0","2","4","1"
"Strange attractors generated by a fractional order switching system and its topological horseshoe","Zambrano-Serrano, E.; Campos-Canton, E.; Munoz-Pacheco, J. M.","","","","NONLINEAR DYNAMICS","FEB 2016","2016","83","3","","","","1629","1641","","10.1007/s11071-015-2436-z","","","38","4.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","9","5","6","7","1","1","0"
"Chaotic attractors based on unstable dissipative systems via third-order differential equation","Campos-Canton, E.","","","","INTERNATIONAL JOURNAL OF MODERN PHYSICS C","JAN 2016","2016","27","1","","","","","","1650008","10.1142/S012918311650008X","","","33","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","3","8","5","5","3","1"
"Generation of multi-scroll attractors without equilibria via piecewise linear systems","Escalante-Gonzalez, R. J.; Campos-Canton, E.; Nicol, Matthew","","","","CHAOS","MAY 2017","2017","27","5","","","","","","053109","10.1063/1.4983523","","","30","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","6","7","0","4","4"
"An approach to generate deterministic Brownian motion","Huerta-Cuellar, G.; Jimenez-Lopez, E.; Campos-Canton, E.; Pisarchik, A. N.","","","","COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION","AUG 2014","2014","19","8","","","","2740","2746","","10.1016/j.cnsns.2014.01.010","","","29","2.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","3","0","3","9","5","1","4"
