Cano-Dominguez, Jose L. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Effect of tetralin, decalin and naphthalene as hydrogen donors in the upgrading of heavy oils","Aleman-Vazquez, L. O.; Cano-Dominguez, J. L.; Garcia-Gutierrez, J. L.","","","Kluson, P","CHISA 2012","2012","2012","42","","","","","532","539","","10.1016/j.proeng.2012.07.445","20th International Congress of Chemical and Process Engineering CHISA","AUG 25-29, 2012","53","4.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","2","7","6","5","10","6","6","4"
"Binder effect on the catalytic activity of MoO<sub>3</sub> bulk catalyst reduced by H<sub>2</sub> for <i>n</i>-heptane hydroisomerization","Olivia Aleman-Vazquez, Laura; Hernandez-Perez, Fidencio; Luis Cano-Dominguez, Jose; Rodriguez-Hernandez, Andrea; Luis Garcia-Gutierrez, Jose","","","","FUEL","JAN 2014","2014","117","","A","","","463","469","","10.1016/j.fuel.2013.08.085","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","2","3","4","2","2","3","1","0"
"Industrial Aplication of Catalytic Systems for <i>n</i>-Heptane Isomerization","Olivia Aleman-Vazquez, Laura; Luis Cano-Dominguez, Jose; Torres-Garcia, Enelio; Roberto Villagomez-Ibarra, Jose","","","","MOLECULES","JUL 2011","2011","16","7","","","","5916","5927","","10.3390/molecules16075916","","","20","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","2","3","2","2","2","5","0"
"Cyclohexane ring opening on alumina-supported Rh and Ir nanoparticles","Rodriguez-Gattorno, Geonel; Aleman-Vazquez, Laura O.; Angeles-Franco, Xochitl; Cano-Dominguez, Jose Luis; Villagomez-Ibarra, Roberto","","","","ENERGY & FUELS","MAR-APR 2007","2007","21","2","","","","1122","1126","","10.1021/ef060084i","","","12","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","1","0","2","0","0","2","1","0","1","0","0"
"New insights on molybdenum suboxide:: Nature of carbons in isomerization reactions","Torres-García, E; Rodríguez-Gattorno, G; Ascencio, JA; Alemán-Vázquez, LO; Cano-Domínguez, JL; Martínez-Hernández, A; Santiago-Jacinto, P","","","","JOURNAL OF PHYSICAL CHEMISTRY B","SEP 22 2005","2005","109","37","","","","17518","17525","","10.1021/jp052633b","","","12","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","2","2","2","1","0","0","0","0","0","0","0","0","0"
"Organic polymers as solid hydrogen donors in the hydrogenation of cyclohexene","Aleman-Vazquez, Laura O.; Cano-Dominguez, Jose L.; Torres-Mancera, Pablo; Ancheyta, Jorge","","","","CATALYSIS TODAY","MAY 1 2018","2018","305","","","","SI","143","151","","10.1016/j.cattod.2017.08.039","International Symposium on Advances in Hydroprocessing of Oil Fractions (ISAHOF)","JUN, 2017","8","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","3","0"
"Comparison between a conventional process and reactive distillation for naphtha hydrodesulfurization","Estrada-Villagrana, A. D.; Quiroz-Sosa, G. B.; Jimenez-Alarcon, M. L.; Aleman-Vazquez, L. O.; Cano-Dominguez, J. L.","","","","CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION","DEC 2006","2006","45","12","","","","1036","1040","","10.1016/j.cep.2006.03.019","","","8","0.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","1","1","1","0","1","0","0","0"
"The Effect of Sulfates Concentration in Sulfated Zirconia (SZ) Catalysts on <i>n</i>-Heptane Isomerization","Aleman-Vazquez, Laura O.; Mariel-Reyes, Patricia R.; Luis Cano-Dominguez, Jose","","","","PETROLEUM SCIENCE AND TECHNOLOGY","2010","2010","28","4","","","","374","381","","10.1080/10916460903070090","","","5","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","1","0"
"Hydrodesulfurization kinetics of dimethyldibenzothiophenes from a Mexican diesel feedstock.","Cortés-Romero, CM; Laredo-Sánchez, GC; Cano-Domínguez, JL; de los Reyes-Heredia, JA","","","","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","AUG 20 2000","2000","220","","2","","","U139","U139","","","","","1","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Experimental study of air-water up-flow in a packed column using laser Doppler anemometry","Hernandez-Demesa, Y. S.; Varela-Boydo, C. A.; Sierra-Espinosa, F. Z.; Ramirez-Verduzco, L. F.; Cano-Dominguez, J. L.; Hernandez, J. A.","","","","DESALINATION AND WATER TREATMENT","2015","2015","55","13","","","","3676","3682","","10.1080/19443994.2014.939876","Conference on Desalination for the Environment - Clean Water and Energy","MAY 11-15, 2014","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
