Francisco Raul Carrillo Pedroza (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Destruction of cyanide waste solutions using chlorine dioxide, ozone and titania sol","Parga, JR; Shukla, SS; Carrillo-Pedroza, FR","","","","WASTE MANAGEMENT","2003","2003","23","2","","","","183","191","PII S0956-053X(02)00064-8","10.1016/S0956-053X(02)00064-8","","","93","4.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","2","0","2","3","4","6","5","5","10","7","5","6","7","9","5","6","2","1"
"Leaching kinetics of iron from low grade kaolin by oxalic acid solutions","Martinez-Luevanos, A.; Rodriguez-Delgado, M. G.; Uribe-Salas, A.; Carrillo-Pedroza, F. R.; Osuna-Alarcon, J. G.","","","","APPLIED CLAY SCIENCE","MAR 2011","2011","51","4","","","","473","477","","10.1016/j.clay.2011.01.011","","","77","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","4","3","5","7","8","9","7","8","6","7"
"Study of celestite flotation efficiency using sodium dodecyl sulfonate collector:: factorial experiment and statistical analysis of data","Martinez, A; Uribe, A; Carrillo, FR; Coreño, J; Ortiz, JC","","","","INTERNATIONAL JOURNAL OF MINERAL PROCESSING","JUN 2003","2003","70","1-4","","","","83","97","","10.1016/S0301-7516(02)00152-7","","","72","3.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","5","4","4","3","3","8","4","4","3","6","2","5","2","4","4","2","0"
"Kinetics and statistical analysis of nickel leaching from spent catalyst in nitric acid solution","Ramos-Cano, Juan; Gonzalez-Zamarripa, Gregorio; Raul Carrillo-Pedroza, Fco.; de Jesus Soria-Aguilar, Ma.; Hurtado-Macias, Abel; Cano-Vielma, Alejandro","","","","INTERNATIONAL JOURNAL OF MINERAL PROCESSING","MAR 10 2016","2016","148","","","","","41","47","","10.1016/j.minpro.2016.01.006","","","27","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","5","6","4","7","0"
"Cyanide oxidation by ozone in cyanidation tailings: Reaction kinetics","Carrillo-Pedroza, FR; Nava-Alonso, F; Uribe-Salas, A","","","","MINERALS ENGINEERING","MAY 2000","2000","13","5","","","","541","548","","10.1016/S0892-6875(00)00034-0","","","26","1.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","1","1","1","1","1","0","2","1","1","1","2","2","1","1","2","0","0","1","1"
"TREATMENT OF SULFIDE MINERALS BY OXIDATIVE LEACHING WITH OZONE","Carrillo Pedroza, Francisco Raul; Soria Aguilar, Maria de Jesus; Pecina Trevino, Teresa; Martinez Luevanos, Antonia; Sanchez Castillo, Marco","","","","MINERAL PROCESSING AND EXTRACTIVE METALLURGY REVIEW","2012","2012","33","4","","","","269","279","","10.1080/08827508.2011.584093","","","25","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","3","2","2","8","4","2","2"
"Coal Desulfurization in Oxidative Acid Media Using Hydrogen Peroxide and Ozone: A Kinetic and Statistical Approach","Carrillo-Pedroza, F. R.; Sanchez, A. Davalos; Soria-Aguilar, M.; Trevino, E. T. Pecina","","","","ENERGY & FUELS","JUL 2009","2009","23","7","","","","3703","3710","","10.1021/ef900253g","18th Conference on Impacts of Fuel Quality on Power Generation and Environment","SEP 29-OCT 03, 2008","22","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","1","0","0","3","3","0","1","2","2","2","1"
"Leaching Chalcopyrite with an Imidazolium-Based Ionic Liquid and Bromide","Rodriguez, Marcelo; Ayala, Luis; Robles, Pedro; Sepulveda, Rossana; Torres, David; Raul Carrillo-Pedroza, Francisco; Jeldres, Ricardo I.; Toro, Norman","","","","METALS","FEB 2020","2020","10","2","","","","","","183","10.3390/met10020183","","","21","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","5","3","2"
"Evaluation of Acid Leaching of Low Grade Chalcopyrite Using Ozone by Statistical Analysis","Carrillo-Pedroza, F. R.; Sanchez-Castillo, M. A.; Soria-Aguilar, M. J.; Martinez-Luevanos, A.; Gutierrez, E. C.","","","","CANADIAN METALLURGICAL QUARTERLY","JUL 2010","2010","49","3","","","","219","226","","","","","18","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","6","4","2","2"
"Aerobic processes for bioleaching manganese and silver using microorganisms indigenous to mine tailings","Huerta-Rosas, B.; Cano-Rodriguez, I.; Gamino-Arroyo, Z.; Gomez-Castro, F. I.; Carrillo-Pedroza, F. R.; Romo-Rodriguez, P.; Gutierrez-Corona, J. F.","","","","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY","JUL 21 2020","2020","36","8","","","","","","124","10.1007/s11274-020-02902-6","","","16","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","9","0"
