Castano Meneses, Victor M. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hybrid PMMA-silica anticorrosive coatings for stainless steel 316L","Varela Caselis, J. L.; Rubio Rosas, E.; Castano Meneses, V. M.","","","","CORROSION ENGINEERING SCIENCE AND TECHNOLOGY","APR 2012","2012","47","2","","","","131","137","","10.1179/1743278211Y.0000000035","","","21","1.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","0","2","2","3","4","0","2","1"
"IMPROVED WEAR RESISTANCE OF AN ALUMINUM - ZIRCONIA COMPOSITE","Fuentes-Ramirez, R.; Perez-Gonzalez, A.; Castano Meneses, V. M.","","","","METAL SCIENCE AND HEAT TREATMENT","DEC 2010","2010","52","7-8","","","","368","370","","10.1007/s11041-010-9284-8","","","7","0.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","1","0","0","0","0","0"
"Monitoring rocket (<i>Eruca sativa</i>) growth parameters using the Internet of Things under supplemental LEDs lighting","Jamal, Jolan; Azizi, Sadoon; Abdollahpouri, Alireza; Ghaderi, Nasser; Sarabi, Behrooz; Silva-Ordaz, Arturo; Castano-Meneses, Victor M.","","","","SENSING AND BIO-SENSING RESEARCH","DEC 2021","2021","34","","","","","","","100450","10.1016/j.sbsr.2021.100450","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0"
"One step mechanosynthesis of graphene oxide directly from graphite","Ibarra-Garcia, Victor Gerardo; Sanchez-Mendoza, Alma Victoria; Mendoza-Anaya, Demetrio; Vazquez-Garcia, Rosa Angeles; Aleman-Ayala, Karina; Ramirez-Cardona, Marius; Castano-Meneses, Victor Manuel","","","","FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES","2021","2021","29","5","","","","352","364","","10.1080/1536383X.2020.1843440","","","4","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0"
"A 2-Year Evaluation of Flualprazolam Concentrations in Orange County Drivers: Effects on Driving and Field Sobriety Test Performance","Manaloto, Fernando R.; Meneses, Vanessa M.; Mata, Dani C.","","","","JOURNAL OF ANALYTICAL TOXICOLOGY","JAN 24 2023","2023","46","9","","","","1038","1044","","10.1093/jat/bkac012","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"Efficient CT Image Reconstruction in a GPU Parallel Environment","Valencia Perez, Tomas A.; Hernandez Lopez, Javier M.; Moreno-Barbosa, Eduardo; de Celis Alonso, Benito; Palomino Merino, Martin R.; Castano Meneses, Victor M.","","","","TOMOGRAPHY","MAR 2020","2020","6","1","","","","44","53","","10.18383/j.tom.2020.00011","","","2","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"Study of thermal properties of mullite porous materials","Saucedo-Rivalcoba, V.; Ayala Landeros, J. G.; Castano Meneses, V. M.; Yanez-Limon, J. M.; Gomez-Guzman, O.; Velasco-Santos, C.; Martinez-Hernandez, A. L.","","","","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","JUN 2015","2015","120","3","","","","1553","1561","","10.1007/s10973-015-4467-6","","","2","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Agro-Industrial Waste as a Source of Raw Material: Eggshell and Ash of <i>Agave salmiana</i> Useful for the Synthesis of Hydroxyapatite","Elizondo-Villarreal, Nora; Verastegui-Dominguez, Luz H.; Quijano-Briones, Jose J.; Vazquez-Rodriguez, Francisco J.; Rodriguez-Castellanos, Eden; Lopez-Cuellar, Enrique; Torres-Lopez, Ernesto; Castano-Meneses, Victor M.","","","","JOURNAL OF RENEWABLE MATERIALS","2022","2022","10","12","","","","3559","3572","","10.32604/jrm.2022.021945","","","1","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Prevalence of Five Commonly Analyzed Cannabinoids in Forensic Toxicology Casework from Orange County CA, USA, from 2016 to 2019","Meneses, Vanessa M.; Mata, Dani C.","","","","JOURNAL OF ANALYTICAL TOXICOLOGY","APR 21 2022","2022","46","4","","","","449","456","","10.1093/jat/bkab028","","","1","0.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Effect of Solvents on the Morphological Characterization of Enteric Nanoparticles","Dupeyron Martell, Danay Rosa; Rieumont Briones, Jacques; Gonzalez Hurtado, Mayra; del Real Lopez, Alicia; Castano Meneses, Victor Manuel","","","","MATERIALS RESEARCH-IBERO-AMERICAN JOURNAL OF MATERIALS","OCT-DEC 2009","2009","12","4","","","","405","410","","","","","1","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
