Gerardo A Castanon (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Millimeter-Wave Frequency Radio over Fiber Systems: A Survey","Beas, Joaquin; Castanon, Gerardo; Aldaya, Ivan; Aragon-Zavala, Alejandro; Campuzano, Gabriel","","","","IEEE COMMUNICATIONS SURVEYS AND TUTORIALS","2013","2013","15","4","","","","1593","1619","","10.1109/SURV.2013.013013.00135","","","137","11.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","17","16","14","15","10","21","13","13","3"
"Optical routing of asynchronous, variable length packets","Tancevski, L; Yegnanarayanan, S; Castanon, G; Tamil, L; Masetti, F; McDermott, T","","","","IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","OCT 2000","2000","18","10","","","","2084","2093","","10.1109/49.887927","","","99","3.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","15","12","14","13","11","8","3","5","4","3","0","0","3","1","0","0","0","0","0","0","0","0"
"Analysis of hot-potato optical networks with wavelength conversion","Bononi, A; Castañón, GA; Tonguz, OK","","","","JOURNAL OF LIGHTWAVE TECHNOLOGY","APR 1999","1999","17","4","","","","525","534","","10.1109/50.754781","","","53","2.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","5","3","4","9","4","5","3","2","3","0","1","2","1","0","0","1","0","0","0","1","0","0","0"
"Phase-Insensitive RF Envelope Detection Allows Optical Heterodyning of MHz-Linewidth Signals","Aldaya, Ivan; Campuzano, Gabriel; Gosset, Christophe; Castanon, Gerardo","","","","IEEE PHOTONICS TECHNOLOGY LETTERS","NOV 15 2013","2013","25","22","","","","","","","10.1109/LPT.2013.2282627","","","19","1.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","2","2","3","3","1","0","3","0"
"Trunk Reservation for Fair Utilization in Flexible Optical Networks","Callegati, Franco; Bonani, Luiz H.; Lezama, Fernando; Cerroni, Walter; Campi, Aldo; Castanon, Gerardo","","","","IEEE COMMUNICATIONS LETTERS","MAY 2014","2014","18","5","","","","889","892","","10.1109/LCOMM.2014.040214.140058","","","18","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","3","1","3","1","1","0","1"
"Differential evolution optimization applied to the routing and spectrum allocation problem in flexgrid optical networks","Lezama, Fernando; Castanon, Gerardo; Maria Sarmiento, Ana; Martins, Indayara B.","","","","PHOTONIC NETWORK COMMUNICATIONS","FEB 2016","2016","31","1","","","","129","146","","10.1007/s11107-015-0558-3","","","17","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","2","2","1","2","0","0"
"Optical IP routers: design and performance issues under self-similar traffic","Tamil, LS; Masetti, F; McDermott, T; Castanon, G; Ge, A; Tancevski, L","","","","JOURNAL OF HIGH SPEED NETWORKS","1999","1999","8","1","","","","59","67","","","","","13","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","1","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Optical packet switching with multiple path routing","Castañón, G; Tancevski, L; Tamil, L","","","","COMPUTER NETWORKS","MAY 15 2000","2000","32","5","","","","653","662","","10.1016/S1389-1286(00)00023-2","","","12","0.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0","0","2","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0"
"Routing and wavelength assignment in all optical networks using differential evolution optimization","Lezama, Fernando; Castanon, Gerardo; Maria Sarmiento, Ana","","","","PHOTONIC NETWORK COMMUNICATIONS","DEC 2013","2013","26","2-3","","","","103","119","","10.1007/s11107-013-0413-3","","","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","4","2","0","0","1","0","1"
"A survey of key-enabling components for remote millimetric wave generation in radio over fiber networks","Aldaya, Ivan; Beas, Joaquin; Castanon, Gerardo; Campuzano, Gabriel; Aragon-Zavala, Alejandro","","","","OPTICS AND LASER TECHNOLOGY","JUL 2013","2013","49","","","","","213","226","","10.1016/j.optlastec.2013.01.008","","","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","1","1","1","0","2","0","0","0"
