Jacquelynne Cervantes (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Inexpensive anti-cysticercosis vaccine:: S3Pvac expressed in heat inactivated M13 filamentous phage proves effective against naturally acquired <i>Taenia solium</i> porcine cysticercosis","Morales, Julio; Juan Martinez, Jose; Manoutcharian, Karen; Hernandez, Marisela; Fleury, Agnes; Gevorkian, Goar; Acero, Gonzalo; Blancas, Abel; Toledo, Andrea; Cervantes, Jacquelynne; Maza, Victor; Quet, Fabrice; Bonnabau, Henri; de Aluja, Aline S.; Fragoso, Gladis; Larralde, Carlos; Sciutto, Edda","","","","VACCINE","JUN 2 2008","2008","26","23","","","","2899","2905","","10.1016/j.vaccine.2008.03.042","","","60","3.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","4","5","4","4","3","3","5","1","4","3","7","2","3","0"
"Transgenic plants: a 5-year update on oral antipathogen vaccine development","Hernandez, Marisela; Rosas, Gabriela; Cervantes, Jacquelynne; Fragoso, Gladis; Rosales-Mendoza, Sergio; Sciutto, Edda","","","","EXPERT REVIEW OF VACCINES","DEC 2014","2014","13","12","","","","1523","1536","","10.1586/14760584.2014.953064","","","38","3.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","11","6","2","2","3","1","2","1"
"Improvement of the synthetic tri-peptide vaccine (S3Pvac) against porcine <i>Taenia solium</i> cysticercosis in search of a more effective, inexpensive and manageable vaccine","Sciutto, Edda; Rosas, Gabriela; Hernandez, Marisela; Morales, Julio; Cruz-Revilla, Carmen; Toledo, Andrea; Manoutcharian, Karen; Gevorkian, Goar; Blancas, Abel; Acero, Gonzalo; Hernandez, Beatriz; Cervantes, Jacquelynne; Bobes, Raul J.; Goldbaum, Fernando A.; Huerta, Mirna; Diaz-Orea, Alicia; Fleury, Agnes; de Aluja, Aline S.; Cabrera-Ponce, Jose Luis; Herrera-Estrella, Luis; Fragoso, Gladis; Larralde, Carlos","","","","VACCINE","FEB 9 2007","2007","25","8","","","","1368","1378","","10.1016/j.vaccine.2006.10.018","","","34","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","5","2","3","2","3","1","0","2","1","1","0","3","1","1","0"
"DEVELOPMENT OF THE S3PVAC VACCINE AGAINST PORCINE <i>TAENIA SOLIUM</i> CYSTICERCOSIS: A HISTORICAL REVIEW","Sciutto, Edda; Fragoso, Gladis; Hernandez, Marisela; Rosas, Gabriela; Martinez, Jose J.; Fleury, Agnes; Cervantes, Jacquelynne; Aluja, Aline; Larralde, Carlos","","","","JOURNAL OF PARASITOLOGY","AUG 2013","2013","99","4","","","","686","692","","10.1645/GE-3102.1","","","22","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","3","2","3","3","3","3","0","0","0"
"<i>Brucella</i> spp. lumazine synthase:: a novel antigen delivery system","Sciutto, E; Toledo, A; Cruz, C; Rosas, G; Meneses, G; Laplagne, D; Ainciart, N; Cervantes, J; Fragoso, G; Goldbaum, FA","","","","VACCINE","APR 15 2005","2005","23","21","","","","2784","2790","","10.1016/j.vaccine.2004.11.043","","","21","1.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1","2","1","1","1","2","2","1","0","1","2","0","0","1","0","0","0"
"Towards the development of an oral vaccine against porcine cysticercosis: expression of the protective HP6/TSOL18 antigen in transgenic carrots cells","Monreal-Escalante, Elizabeth; Govea-Alonso, Dania O.; Hernandez, Marisela; Cervantes, Jacquelynne; Salazar-Gonzalez, Jorge A.; Romero-Maldonado, Andrea; Rosas, Gabriela; Garate, Teresa; Fragoso, Gladis; Sciutto, Edda; Rosales-Mendoza, Sergio","","","","PLANTA","MAR 2016","2016","243","3","","","","675","685","","10.1007/s00425-015-2431-0","","","20","2.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","1","4","4","3","1","0"
"Characterization of S3Pvac Anti-Cysticercosis Vaccine Components: Implications for the Development of an Anti-Cestodiasis Vaccine","Rassy, Dunia; Bobes, Raul J.; Rosas, Gabriela; Anaya, Victor H.; Brehm, Klaus; Hernandez, Beatriz; Cervantes, Jacquelynne; Pedraza, Saul; Morales, Julio; Villalobos, Nelly; de Aluja, Aline S.; Laclette, Juan P.; Nunes, Caris M.; Biondi, Germano F.; Fragoso, Gladis; Hernandez, Marisela; Sciutto, Edda","","","","PLOS ONE","JUN 23 2010","2010","5","6","","","","","","e11287","10.1371/journal.pone.0011287","","","20","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","1","1","2","0","2","1","0","0","1","1","1","1"
"Heterologous Prime-Boost Oral Immunization with GK-1 Peptide from <i>Taenia crassiceps</i> Cysticerci Induces Protective Immunity","Fragoso, Gladis; Esquivel-Guadarrama, Fernando; Angelica Santana, M.; Bobes, Raul J.; Hernandez, Beatriz; Cervantes, Jacquelynne; Segura, Rene; Goldbaum, Fernando A.; Sciutto, Edda; Rosas, Gabriela","","","","CLINICAL AND VACCINE IMMUNOLOGY","JUL 2011","2011","18","7","","","","1067","1076","","10.1128/CVI.05030-11","","","17","1.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","3","4","2","1","1","0","1","0"
"Recombinant S3Pvac-phage anticysticercosis vaccine: Simultaneous protection against cysticercosis and hydatid disease in rural pigs","Morales, Julio; de Aluja, Aline S.; Juan Martinez, Jose; Hernandez, Marisela; Rosas, Gabriela; Villalobos, Nelly; Hernandez, Beatriz; Blancas, Abel; Manoutcharian, Karen; Gevorkian, Goar; Cervantes, Jacquelynne; Diaz, Alicia; Fleury, Agnes; Fragoso, Gladis; Larralde, Carlos; Sciutto, Edda","","","","VETERINARY PARASITOLOGY","FEB 28 2011","2011","176","1","","","","53","58","","10.1016/j.vetpar.2010.10.039","","","16","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","2","1","3","0","0","1","1","1","0","0"
"Transgenic papaya: a useful platform for oral vaccines","Fragoso, Gladis; Hernandez, Marisela; Cervantes-Torres, Jacquelynne; Ramirez-Aquino, Ruben; Chapula, Hector; Villalobos, Nelly; Segura-Velazquez, Rene; Figueroa, Alfredo; Flores, Ivan; Jimenez, Herminio; Adalid, Laura; Rosas, Gabriela; Galvez, Luis; Pezzat, Elias; Monreal-Escalante, Elizabeth; Rosales-Mendoza, Sergio; Vazquez, Luis G.; Sciutto, Edda","","","","PLANTA","MAY 2017","2017","245","5","","","","1037","1048","","10.1007/s00425-017-2658-z","","","14","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","3","2","1","0"
