Silvia Maribel Contreras Ramos (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Potential of earthworms to accelerate removal of organic contaminants from soil: A review","Rodriguez-Campos, Jacobo; Dendooven, Luc; Alvarez-Bernal, Dioselina; Contreras-Ramos, Silvia Maribel","","","","APPLIED SOIL ECOLOGY","JUL 2014","2014","79","","","","","10","25","","10.1016/j.apsoil.2014.02.010","","","166","15.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","8","9","22","20","22","20","26","20","8"
"Effect of fermentation time and drying temperature on volatile compounds in cocoa","Rodriguez-Campos, J.; Escalona-Buendia, H. B.; Contreras-Ramos, S. M.; Orozco-Avila, I.; Jaramillo-Flores, E.; Lugo-Cervantes, E.","","","","FOOD CHEMISTRY","MAY 1 2012","2012","132","1","","","","277","288","","10.1016/j.foodchem.2011.10.078","","","152","11.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","6","7","13","25","27","19","15","21","9"
"<i>Eisenia fetida</i> increased removal of polycyclic aromatic hydrocarbons from soil","Contreras-Ramos, SM; Alvarez-Bernal, D; Dendooven, L","","","","ENVIRONMENTAL POLLUTION","JUN 2006","2006","141","3","","","","396","401","","10.1016/j.envpol.2005.08.057","","","92","4.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","3","5","4","4","5","6","7","3","11","7","4","5","4","6","9","1"
"Vermicomposting of biosolids with cow manure and oat straw","Contreras-Ramos, SM; Escamilla-Silva, EM; Dendooven, L","","","","BIOLOGY AND FERTILITY OF SOILS","APR 2005","2005","41","3","","","","190","198","","10.1007/s00374-004-0821-8","","","89","4.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","7","7","5","8","4","4","6","4","2","10","4","1","6","7","4","2","4"
"Removal of polycyclic aromatic hydrocarbons from soil amended with biosolid or vermicompost in the presence of earthworms (<i>Eisenia fetida</i>)","Contreras-Ramos, Silvia M.; Alvarez-Bernal, Dioselina; Dendooven, Luc","","","","SOIL BIOLOGY & BIOCHEMISTRY","JUL 2008","2008","40","7","","","","1954","1959","","10.1016/j.soilbio.2008.04.009","","","86","5.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","5","6","8","10","7","2","5","8","5","6","9","4","4","2"
"Utilization of vinasses as soil amendment: consequences and perspectives","Moran-Salazar, R. G.; Sanchez-Lizarraga, A. L.; Rodriguez-Campos, J.; Davila-Vazquez, G.; Marino-Marmolejo, E. N.; Dendooven, L.; Contreras-Ramos, S. M.","","","","SPRINGERPLUS","JUL 7 2016","2016","5","","","","","","","1007","10.1186/s40064-016-2410-3","","","71","7.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","8","14","8","8","9","9"
"Changes in earthworm gut associated enzymes and microbial diversity on the treatment of fermented tannery waste using epigeic earthworm <i>Eudrilus eugeniae</i>","Ravindran, B.; Contreras-Ramos, S. M.; Sekaran, G.","","","","ECOLOGICAL ENGINEERING","JAN 2015","2015","74","","","","","394","401","","10.1016/j.ecoleng.2014.10.014","","","67","6.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","3","9","7","7","11","11","7","2"
"Effects of tanneries wastewater on chemical and biological soil characteristics","Alvarez-Bernal, D.; Contreras-Ramos, S. M.; Trujillo-Tapia, N.; Olalde-Portugal, V.; Frias-Hernandez, J. T.; Dendooven, L.","","","","APPLIED SOIL ECOLOGY","OCT 2006","2006","33","3","","","","269","277","","10.1016/j.apsoil.2005.10.007","","","61","3.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","7","2","4","8","3","2","2","2","6","3","4","2","2","2","4","3"
"Instrumental evidence for biodegradation of tannery waste during vermicomposting process using <i>Eudrilus eugeniae</i>","Ravindran, B.; Sravani, R.; Mandal, A. B.; Contreras-Ramos, S. M.; Sekaran, G.","","","","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","MAR 2013","2013","111","3","","","","1675","1684","","10.1007/s10973-011-2081-9","","","58","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","6","5","4","3","4","9","11","7","4"
"Composting of tannery effluent with cow manure and wheat straw","Contreras-Ramos, SM; Alvarez-Bernal, D; Trujillo-Tapia, N; Dendooven, L","","","","BIORESOURCE TECHNOLOGY","SEP 2004","2004","94","2","","","","223","228","","10.1016/j.biortech.2003.12.001","","","50","2.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","6","4","4","3","0","3","3","0","5","3","4","0","2","2","2","2","1"
