Cortes Ramirez, Jorge Armando (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Dynamic Impedance Model of the Skin-Electrode Interface for Transcutaneous Electrical Stimulation","Vargas Luna, Jose Luis; Krenn, Matthias; Cortes Ramirez, Jorge Armando; Mayr, Winfried","","","","PLOS ONE","MAY 5 2015","2015","10","5","","","","","","e0125609","10.1371/journal.pone.0125609","","","42","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","6","5","3","8","6","8","1"
"Response of streamflow to weather variability under climate change in the Colorado Rockies","Kang, Boosik; Ramirez, Jorge A.","","","","JOURNAL OF HYDROLOGIC ENGINEERING","JAN-FEB 2007","2007","12","1","","","","63","72","","10.1061/(ASCE)1084-0699(2007)12:1(63)","","","32","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","3","4","6","1","0","1","1","0","0","1","3","3","0"
"Optimization of Interphase Intervals to Enhance the Evoked Muscular Responses of Transcutaneous Neuromuscular Electrical Stimulation","Vargas Luna, Jose Luis; Krenn, Matthias; Mayr, Winfried; Cortes Ramirez, Jorge Armando","","","","ARTIFICIAL ORGANS","DEC 2017","2017","41","12","","","SI","1145","1152","","10.1111/aor.12921","","","7","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","1","1","0"
"Sub-threshold depolarizing pre-pulses can enhance the efficiency of biphasic stimuli in transcutaneous neuromuscular electrical stimulation","Vargas Luna, Jose Luis; Mayr, Winfried; Cortes-Ramirez, Jorge-Armando","","","","MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","DEC 2018","2018","56","12","","","","2213","2219","","10.1007/s11517-018-1851-y","","","3","0.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0"
"Dynamic Impedance Model of the Skin-Electrode Interface for Transcutaneous Electrical Stimulation (vol 10, e0125609, 2015)","Luna, Jose Luis Vargas; Krenn, Matthias; Ramirez, Jorge Armando Cortes; Mayr, Winfried","","","","PLOS ONE","JUN 5 2015","2015","10","6","","","","","","e0130368","10.1371/journal.pone.0130368","","","3","0.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0"
"Application of a Neural Network to Improve the Automatic Measurement of Blood Pressure","Salazar Mendiola, Juan Luis; Vargas Luna, Jose Luis; Gonzalez Guerra, Jose Luis; Cortes Ramirez, Jorge Armando","","","Iliadis, L; Papadopoulos, H; Jayne, C","ENGINEERING APPLICATIONS OF NEURAL NETWORKS, EANN 2013, PT I","2013","2013","383","","","","","263","272","","","14th International Conference on Engineering Applications of Neural Networks (EANN)","SEP 13-16, 2013","1","0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"The elaboration of a model to explain the adoption of information technologies for supply chain","Arroyo, Pilar E.; Ramirez, Jorge A.; Erosa, Victoria E.","","","Kocaoglu, DF; Anderson, TR; Daim, TU","PICMET '07: PORTLAND INTERNATIONAL CENTER FOR MANAGEMENT OF ENGINEERING AND TECHNOLOGY, VOLS 1-6, PROCEEDINGS: MANAGEMENT OF CONVERGING TECHNOLOGIES","2007","2007","","","","","","2379","2390","","10.1109/PICMET.2007.4349572","Conference of the Portland-International-Center-for-Management-of-Engineering-and-Technology (PICMET 2007)","AUG 05-09, 2007","1","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Development of an electroactive biopolymer-based membrane and characterization of mechanical actuator properties for applications in electromechanical smart products","Cuellar-Monterrubio, A. A.; Cortes-Ramirez, Jorge A.; Stawski, D.; Jimenez-Garcia, V. E.; Puchalski, M.; Chrzanowski, M.; Cruz-Diaz, S. G.; Gendaszewska-Darmach, E.; Krucinska, I.; Koziolkiewicz, M.","","","","INTERNATIONAL JOURNAL OF INTERACTIVE DESIGN AND MANUFACTURING - IJIDEM","SEP 2022","2022","16","3","","","","1113","1123","","10.1007/s12008-021-00783-z","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Design and Manufacturing of a Body-Powered Hook with Force Regulation System and Composite-Based Nanomaterials","Trejo-Letechipia, Manuel Alejandro; Rodriguez-Sanchez, David Arturo; Gonzalez-Gonzalez, Reyna Berenice; Perez-Sanpablo, Alberto Isaac; Arizmendi-Morquecho, Ana Maria; Lara-Ceniceros, Tania E.; Bonilla-Cruz, Jose; Cortes-Ramirez, Jorge Armando","","","","APPLIED SCIENCES-BASEL","MAY 2021","2021","11","9","","","","","","4225","10.3390/app11094225","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Use of an Inter-Phase Pause to Increase the Efficiency of Biphasic Pulses on Transcutaneous Electrical Stimulation","Vargas Luna, J. L.; Krenn, M.; Cortes Ramirez, J. A.; Mayr, W.","","","","BIOMEDICAL ENGINEERING-BIOMEDIZINISCHE TECHNIK","OCT 2014","2014","59","","","1","","S1016","+","","10.1515/bmt-2014-4443","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
