Emilio Cruz (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Swelling characterization and drug delivery kinetics of polyacrylamide-co-itaconic acid/chitosan hydrogels","Martinez-Ruvalcaba, A.; Sanchez-Diaz, J. C.; Becerra, F.; Cruz-Barba, L. E.; Gonzalez-Alvarez, A.","","","","EXPRESS POLYMER LETTERS","JAN 2009","2009","3","1","","","","25","32","","10.3144/expresspolymlett.2009.5","","","103","6.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","5","4","11","9","6","5","9","12","11","10","3","5","3"
"Highly hydrophobic sisal chemithermomechanical pulp (CTMP) paper by fluorotrimethylsilane plasma treatment","Navarro, F; Dávalos, F; Denes, F; Cruz, LE; Young, RA; Ramos, J","","","","CELLULOSE","DEC 2003","2003","10","4","","","","411","424","","10.1023/A:1027381810022","","","54","2.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","3","6","1","3","3","4","7","1","4","3","3","1","1","0","4","1","0","1"
"Novel plasma approach for the synthesis of highly fluorinated thin surface layers","Cruz-Barba, LE; Manolache, S; Denes, F","","","","LANGMUIR","NOV 26 2002","2002","18","24","","","","9393","9400","","10.1021/la026032c","","","32","1.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","2","1","1","2","2","3","1","4","1","2","1","2","1","0","1","0","0"
"Long-Term Reduction in Poly(dimethylsiloxane) Surface Hydrophobicity via Cold-Plasma Treatments","Larson, B. J.; Gillmor, S. D.; Braun, J. M.; Cruz-Barba, L. E.; Savage, D. E.; Denes, F. S.; Lagally, M. G.","","","","LANGMUIR","OCT 22 2013","2013","29","42","","","","12990","12996","","10.1021/la403077q","","","25","2.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","5","4","2","2","2","3","2"
"Plasma-enhanced modification of polysaccharides for wastewater treatment: A review","Laureano-Anzaldo, Cesar Mario; Gonzalez-Lopez, Martin Esteban; Perez-Fonseca, Aida Alejandra; Cruz-Barba, Luis Emilio; Robledo-Ortiz, Jorge Ramon","","","","CARBOHYDRATE POLYMERS","JAN 15 2021","2021","252","","","","","","","117195","10.1016/j.carbpol.2020.117195","","","19","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","5"
"Synthesis of bactericidal polymer coatings by sequential plasma-induced polymerization of 4-vinyl pyridine and gas-phase quaternization of poly-4-vinyl pyridine","Hernandez-Orta, Martha; Perez, Elias; Emilio Cruz-Barba, Luis; Sanchez-Castillo, Marco A.","","","","JOURNAL OF MATERIALS SCIENCE","JUN 2018","2018","53","12","","","","8766","8785","","10.1007/s10853-018-2183-x","","","17","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","2","4","4"
"Mechanical and thermal properties of polyethylene/carbon nanofiber composites produced by rotational molding","Zepeda-Rodriguez, Zenen; Arellano-Martinez, Martin R.; Cruz-Barba, Emilio; Zamudio-Ojeda, Adalberto; Rodrigue, Denis; Vazquez-Lepe, Milton; Gonzalez-Nunez, Ruben","","","","POLYMER COMPOSITES","APR 2020","2020","41","4","","","","1224","1233","","10.1002/pc.25448","","","12","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","4"
"Low-contact-angle polydimethyl siloxane (PDMS) membranes for fabricating micro-bioarrays","Gillmor, SD; Larson, BJ; Braun, JM; Mason, CE; Cruz-Barba, LE; Denes, F; Lagally, MG","","","Dittmar, A; Beebe, D","2ND ANNUAL INTERNATIONAL IEEE-EMBS SPECIAL TOPIC CONFERENCE ON MICROTECHNOLOGIES IN MEDICINE & BIOLOGY, PROCEEDINGS","2002","2002","","","","","","51","56","","10.1109/MMB.2002.1002263","2nd Annual International IEEE/EMBS Conference on Microtechnologies in Medicine and Biology","MAY 02-04, 2002","12","0.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Synthesis and characterization of acrylamide/acrylic acid hydrogels crosslinked using a novel diacrylate of glycerol to produce multistructured materials","Cecilia Lopez-Ureta, Luz; Orozco-Guareno, Eulogio; Emilio Cruz-Barba, Luis; Gonzalez-Alvarez, Alejandro; Bautista-Rico, Fernando","","","","JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY","APR 15 2008","2008","46","8","","","","2667","2679","","10.1002/pola.22598","","","11","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","1","0","0","0","0","1","0","0","1","2","0","0"
"Effect of Sodium Hexametaphosphate Concentration on the Swelling and Controlled Drug Release Properties of Chitosan Hydrogels","Sanchez-Diaz, Juan C.; Becerra-Bracamontes, Fausto; Gonzalez-Alvarez, Alejandro; Emilio Cruz-Barba, L.; Martinez-Ruvalcaba, Agustin","","","","JOURNAL OF APPLIED POLYMER SCIENCE","SEP 15 2010","2010","117","6","","","","3595","3600","","10.1002/app.32251","","","9","0.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","0","1","0","0","1"
