BLANCA DELGADO-COELLO (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Atherosclerosis and Cancer; A Resemblance with Far-reaching Implications","Virginia Tapia-Vieyra, Juana; Delgado-Coello, Blanca; Mas-Oliva, Jaime","","","","ARCHIVES OF MEDICAL RESEARCH","JAN 2017","2017","48","1","","","","12","26","","10.1016/j.arcmed.2017.03.005","","","94","11.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","17","13","14","17","15","7"
"INFLUENCE OF PIPECOLIC ACID ON THE RELEASE AND UPTAKE OF [H-3]GABA FROM BRAIN-SLICES OF MOUSE CEREBRAL-CORTEX","GUTIERREZ, MC; DELGADOCOELLO, BA","","","","NEUROCHEMICAL RESEARCH","MAY 1989","1989","14","5","","","","405","408","","10.1007/BF00964852","","","42","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","2","1","1","1","3","1","2","0","2","1","1","1","3","3","1","2","2","0","2","1","0","1","2","3","1","0"
"Fatty Acid and Lipopolysaccharide Effect on Beta Cells Proteostasis and its Impact on Insulin Secretion","Acosta-Montano, Paloma; Rodriguez-Velazquez, Eustolia; Ibarra-Lopez, Esmeralda; Frayde-Gomez, Hector; Mas-Oliva, Jaime; Delgado-Coello, Blanca; Rivero, Ignacio A.; Alatorre-Meda, Manuel; Aguilera, Jorge; Guevara-Olaya, Lizbeth; Garcia-Gonzalez, Victor","","","","CELLS","AUG 2019","2019","8","8","","","","","","884","10.3390/cells8080884","","","39","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","10","10","4","8"
"Hepatic Accumulation of Hypoxanthine: A Link Between Hyperuricemia and Nonalcoholic Fatty Liver Disease","Toledo-Ibelles, Paola; Gutierrez-Vidal, Roxana; Calixto-Tlacomulco, Sandra; Delgado-Coello, Blanca; Mas-Oliva, Jaime","","","","ARCHIVES OF MEDICAL RESEARCH","OCT 2021","2021","52","7","","","","692","702","","10.1016/j.arcmed.2021.04.005","","","27","6.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","8","10"
"New insights into lipopolysaccharide inactivation mechanisms in sepsis","Perez-Hernandez, Erendira Guadalupe; Delgado-Coello, Blanca; Luna-Reyes, Ismael; Mas-Oliva, Jaime","","","","BIOMEDICINE & PHARMACOTHERAPY","SEP 2021","2021","141","","","","","","","111890","10.1016/j.biopha.2021.111890","","","27","6.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","5","7"
"Cholesterol: recapitulation of its active role during liver regeneration","Delgado-Coello, Blanca; Briones-Orta, Marco A.; Macias-Silva, Marina; Mas-Oliva, Jaime","","","","LIVER INTERNATIONAL","OCT 2011","2011","31","9","","","","1271","1284","","10.1111/j.1478-3231.2011.02542.x","","","27","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","1","6","1","0","3","2","3","0","4","1"
"Is there a specific role for the plasma membrane Ca<SUP>2+</SUP>-ATPase in the hepatocyte?","Delgado-Coello, Blanca; Trejo, Raquel; Mas-Oliva, Jaime","","","","MOLECULAR AND CELLULAR BIOCHEMISTRY","APR 2006","2006","285","1-2","","","","1","15","","10.1007/s11010-005-9060-z","","","27","1.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","2","3","1","3","1","0","1","1","1","0","2","2","2","1"
"Reality of a Vaccine in the Prevention and Treatment of Atherosclerosis","Garcia-Gonzalez, Victor; Delgado-Coello, Blanca; Perez-Torres, Armando; Mas-Oliva, Jaime","","","","ARCHIVES OF MEDICAL RESEARCH","JUL 2015","2015","46","5","","","SI","427","437","","10.1016/j.arcmed.2015,06.004","","","26","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","3","3","5","2","2","3"
"Early Transcriptomic Response to LDL and oxLDL in Human Vascular Smooth Muscle Cells","Damian-Zamacona, Salvador; Toledo-Ibelles, Paola; Ibarra-Abundis, Mabel Z.; Uribe-Figueroa, Laura; Hernandez-Lemus, Enrique; Paola Macedo-Alcibia, Karla; Delgado-Coello, Blanca; Mas-Oliva, Jaime; Pablo Reyes-Grajeda, Juan","","","","PLOS ONE","OCT 11 2016","2016","11","10","","","","","","e0163924","10.1371/journal.pone.0163924","","","19","2.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","1","3","4","3","2","0"
"Plasma membrane Ca<SUP>2+</SUP>-ATPase mRNA expression in murine hepatocarcinoma and regenerating liver cells","Delgado-Coello, B; Santiago-García, J; Zarain-Herzberg, A; Mas-Oliva, J","","","","MOLECULAR AND CELLULAR BIOCHEMISTRY","MAY 2003","2003","247","1-2","","","","177","184","","10.1023/A:1024119831983","","","15","0.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","2","0","1","0","1","0","0","3","0","1","0","1","1","0","1"
