de Leon, J. N. Diaz (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Green synthesis of silver nanoparticles using <i>Lysiloma acapulcensis</i> exhibit high-antimicrobial activity","Garibo, Diana; Borbon-Nunez, Hugo A.; Diaz de Leon, Jorge N.; Garcia Mendoza, Ernesto; Estrada, Ivan; Toledano-Magana, Yanis; Tiznado, Hugo; Ovalle-Marroquin, Marcela; Soto-Ramos, Alicia G.; Blanco, Alberto; Rodriguez, Jose A.; Romo, Oscar A.; Chavez-Almazan, Luis A.; Susarrey-Arce, Arturo","","","","SCIENTIFIC REPORTS","JUL 30 2020","2020","10","1","","","","","","12805","10.1038/s41598-020-69606-7","","","245","49.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","55","79","65","44"
"Recent Insights in Transition Metal Sulfide Hydrodesulfurization Catalysts for the Production of Ultra Low Sulfur Diesel: A Short Review","Diaz de Leon, Jorge Noe; Kumar, Chowdari Ramesh; Antunez-Garcia, Joel; Fuentes-Moyado, Sergio","","","","CATALYSTS","JAN 2019","2019","9","1","","","","","","87","10.3390/catal9010087","","","85","14.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","14","20","24","13","10"
"Hydrodesulfurization of sulfur refractory compounds: Effect of gallium as an additive in NiWS/γ-Al<sub>2</sub>O<sub>3</sub> catalysts","Diaz de Leon, J. N.; Picquart, M.; Massin, L.; Vrinat, M.; de los Reyes, J. A.","","","","JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL","NOV 2012","2012","363","","","","","311","321","","10.1016/j.molcata.2012.07.006","","","58","4.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","6","4","4","3","5","8","7","3","4"
"Insight of 1D γ-Al<sub>2</sub>O<sub>3</sub> nanorods decoration by NiWS nanoslabs in ultra-deep hydrodesulfurization catalyst","Diaz de Leon, J. N.; Zepeda, T. A.; Alonso-Nunez, G.; Galvan, D. H.; Pawelec, B.; Fuentes, S.","","","","JOURNAL OF CATALYSIS","JAN 2015","2015","321","","","","","51","61","","10.1016/j.jcat.2014.11.001","","","39","3.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","5","7","5","3","4","2","4","2"
"Binary γ-Al<sub>2</sub>O<sub>3</sub>-α-Ga<sub>2</sub>O<sub>3</sub> as supports of NiW catalysts for hydrocarbon sulfur removal","de Leon, J. N. Diaz","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","FEB 2016","2016","181","","","","","524","533","","10.1016/j.apcatb.2015.08.028","","","38","4.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","4","7","3","9","4","2"
"Support effects of NiW catalysts for highly selective sulfur removal from light hydrocarbons","Diaz de Leon, J. N.; Zavala-Sanchez, L. A.; Suarez-Toriello, V. A.; Alonso-Nunez, G.; Zepeda, T. A.; Yocupicio, R. I.; de los Reyes, J. A.; Fuentes, S.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","SEP 15 2017","2017","213","","","","","167","176","","10.1016/j.apcatb.2017.05.014","","","28","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","3","4","6","3","4"
"Support effects of NiW hydrodesulfurization catalysts from experiments and DFT calculations","Diaz de Leon, J. N.; Antunes-Garcia, J.; Alonso-Nunez, G.; Zepeda, T. A.; Galvan, D. H.; de los Reyes, J. A.; Fuentes, S.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","DEC 15 2018","2018","238","","","","","480","490","","10.1016/j.apcatb.2018.07.059","","","27","3.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","4","7","8","3"
"One dimensional (1D) γ-alumina nanorod linked networks: Synthesis, characterization and application","Diaz de Leon, Jorge N.; Petranovskii, Vitallii; de los Reyes, Jose A.; Alonso-Nunez, Gabriel; Zepeda, Trino A.; Fuentes, Sergio; Garcia-Fierro, Jose L.","","","","APPLIED CATALYSIS A-GENERAL","FEB 22 2014","2014","472","","","","","1","10","","10.1016/j.apcata.2013.12.005","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","4","3","3","1","4","4","0","0"
"Single step and template-free synthesis of Dandelion flower-like core-shell architectures of metal oxide microspheres: Influence of sulfidation on particle morphology & hydrodesulfurization performance","Kumar Chowdari, Ramesh; Noe Diaz de Leon, J.; Fuentes-Moyado, Sergio","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","NOV 15 2020","2020","277","","","","","","","119213","10.1016/j.apcatb.2020.119213","","","20","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","8","3","4"
"Highly active CoMo/Al (10) KIT-6 catalysts for HDS of DBT: Role of structure and aluminum heteroatom in the support matrix","Suresh, C.; Perez-Cabrera, L.; Diaz de Leon, J. N.; Zepeda, T. A.; Alonso-Nunez, G.; Fuentes Moyado, S.","","","","CATALYSIS TODAY","NOV 1 2017","2017","296","","","","SI","214","218","","10.1016/j.cattod.2017.04.048","25th Iberoamerican Congress on Catalysis (CICat)","SEP 18-23, 2016","20","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","2","4","1","2"
