Lopez Ruiz, Maria del Carmen (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Functional Characterization of SbmA a Bacterial Inner Membrane Transporter Required for Importing the Antimicrobial Peptide Bac7(1-35)","Runti Giulia; Ruiz Maria del Carmen Lopez; Stoilova Tatiana; Hussain Rohanah; Jennions Matthew; Choudhury Hassanul G.; Benincasa Monica; Gennaro Renato; Beis Konstantinos; Scocchi Marco","","","","JOURNAL OF BACTERIOLOGY","DEC 2013","2013","195","23","","","","5343","5351","","10.1128/JB.00818-13","","","77","6.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","9","9","12","7","5","8","11","5","1","3"
"Multi-class chemical exposure in rural Peru using silicone wristbands","Bergmann Alan J.; North Paula E.; Vasquez Luis; Bello Hernan; Gastanaga Ruiz Maria del Carmen; Anderson Kim A.","","","","JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY","NOV-DEC 2017","2017","27","6","","","","560","568","","10.1038/jes.2017.12","","","64","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","11","11","12","8","7"
"Enhancing the Territorial Heritage of Declining Rural Areas in Spain: Towards Integrating Top-Down and Bottom-Up Approaches","Ruiz Pulpon Angel Raul; Canizares Ruiz Maria del Carmen","","","","LAND","JUL 2020","2020","9","7","","","","","","216","10.3390/land9070216","","","28","5.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","9","3"
"The '<i>t</i>-Amino Effect' of <i>ortho</i>-Nitroso Amines. Synthesis of 2.6-Diaminoadenine Derivatives from 6-(Dialkylamino)-5-nitrosopyrimidines","Ruiz Maria del Carmen Ruiz; Vasella Andrea","","","","HELVETICA CHIMICA ACTA","MAY 2011","2011","94","5","","","","785","800","","","","","13","0.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","1","0","0","2","0","1","1","0","0","0"
"Potential of Vineyard Landscapes for Sustainable Tourism","Ruiz Pulpon Angel Raul; Canizares Ruiz Maria del Carmen","","","","GEOSCIENCES","NOV 2019","2019","9","11","","","","","","472","10.3390/geosciences9110472","","","10","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","1"
"Decoding and deafness: Two sides of a coin","Akbergenov Rashid; Shcherbakov Dmitry; Matt Tanja; Duscha Stefan; Meyer Martin; Fernande Deborah Perez; Pathak Rashmi; Harish Shinde; Kudyba Iwona; Dubbaka Srinivas R.; Silva Sandrina; Ruiz Maria del Carmen Ruiz; Salian Sumantha; Vasella Andrea; Boettger Erik C.","","","Rodnina MV; Wintermeyer W; Green R","RIBOSOMES: STRUCTURE FUNCTION AND DYNAMICS","2011","2011","","","","","","249","+","","","2010 Ribosome Meeting","MAY 03-07 2010","8","0.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","0","0","1","1","0","0","0"
"Intangible Heritage and Territorial Identity in the Multifunctional Agrarian Systems of Vineyards in Castilla-La Mancha (Spain)","Ruiz Pulpon Angel Raul; Canizares Ruiz Maria del Carmen","","","","LAND","FEB 2022","2022","11","2","","","","","","281","10.3390/land11020281","","","6","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1"
"Regional Identity and Intangible Heritage Related to Saffron Cultivation in Castilla-La Mancha (Spain)","Pulpon Angel Raul Ruiz; Ruiz Maria del Carmen Canizares; Sanchez-Mateos Hector S. Martinez","","","","HERITAGE","MAR 2023","2023","6","3","","","","2453","2472","","10.3390/heritage6030129","","","5","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"A place in the dunes. Opportunistic use of a coastal space during the pre-European period on the island of Gran Canaria (circa 8th-11th centuries AD)","Rodriguez Rodriguez Amelia; Santana Cabrera Jonathan; Castellano Alonso Pablo; Del Pino Curbelo Miguel; Francisco Ortega Isabel; Gomez de la Rua Diana; Gonzalez Ruiz Maria del Carmen; Henriquez Valido Pedro; Machado Yanes Maria del Carmen; Marlasca Ricard; Mesa Hernandez Eduardo; Morales Mateos Jacob; Moreno Garcia Marta; Rando Reyes Juan Carlos; Hernandez Calvento Luis","","","","TRABAJOS DE PREHISTORIA","JUL-DEC 2021","2021","78","2","","","","325","343","","10.3989/tp.2021.12279","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1"
"Demographic trends and its relationship with spatial cohesion in the functional urban areas of Castilla-La Mancha (Spain)","Pillet Capdepon Felix; Canizares Ruiz Maria del Carmen; Ruiz Pulpon Angel Raul; Martinez Sanchez-Mateos Hector; Plaza Tabasco Julio Jose","","","","BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES","2018","2018","","76","","","","153","182","","10.21138/bage.2519","","","5","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
