Dominguez-Esquivel, Jose Manuel (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hydrogen production by methane reforming with H<sub>2</sub>S using Mo,Cr/ZrO<sub>2</sub>-SBA15 and Mo,Cr/ZrO<sub>2</sub>-La<sub>2</sub>O<sub>3</sub> catalysts","Martinez-Salazar, A. L.; Melo-Banda, J. A.; Reyes de la Torre, A. I.; Salazar-Cerda, Y.; Coronel-Garcia, M. A.; Portales Martinez, B.; Martinez-Sifuentes, V. H.; Dominguez-Esquivel, J. M.; Silva Rodrigo, R.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","DEC 28 2015","2015","40","48","","","SI","17272","17283","","10.1016/j.ijhydene.2015.09.154","14th International Congress of the Mexican-Hydrogen-Society - Hydrogen Technologies - Nanostructured Materials and Energy Systems for Sustainable Future","SEP 30-OCT 04, 2014","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","9","0","3","2","5","1"
"Calculation of the Solubility Parameter by COSMO-RS Methods and Its Influence on Asphaltene-Ionic Liquid Interactions","Hernandez-Bravo, R.; Miranda, A. D.; Martinez-Mora, O.; Dominguez, Z.; Martinez-Magadan, J. M.; Garcia-Chavez, R.; Dominguez-Esquivel, J. M.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","MAY 3 2017","2017","56","17","","","","5107","5115","","10.1021/acs.iecr.6b05035","","","22","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","5","4","5","0"
"Technoeconomic analysis of hydrogen production via hydrogen sulfide methane reformation","Martinez-Salazar, A. L.; Melo-Banda, J. A.; Coronel-Garcia, M. A.; Garcia-Vite, Pedro M.; Martinez-Salazar, Iris; Dominguez-Esquivel, J. M.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","MAY 9 2019","2019","44","24","","","SI","12296","12302","","10.1016/j.ijhydene.2018.11.023","17th International Congress of the Mexican-Hydrogen-Society (SMH)","SEP 19-22, 2017","21","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","5","5","6"
"Hydrogen generation by aluminum alloy corrosion in aqueous acid solutions promoted by nanometal: Kinetics study","Martinez-Salazar, A. L.; Melo-Banda, J. A.; Coronel-Garcia, M. A.; Gonzalez-Barbosa, Jj.; Dominguez-Esquivel, J. M.","","","","RENEWABLE ENERGY","FEB 2020","2020","146","","","","","2517","2523","","10.1016/j.renene.2019.08.103","","","17","3.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","5","4"
"Hydrogen production by methane and hydrogen sulphide reaction: Kinetics and modeling study over Mo/La<sub>2</sub>O<sub>3</sub>-ZrO<sub>2</sub> catalyst","Martinez-Salazar, A. L.; Melo-Banda, J. A.; Dominguez-Esquivel, J. M.; Martinez-Sifuentes, V. H.; Salazar-Cerda, Y.; Coronel-Garcia, M. A.; Meraz-Melo, M. A.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","DEC 28 2015","2015","40","48","","","SI","17354","17360","","10.1016/j.ijhydene.2015.03.074","14th International Congress of the Mexican-Hydrogen-Society - Hydrogen Technologies - Nanostructured Materials and Energy Systems for Sustainable Future","SEP 30-OCT 04, 2014","16","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","0","2","1","5","2"
"Study of <i>n</i>-hexane isomerization on mixed Al<sub>2</sub>O<sub>3</sub>-ZrO<sub>2</sub>/SO<sub>4</sub><SUP>2-</SUP> catalysts","Guevara-Franco, ML; Robles-Andrade, S; García-Alamilla, R; Sandoval-Robles, G; Domínguez-Esquivel, JM","","","","CATALYSIS TODAY","FEB 20 2001","2001","65","2-4","","","","137","141","","10.1016/S0920-5861(00)00595-2","4th European Congress on Catalysis (EUROPACAT-IV)","SEP 05-10, 1999","16","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","1","0","0","1","5","2","0","0","1","0","0","0","0","0","0","1","0","0","0"
"Predictive method of hydrogen solubility in heavy petroleum fractions using EOS/G<SUP>E</SUP> and group contributions methods","Aguilar-Cisneros, Humberto; Carreon-Calderon, Bernardo; Uribe-Vargas, Veronica; Manuel Dominguez-Esquivel, Jose; Ramirez-de-Santiago, Mario","","","","FUEL","JUL 15 2018","2018","224","","","","","619","627","","10.1016/j.fuel.2018.03.116","","","14","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","2","3","3"
"Hydrogen Solubility in Heavy Undefined Petroleum Fractions Using Group Contributions Methods","Aguilar-Cisneros, Humberto; Uribe-Vargas, Veronica; Carreon-Calderon, Bernardo; Dominguez-Esquivel, Jose Manuel; Ramirez-de-Santiago, Mario","","","","OIL & GAS SCIENCE AND TECHNOLOGY-REVUE D IFP ENERGIES NOUVELLES","JAN-FEB 2017","2017","72","1","","","","","","2","10.2516/ogst/2016023","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","2","2","2","1"
"Chitosan-Starch Films Modified with Natural Extracts to Remove Heavy Oil from Water","Lozano-Navarro, Jessica, I; Diaz-Zavala, Nancy P.; Melo-Banda, Jose A.; Velasco-Santos, Carlos; Paraguay-Delgado, Francisco; Perez-Sanchez, Josue F.; Dominguez-Esquivel, Jose M.; Suarez-Dominguez, Edgardo J.; Sosa-Sevilla, Jaime E.","","","","WATER","JAN 2020","2020","12","1","","","","","","17","10.3390/w12010017","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","2"
"Experimental and theoretical study on the effectiveness of ionic liquids as corrosion inhibitors","Hernandez-Bravo, Raiza; Miranda, Alma D.; Parra, Jose G.; Alvarado-Orozco, Juan M.; Mujica, Vladimiro; Dominguez-Esquivel, Jose M.","","","","COMPUTATIONAL AND THEORETICAL CHEMISTRY","APR 2022","2022","1210","","","","","","","113640","10.1016/j.comptc.2022.113640","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3"
