Karel Douda (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Conservation status of freshwater mussels in Europe: state of the art and future challenges","Lopes-Lima, Manuel; Sousa, Ronaldo; Geist, Juergen; Aldridge, David C.; Araujo, Rafael; Bergengren, Jakob; Bespalaya, Yulia; Bodis, Erika; Burlakova, Lyubov; Van Damme, Dirk; Douda, Karel; Froufe, Elsa; Georgiev, Dilian; Gumpinger, Clemens; Karatayev, Alexander; Kebapci, Umit; Killeen, Ian; Lajtner, Jasna; Larsen, Bjorn M.; Lauceri, Rosaria; Legakis, Anastasios; Lois, Sabela; Lundberg, Stefan; Moorkens, Evelyn; Motte, Gregory; Nagel, Karl-Otto; Ondina, Paz; Outeiro, Adolfo; Paunovic, Momir; Prie, Vincent; von Proschwitz, Ted; Riccardi, Nicoletta; Rudzite, Mudite; Rudzitis, Maris; Scheder, Christian; Seddon, Mary; Sereflisan, Hulya; Simic, Vladica; Sokolova, Svetlana; Stoeckl, Katharina; Taskinen, Jouni; Teixeira, Amilcar; Thielen, Frankie; Trichkova, Teodora; Varandas, Simone; Vicentini, Heinrich; Zajac, Katarzyna; Zajac, Tadeusz; Zogaris, Stamatis","","","","BIOLOGICAL REVIEWS","FEB 2017","2017","92","1","","","","572","607","","10.1111/brv.12244","","","395","49.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","26","53","64","58","55","41","45","42"
"Research priorities for freshwater mussel conservation assessment","Ferreira-Rodriguez, Noe; Akiyama, Yoshihiro B.; Aksenova, Olga V.; Araujo, Rafael; Barnhart, M. Christopher; Bespalaya, Yulia V.; Bogan, Arthur E.; Bolotov, Ivan N.; Budha, Prem B.; Clavijo, Cristhian; Clearwater, Susan J.; Darrigran, Gustavo; Van Tu Do; Douda, Karel; Froufe, Elsa; Gumpinger, Clemens; Henrikson, Lennart; Humphrey, Chris L.; Johnson, Nathan A.; Klishko, Olga; Klunzinger, Michael W.; Kovitvadhi, Satit; Kovitvadhi, Uthaiwan; Lajtner, Jasna; Lopes-Lima, Manuel; Moorkens, Evelyn A.; Nagayama, Shigeya; Nagel, Karl-Otto; Nakano, Mitsunori; Negishi, Junjiro N.; Ondina, Paz; Oulasvirta, Panu; Prie, Vincent; Riccardi, Nicoletta; Rudzite, Mudite; Sheldon, Fran; Sousa, Ronaldo; Strayer, David L.; Takeuchi, Motoi; Taskinen, Jouni; Teixeira, Amilcar; Tiemann, Jeremy S.; Urbanska, Maria; Varandas, Simone; Vinarski, Maxim V.; Wicklow, Barry J.; Zajac, Tadeusz; Vaughn, Caryn C.","","","","BIOLOGICAL CONSERVATION","MAR 2019","2019","231","","","","","77","87","","10.1016/j.biocon.2019.01.002","","","152","25.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","23","38","26","29","17"
"Fish and mussels: Importance of fish for freshwater mussel conservation","Modesto, Vanessa; Ilarri, Martina; Souza, Allan T.; Lopes-Lima, Manuel; Douda, Karel; Clavero, Miguel; Sousa, Ronaldo","","","","FISH AND FISHERIES","MAR 2018","2018","19","2","","","","244","259","","10.1111/faf.12252","","","131","18.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","19","16","25","18","23","24"
"The role of host specificity in explaining the invasion success of the freshwater mussel Anodonta woodiana in Europe","Douda, K.; Vrtilek, M.; Slavik, O.; Reichard, M.","","","","BIOLOGICAL INVASIONS","JAN 2012","2012","14","1","","","","127","137","","10.1007/s10530-011-9989-7","","","104","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","4","7","12","12","9","9","5","6","8","5","12"
"Invasive Chinese pond mussel <i>Sinanodonta woodiana</i> threatens native mussel reproduction by inducing cross-resistance of host fish","Donrovich, Seth W.; Douda, Karel; Plechingerova, Vera; Rylkova, Katerina; Horky, Pavel; Slavik, Ondrej; Liu, Huan-Zhang; Reichard, Martin; Lopes-Lima, Manuel; Sousa, Ronaldo","","","","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","DEC 2017","2017","27","6","","","","1325","1333","","10.1002/aqc.2759","","","52","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","8","7","10","6","6","7"
"Biotic homogenization as a threat to native affiliate species: fish introductions dilute freshwater mussel's host resources","Douda, Karel; Lopes-Lima, Manuel; Hinzmann, Mariana; Machado, Jorge; Varandas, Simone; Teixeira, Amilcar; Sousa, Ronaldo","","","","DIVERSITY AND DISTRIBUTIONS","AUG 2013","2013","19","8","","","","933","942","","10.1111/ddi.12044","","","52","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","8","4","6","11","3","4","1","4","4"
"Expanding conservation culturomics and iEcology from terrestrial to aquatic realms","Jaric, Ivan; Roll, Uri; Arlinghaus, Robert; Belmaker, Jonathan; Chen, Yan; China, Victor; Douda, Karel; Essl, Franz; Jaehnig, Sonja C.; Jeschke, Jonathan M.; Kalinkat, Gregor; Kalous, Lukas; Ladle, Richard; Lennox, Robert J.; Rosa, Rui; Sbragaglia, Valerio; Sherren, Kate; Smejkal, Marek; Soriano-Redondo, Andrea; Souza, Allan T.; Wolter, Christian; Correia, Ricardo A.","","","","PLOS BIOLOGY","OCT 2020","2020","18","10","","","","","","e3000935","10.1371/journal.pbio.3000935","","","49","9.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","14","12","15"
"Host limitation of the thick-shelled river mussel: identifying the threats to declining affiliate species","Douda, K.; Horky, P.; Bily, M.","","","","ANIMAL CONSERVATION","OCT 2012","2012","15","5","","","","536","544","","10.1111/j.1469-1795.2012.00546.x","","","44","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","5","5","5","6","4","2","2","0","3","1"
"Host compatibility as a critical factor in management unit recognition: population-level differences in mussel-fish relationships","Douda, Karel; Sell, Jerzy; Kubikova-Pelakova, Lucie; Horky, Pavel; Kaczmarczyk, Agnieszka; Mioduchowska, Monika","","","","JOURNAL OF APPLIED ECOLOGY","AUG 2014","2014","51","4","","","","1085","1095","","10.1111/1365-2664.12264","","","40","3.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","9","8","2","4","4","3","1"
"Parasite-induced increases in the energy costs of movement of host freshwater fish","Slavik, Ondrej; Horky, Pavel; Douda, Karel; Velisek, Josef; Kolarova, Jitka; Lepic, Pavel","","","","PHYSIOLOGY & BEHAVIOR","MAR 15 2017","2017","171","","","","","127","134","","10.1016/j.physbeh.2017.01.010","","","39","4.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","7","4","5","4","7","6"
