Angel Duarte-Vazquez, Miguel (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Purification and partial characterization of three turnip (<i>Brassica napus</i> L. var. esculenta DC) peroxidases","Duarte-Vázquez, MA; García-Almendárez, B; Regalado, C; Whitaker, JR","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","MAY 2000","2000","48","5","","","","1574","1579","","10.1021/jf990454j","","","62","2.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","1","4","4","3","9","5","4","6","6","2","3","0","2","1","0","2","0","1","0","2","0"
"Purification and properties of a neutral peroxidase isozyme from turnip (<i>Brassica napus</i> L. var. purple top white globe) roots","Duarte-Vázquez, MA; García-Almendárez, BE; Regalado, C; Whitaker, JR","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","SEP 2001","2001","49","9","","","","4450","4456","","10.1021/jf010043e","","","61","2.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","1","5","2","6","4","4","4","7","5","2","2","6","3","1","1","1","2","0","0","0"
"Polyethylene glycol improves phenol removal by immobilized turnip peroxidase","Quintanilla-Guerrero, F.; Duarte-Vazquez, M. A.; Garcia-Almendarez, B. E.; Tinoco, R.; Vazquez-Duhalt, R.; Regalado, C.","","","","BIORESOURCE TECHNOLOGY","DEC 2008","2008","99","18","","","","8605","8611","","10.1016/j.biortech.2008.04.031","","","54","3.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","2","4","2","5","4","6","1","3","4","6","5","2","2","1"
"Removal of aqueous phenolic compounds from a model system by oxidative polymerization with turnip (<i>Brassica napus</i> L var purple top white globe) peroxidase","Duarte-Vázquez, MA; Ortega-Tovar, MA; García-Almendarez, BE; Regalado, C","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","JAN 2003","2003","78","1","","","","42","47","","10.1002/jctb.740","","","54","2.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","8","5","4","2","4","0","3","3","5","3","2","2","2","1","0","1","0"
"Isolation and thermal characterization of an acidic isoperoxidase from turnip roots","Duarte-Vázquez, MA; Whitaker, JR; Rojo-Domínguez, A; García-Almendárez, BE; Regalado, C","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","AUG 13 2003","2003","51","17","","","","5096","5102","","10.1021/jf026151y","","","30","1.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","4","5","2","3","3","4","1","1","0","1","0","0","0","1","0","0","0"
"Production of Cow's Milk Free from Beta-Casein A1 and Its Application in the Manufacturing of Specialized Foods for Early Infant Nutrition","Duarte-Vazquez, Miguel A.; Garcia-Ugalde, Carlos; Villegas-Gutierrez, Laura M.; Garcia-Almendarez, Blanca E.; Rosado, Jorge L.","","","","FOODS","JUL 2017","2017","6","7","","","","","","50","10.3390/foods6070050","","","24","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","5","7","4","1"
"Lower Protein Intake Supports Normal Growth of Full-Term Infants Fed Formula: A Randomized Controlled Trial","Oropeza-Ceja, Lorena G.; Rosado, Jorge L.; Ronquillo, Dolores; Garcia, Olga P.; Caamano, Maria del C.; Garcia-Ugalde, Carlos; Viveros-Contreras, Rubi; Angel Duarte-Vazquez, Miguel","","","","NUTRIENTS","JUL 2018","2018","10","7","","","","","","886","10.3390/nu10070886","","","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","5","5","4"
"Chemical modification of turnip peroxidase with methoxypolyethylene glycol enhances activity and stability for phenol removal using the immobilized enzyme","Quintanilla-Guerrero, F.; Duarte-Vazquez, M. A.; Tinoco, R.; Gomez-Suarez, M.; Garcia-Almendarez, B. E.; Vazquez-Duhalt, R.; Regalado, C.","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","SEP 10 2008","2008","56","17","","","","8058","8065","","10.1021/jf801400h","","","20","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","2","3","0","0","1","2","2","0","1","1","1","0"
"Use of urea-polyacrylamide electrophoresis for discrimination of A1 and A2 beta casein variants in raw cow's milk","Angel Duarte-Vazquez, Miguel; Raul Garcia-Ugalde, Carlos; Erika Alvarez, Blanca; Mariana Villegas, Laura; Estela Garcia-Almendarez, Blanca; Luis Rosado, Jorge; Regalado, Carlos","","","","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE","MAY 2018","2018","55","5","","","","1942","1947","","10.1007/s13197-018-3088-z","","","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","5","3","3","2"
"Monosaccharide composition and properties of a deglycosylated turnip peroxidase isozyme","Duarte-Vázquez, MA; García-Almendárez, BE; Rojo-Domínguez, A; Whitaker, JR; Arroyave-Hernández, C; Regalado, C","","","","PHYTOCHEMISTRY","JAN 2003","2003","62","1","","","","5","11","","10.1016/S0031-9422(02)00456-9","","","17","0.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","5","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0"
