MarÃ­a P. Elizalde-GonzÃ¡lez (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Sorption on natural solids for arsenic removal","Elizalde-González, MP; Mattusch, J; Einicke, WD; Wennrich, R","","","","CHEMICAL ENGINEERING JOURNAL","JAN 1 2001","2001","81","1-3","","","","187","195","","10.1016/S1385-8947(00)00201-1","","","176","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","3","6","11","8","13","12","19","9","6","8","7","6","8","9","10","4","6","4","7","6","4","1"
"Adsorption interaction between natural adsorbents and textile dyes in aqueous solution","Dávila-Jiménez, MM; Elizalde-González, MP; Peldáez-Cid, AA","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","MAR 10 2005","2005","254","1-3","","","","107","114","","10.1016/j.colsurfa.2004.11.022","","","131","6.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","8","6","14","11","14","6","9","10","5","6","3","6","6","5","6","5","4","2"
"Uptake of arsenite and arsenate by clinoptilolite-rich tuffs","Elizalde-González, MP; Mattusch, J; Wennrich, R; Morgenstern, P","","","","MICROPOROUS AND MESOPOROUS MATERIALS","AUG 2001","2001","46","2-3","","","","277","286","","10.1016/S1387-1811(01)00308-0","","","93","3.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","5","2","3","5","5","3","8","3","7","4","5","5","2","2","9","2","6","3","4","1"
"Characterization of adsorbent materials prepared from avocado kernel seeds:: Natural, activated and carbonized forms","Elizalde-Gonzalez, Maria P.; Mattusch, J.; Pelaez-Cid, Alejandra A.; Wennrich, R.","","","","JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","JAN 2007","2007","78","1","","","","185","193","","10.1016/j.jaap.2006.06.008","","","88","4.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9","1","6","3","7","3","4","13","4","5","1","7","8","10","3","3"
"Characterization of mango pit as raw material in the preparation of activated carbon for wastewater treatment","Elizalde-Gonzalez, M. P.; Hernandez-Montoya, V.","","","","BIOCHEMICAL ENGINEERING JOURNAL","OCT 1 2007","2007","36","3","","","","230","238","","10.1016/j.bej.2007.02.025","","","76","4.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","4","4","9","3","3","5","6","4","5","6","6","4","1","0"
"Electrochemical reduction and oxidation pathways for Reactive Black 5 dye using nickel electrodes in divided and undivided cells","Mendez-Martinez, Ana J.; Davila-Jimenez, Martin M.; Ornelas-Davila, Omar; Elizalde-Gonzalez, Maria P.; Arroyo-Abad, Uriel; Sires, Ignasi; Brillas, Enric","","","","ELECTROCHIMICA ACTA","JAN 1 2012","2012","59","","","","","140","149","","10.1016/j.electacta.2011.10.047","","","74","5.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","9","7","8","10","8","4","6","6","2","9","1"
"Application of a Taguchi L<sub>16</sub> orthogonal array for optimizing the removal of Acid Orange 8 using carbon with a low specific surface area","Elizalde-Gonzalez, M. P.; Garcia-Diaz, L. E.","","","","CHEMICAL ENGINEERING JOURNAL","SEP 15 2010","2010","163","1-2","","","","55","61","","10.1016/j.cej.2010.07.040","","","68","4.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","4","4","5","7","5","6","4","4","9","4","6"
"Performance of mango seed adsorbents in the adsorption of anthraquinone and azo acid dyes in single and binary aqueous solutions","Davila-Jimenez, Martin M.; Elizalde-Gonzalez, Maria P.; Hernandez-Montoya, Virginia","","","","BIORESOURCE TECHNOLOGY","DEC 2009","2009","100","24","","","","6199","6206","","10.1016/j.biortech.2009.06.105","","","67","4.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","5","10","5","4","9","8","3","0","6","3","5","4","0"
"Degradation of the textile dyes Basic yellow 28 and Reactive black 5 using diamond and metal alloys electrodes","Cerón-Rivera, M; Dávila-Jiménez, MM; Elizalde-González, MP","","","","CHEMOSPHERE","APR 2004","2004","55","1","","","","1","10","","10.1016/j.chemosphere.2003.10.060","","","62","2.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","6","9","1","5","3","3","2","3","4","1","1","1","4","5","1","3","0"
"Detection of arsenic-containing hydrocarbons in canned cod liver tissue","Arroyo-Abad, Uriel; Mattusch, Juergen; Mothes, Sibylle; Moeder, Monika; Wennrich, Rainer; Elizalde-Gonzalez, Maria P.; Matysik, Frank-Michael","","","","TALANTA","JUN 30 2010","2010","82","1","","","","38","43","","10.1016/j.talanta.2010.03.054","","","61","4.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","6","8","6","8","0","2","3","6","3","3","4","1"
