Jose L Enriquez-Carrejo (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Spectroscopic analysis of tungsten oxide thin films","Manciu, Felicia S.; Enriquez, Jose L.; Durrer, William G.; Yun, Young; Ramana, Chintalapalle V.; Gullapalli, Satya K.","","","","JOURNAL OF MATERIALS RESEARCH","DEC 2010","2010","25","12","","","","2401","2406","","10.1557/JMR.2010.0294","","","32","2.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","2","1","2","0","4","5","3","4","4","1"
"Evidence for structural transition in crystalline tantalum pentoxide films grown by RF magnetron sputtering","Perez, Israel; Enriquez Carrejo, Jose Luis; Sosa, Victor; Gamboa Perera, Fidel; Farias Mancillas, Jose Rurik; Elizalde Galindo, Jose Trinidad; Rodriguez Rodriguez, Carlos Ivan","","","","JOURNAL OF ALLOYS AND COMPOUNDS","JUL 25 2017","2017","712","","","","","303","310","","10.1016/j.jallcom.2017.04.073","","","26","3.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","1","6","6","3","2"
"Tungsten oxide (WO<sub>3</sub>) thin films for application in advanced energy systems","Gullapalli, S. K.; Vemuri, R. S.; Manciu, F. S.; Enriquez, J. L.; Ramana, C. V.","","","","JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A","JUL-AUG 2010","2010","28","4","","","","824","828","","10.1116/1.3368495","56th Annual Meeting of the American-Vacuum-Society","NOV 08-13, 2009","25","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","4","1","0","2","2","0","2","2","2","3","0","1"
"Mechanical properties of RF-sputtering MoS<sub>2</sub> thin films","Ramos, Manuel; Nogan, John; Ortiz-Diaz, Manuela; Enriquez-Carrejo, Jose L.; Rodriguez-Gonzalez, Claudia A.; Mireles-Jr-Garcia, Jose; Ornelas, Carlos; Hurtado-Macias, Abel","","","","SURFACE TOPOGRAPHY-METROLOGY AND PROPERTIES","JUN 2017","2017","5","2","","","","","","025003","10.1088/2051-672X/aa7421","","","16","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","4","3","2","1"
"Comparison of HfCl<sub>4</sub>, Hfl<sub>4</sub>, TEMA-Hf, and TDMA-Hf as precursors in early growing stages of HfO<sub>2</sub> films deposited by ALD: A DFT study","Cortez-Valadez, M.; Fierro, C.; Farias-Mancilla, J. R.; Vargas-Ortiz, A.; Flores-Acosta, M.; Ramirez-Bon, R.; Enriquez-Carrejo, J. L.; Soubervielle-Montalvo, C.; Mani-Gonzalez, P. G.","","","","CHEMICAL PHYSICS","JUN 15 2016","2016","472","","","","","81","88","","10.1016/j.chemphys.2016.03.008","","","13","1.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","3","0","5","1"
"Nano-mechanical and structural study of WO<sub>3</sub> thin films","Enriquez-Carrejo, Jose L.; Ramos, Manuel A.; Mireles-Jr-Garcia, Jose; Hurtado-Macias, Abel","","","","THIN SOLID FILMS","MAY 1 2016","2016","606","","","","","148","154","","10.1016/j.tsf.2016.03.054","","","12","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","3","2","1","0"
"Influence of post-deposition annealing on the chemical states of crystalline tantalum pentoxide films","Perez, Israel; Sosa, Victor; Gamboa, Fidel; Elizalde Galindo, Jose Trinidad; Enriquez-Carrejo, Jose L.; Farias, Rurik; Mani Gonzalez, Pierre Giovanni","","","","APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING","NOV 2018","2018","124","11","","","","","","792","10.1007/s00339-018-2198-9","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","2","3"
"Band Gap Tuning in 2D Layered Materials by Angular Rotation","Polanco-Gonzalez, Javier; Alfredo Carranco-Rodriguez, Jesus; Enriquez-Carrejo, Jose L.; Mani-Gonzalez, Pierre G.; Manuel Dominguez-Esquivel, Jose; Ramos, Manuel","","","","MATERIALS","FEB 2017","2017","10","2","","","","","","147","10.3390/ma10020147","","","7","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","1","1"
"ABSORBANCE AND CURRENT-VOLTAGE HYSTERESIS CURVE OF SILVER SULFIDE THIN FILMS SYNTHETIZED BY SOLID-VAPOR REACTIONS","Ortiz-Diaz, M.; Ramos-Murillo, M.; Elizalde-Galindo, J. T.; Enriquez-Carrejo, J. L.; Camacho-Montes, H.; Hernandez-Paz, J. F.; Carrillo-Castillo, A.; Rodriguez-Gonzalez, C. A.","","","","CHALCOGENIDE LETTERS","MAY 2016","2016","13","5","","","","201","206","","","","","3","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Thickness and photocatalytic activity relation in TiO<sub>2</sub>:N films grown by atomic layer deposition with methylene-blue and <i>E-coli</i> bacteria","Contreras Turrubiartes, M. M. M.; Lopez Luna, E.; Enriquez-Carrejo, J. L.; Pedroza Rodriguez, A.; Salcedo Reyes, J. C.; Vidal Borbolla, M. A.; Mani-Gonzalez, P. G.","","","","BULLETIN OF MATERIALS SCIENCE","OCT 2017","2017","40","6","","","","1225","1230","","10.1007/s12034-017-1450-9","","","1","0.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
