Vladimir Escobar (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Photocatalytic properties of BiOCl-TiO2 composites for phenol photodegradation","Sanchez-Rodriguez, Dalia; Medrano, Maria Guadalupe Mendez; Remita, Hynd; Escobar-Barrios, Vladimir","","","","JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING","APR 2018","2018","6","2","","","","1601","1612","","10.1016/j.jece.2018.01.061","","","144","20.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","30","30","30","22","18","6"
"Synthesis of a chitin-based biocomposite for water treatment: Optimization for fluoride removal","Davila-Rodriguez, Jose L.; Escobar-Barrios, Vladimir A.; Shirai, Keiko; Rangel-Mendez, Jose R.","","","","JOURNAL OF FLUORINE CHEMISTRY","AUG 2009","2009","130","8","","","","718","726","","10.1016/j.jfluchem.2009.05.012","","","52","3.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","7","5","1","4","4","0","4","7","7","4","1","1","1"
"RGD-functionalization of PLA/starch scaffolds obtained by electrospinning and evaluated <i>in vitro</i> for potential bone regeneration","Gutierrez-Sanchez, Mariana; Escobar-Barrios, Vladimir A.; Pozos-Guillen, Amaury; Escobar-Garcia, Diana M.","","","","MATERIALS SCIENCE AND ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS","MAR 2019","2019","96","","","","","798","806","","10.1016/j.msec.2018.12.003","","","47","7.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","7","7","8","12"
"A review on hybrid and flexible CO<sub>2</sub> gas sensors","Molina, A.; Escobar-Barrios, V; Oliva, J.","","","","SYNTHETIC METALS","DEC 2020","2020","270","","","","","","","116602","10.1016/j.synthmet.2020.116602","","","34","6.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","11","9"
"Effect of Ag, pH, and time on the preparation of Ag-functionalized zinc oxide nanoagglomerates as photocatalysts","Berenice Jasso-Salcedo, Alma; Palestino, Gabriela; Escobar-Barrios, Vladimir A.","","","","JOURNAL OF CATALYSIS","OCT 2014","2014","318","","","","","170","178","","10.1016/j.jcat.2014.06.008","","","30","2.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","7","2","3","2","2","3","2"
"Removal of fluoride from drinking water by a chitin-based biocomposite in fixed-bed columns","Davila-Rodriguez, Jose L.; Escobar-Barrios, Vladimir A.; Rangel-Mendez, Jose R.","","","","JOURNAL OF FLUORINE CHEMISTRY","AUG 2012","2012","140","","","","","99","103","","10.1016/j.jfluchem.2012.05.019","","","28","2.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","2","5","2","3","2","3","2","0","2"
"Performance of innovative PU-foam and natural fiber-based composites for the biofiltration of a mixture of volatile organic compounds by a fungal biofilm","Gutierrez-Acosta, O. B.; Arriaga, S.; Escobar-Barrios, V. A.; Casas-Flores, S.; Almendarez-Camarillo, A.","","","","JOURNAL OF HAZARDOUS MATERIALS","JAN 30 2012","2012","201","","","","","202","208","","10.1016/j.jhazmat.2011.11.068","","","26","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","3","3","5","1","5","2","2","0"
"Development and use of geopolymers for energy conversion: An overview","Diaz, Eric Enrique Sanchez; Barrios, Vladimir A. Escobar","","","","CONSTRUCTION AND BUILDING MATERIALS","JAN 10 2022","2022","315","","","","","","","125774","10.1016/j.conbuildmat.2021.125774","","","25","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","7"
"FTIR - An Essential Characterization Technique for Polymeric Materials","Escobar Barrios, Vladimir A.; Rangel Mendez, Jose R.; Perez Aguilar, Nancy V.; Andrade Espinosa, Guillermo; Davila Rodriguez, Jose L.","","","Theophanides, T","INFRARED SPECTROSCOPY - MATERIALS SCIENCE, ENGINEERING AND TECHNOLOGY","2012","2012","","","","","","195","212","","","","","24","1.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","4","3","6","3","4"
"Selective hydrogenation of butadiene-styrene copolymers using a Ziegler-Natta type catalyst 1.: Kinetic study","Barrios, VAE; Nájera, RH; Petit, A; Pla, F","","","","EUROPEAN POLYMER JOURNAL","SEP 2000","2000","36","9","","","","1817","1834","","10.1016/S0014-3057(99)00273-6","","","23","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0","1","3","4","1","1","2","0","1","0","2","2","0","1","0"
