Rurik Farias (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Lithium Niobate Single Crystals and Powders Reviewed-Part II","Sanchez-Dena, Oswaldo; Villalobos-Mendoza, Sergio David; Farias, Rurik; Fierro-Ruiz, Cesar David","","","","CRYSTALS","NOV 2020","2020","10","11","","","","","","990","10.3390/cryst10110990","","","27","5.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","8","8"
"Surface enhanced Raman spectroscopy in nanofibers mats of SiO<sub>2</sub>-TiO<sub>2</sub>-Ag","Hafid Roque-Ruiz, Jose; Martinez-Maynez, Hector; Alejandra Zalapa-Garibay, Manuela; Arizmendi-Moraquecho, Ana; Farias, Rurik; Yobanny Reyes-Lopez, Simon","","","","RESULTS IN PHYSICS","2017","2017","7","","","","","2520","2527","","10.1016/j.rinp.2017.07.006","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","7","1","7","1"
"Lithium Niobate Single Crystals and Powders Reviewed-Part I","Sanchez-Dena, Oswaldo; David Fierro-Ruiz, Cesar; David Villalobos-Mendoza, Sergio; Carrillo Flores, Diana Maria; Trinidad Elizalde-Galindo, Jose; Farias, Rurik","","","","CRYSTALS","NOV 2020","2020","10","11","","","","","","973","10.3390/cryst10110973","","","25","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","11","6"
"Multiferroic response of nanocrystalline lithium niobate","Diaz-Moreno, Carlos; Farias, Rurik; Hurtado-Macias, Abel; Elizalde-Galindo, Jose; Hernandez-Paz, Juan","","","","JOURNAL OF APPLIED PHYSICS","APR 1 2012","2012","111","7","","","","","","07D907","10.1063/1.3673434","56th Annual Conference on Magnetism and Magnetic Materials","OCT 30-30, 2011","24","1.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","3","3","2","1","2","2","1","4","2"
"Sputtering power effects on the electrochromic properties of NiO films","Acuna, Juan R. Abenuz; Perez, Israel; Sosa, Victor; Gamboa, Fidel; Elizalde, Jose T.; Farias, Rurik; Carrillo, Diana; Enriquez, Jose L.; Burrola, Andres; Mani, Pierre","","","","OPTIK","APR 2021","2021","231","","","","","","","166509","10.1016/j.ijleo.2021.166509","","","22","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","8","4"
"Optical properties of carbon nanostructures produced by laser irradiation on chemically modified multi-walled carbon nanotubes","Vigueras Santiago, Enrique; Hernandez Lopez, Susana; Camacho Lopez, Marco A.; Reyes Contreras, Delfino; Farias-Mancilla, Rurik; Flores-Gallardo, Sergio G.; Hernandez-Escobar, Claudia A.; Armando Zaragoza-Contreras, E.","","","","OPTICS AND LASER TECHNOLOGY","OCT 2016","2016","84","","","","","53","58","","10.1016/j.optlastec.2016.05.002","","","16","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","3","3","2","1","1","0"
"The formation of ZnO structures using thermal oxidation: How a previous chemical etching favors either needle-like or cross-linked structures","Rojas-Chavez, H.; Cruz-Martinez, H.; Montejo-Alvaro, F.; Farias, Rurik; Hernandez-Rodriguez, Y. M.; Guillen-Cervantes, A.; Avila-Garcia, A.; Cayetano-Castro, N.; Medina, D., I; Cigarroa-Mayorga, O. E.","","","","MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING","MAR 15 2020","2020","108","","","","","","","104888","10.1016/j.mssp.2019.104888","","","15","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","1","3"
"Sol-Gel and Electrospinning Synthesis of Lithium Niobate-Silica Nanofibers","Alberto Garibay-Alvarado, Jesus; Farias, Rurik; Yobanny Reyes-Lopez, Simon","","","","COATINGS","MAR 26 2019","2019","9","3","","","","","","212","10.3390/coatings9030212","","","15","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","2","4","1"
"ZnTe semiconductor nanoparticles: A chemical approach of the mechanochemical synthesis","Rojas-Chavez, H.; Gonzalez-Dominguez, J. L.; Roman-Doval, R.; Juarez-Garcia, J. M.; Daneu, N.; Farias, Rurik","","","","MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING","NOV 1 2018","2018","86","","","","","128","138","","10.1016/j.mssp.2018.06.029","","","14","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","3","2","0","1"
"Effect of size and composition on the second harmonic generation from lithium niobate powders at different excitation wavelengths","Sanchez-Dena, O.; Garcia-Ramirez, E. V.; Fierro-Ruiz, C. D.; Vigueras-Santiago, E.; Farias, Rurik; Reyes-Esqueda, J. A.","","","","MATERIALS RESEARCH EXPRESS","MAR 2017","2017","4","3","","","","","","35022","10.1088/2053-1591/aa62e5","","","14","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","2","3","2","0"
