Luis Joel Figueroa-YÃ¡Ã±ez (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<i>In silico</i> analysis of antidiabetic potential of phenolic compounds from blue corn (<i>Zea mays</i> L.) and black bean (<i>Phaseolus vulgaris</i> L.)","Damian-Medina, K.; Salinas-Moreno, Y.; Milenkovic, D.; Figueroa-Yanez, L.; Marino-Marmolejo, E.; Higuera-Ciapara, I; Vallejo-Cardona, A.; Lugo-Cervantes, E.","","","","HELIYON","MAR 2020","2020","6","3","","","","","","e03632","10.1016/j.heliyon.2020.e03632","","","44","8.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","11","10","11"
"A novel <i>Dreb2</i>-type gene from C<i>arica papaya</i> confers tolerance under abiotic stress","Arroyo-Herrera, Ana; Figueroa-Yanez, Luis; Castano, Enrique; Santamaria, Jorge; Pereira-Santana, Alejandro; Espadas-Alcocer, Jorge; Sanchez-Teyer, Felipe; Espadas-Gil, Francisco; David Alcaraz, Luis; Lopez-Gomez, Rodolfo; Sanchez-Calderon, Lenin; Carlos Rodriguez-Zapata, Luis","","","","PLANT CELL TISSUE AND ORGAN CULTURE","APR 2016","2016","125","1","","","","119","133","","10.1007/s11240-015-0934-9","","","16","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1","3","1","4","1"
"RAP2.4a Is Transported through the Phloem to Regulate Cold and Heat Tolerance in Papaya Tree (<i>Carica</i> <i>papaya</i> cv. Maradol): Implications for Protection Against Abiotic Stress","Figueroa-Yanez, Luis; Pereira-Santana, Alejandro; Arroyo-Herrera, Ana; Rodriguez-Corona, Ulises; Sanchez-Teyer, Felipe; Espadas-Alcocer, Jorge; Espadas-Gil, Francisco; Barredo-Pool, Felipe; Castano, Enrique; Carlos Rodriguez-Zapata, Luis","","","","PLOS ONE","OCT 20 2016","2016","11","10","","","","","","e0165030","10.1371/journal.pone.0165030","","","15","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","1","2","3","0","0"
"Phylogenetic relationships and expression in response to low temperature of a catalase gene in banana (<i>Musa acuminata</i> cv. "Grand Nain") fruit","Figueroa-Yanez, Luis; Cano-Sosa, Julia; Castano, Enrique; Arroyo-Herrera, Ana-Ly; Humberto Caamal-Velazquez, Jose; Sanchez-Teyer, Felipe; Lopez-Gomez, Rodolfo; De Los Santos-Briones, Cesar; Rodriguez-Zapata, Luis","","","","PLANT CELL TISSUE AND ORGAN CULTURE","JUN 2012","2012","109","3","","","","429","438","","10.1007/s11240-011-0107-4","","","11","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","4","0","1","0","2","1","0"
"Anthocyanin-rich extract from black beans exerts anti-diabetic effects in rats through a multi-genomic mode of action in adipose tissue","Damian-Medina, Karla; Milenkovic, Dragan; Salinas-Moreno, Yolanda; Corral-Jara, Karla Fabiola; Figueroa-Yanez, Luis; Marino-Marmolejo, Erika; Lugo-Cervantes, Eugenia","","","","FRONTIERS IN NUTRITION","NOV 14 2022","2022","9","","","","","","","1019259","10.3389/fnut.2022.1019259","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"The SoNAP gene from sugarcane (<i>Saccharum officinarum</i>) encodes a senescence-associated NAC transcription factor involved in response to osmotic and salt stress","Carrillo-Bermejo, Evelyn A.; Gamboa-Tuz, Samuel David; Pereira-Santana, Alejandro; Keb-Llanes, Miguel A.; Castano, Enrique; Figueroa-Yanez, Luis Joel; Rodriguez-Zapata, Luis C.","","","","JOURNAL OF PLANT RESEARCH","NOV 2020","2020","133","6","","","","897","909","","10.1007/s10265-020-01230-y","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1"
"Identification of genes related to hydrolysis and assimilation of <i>Agave</i> fructans in <i>Candida apicola</i> NRRL Y-50540 and <i>Torulaspora delbrueckii</i> NRRL Y-50541 by <i>de</i><i>novo</i> transcriptome analysis","Munoz-Miranda, Luis A.; Pereira-Santana, Alejandro; Gomez-Angulo, Jorge H.; Christine Gschaedler-Mathis, Anne; Amaya-Delgado, Lorena; Figueroa-Yanez, Luis J.; Arrizon, Javier","","","","FEMS YEAST RESEARCH","FEB 23 2022","2022","22","1","","","","","","foac005","10.1093/femsyr/foac005","","","2","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"CRISPRi-induced transcriptional regulation of <i>IAH1</i> gene and its influence on volatile compounds profile in <i>Kluyveromyces marxianus</i> DU3","Munoz-Miranda, Luis A.; Zepeda-Pena, Andrea Catalina; Casas-Godoy, Leticia; Pereira-Santana, Alejandro; Mendez-Zamora, Andres; Barrera-Martinez, Iliana; Rodriguez-Zapata, Luis; Gschaedler-Mathis, Anne Christine; Figueroa-Yanez, Luis J.","","","","WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY","APR 2024","2024","40","4","","","","","","121","10.1007/s11274-023-03811-0","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polyphenols and CRISPR as Quorum Quenching Agents in Antibiotic-Resistant Foodborne Human Pathogens (<i>Salmonella</i> Typhimurium, <i>Campylobacter jejuni</i> and <i>Escherichia coli</i> 0157:H7)","Higuera-Ciapara, Inocencio; Benitez-Vindiola, Marieva; Figueroa-Yanez, Luis J.; Martinez-Benavidez, Evelin","","","","FOODS","FEB 2024","2024","13","4","","","","","","584","10.3390/foods13040584","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deep Learning Techniques to Characterize the <i>RPS28P7</i> Pseudogene and the <i>Metazoa</i>-<i>SRP</i> Gene as Drug Potential Targets in Pancreatic Cancer Patients","Salgado, Ivan; de Oca, Ernesto Prado Montes; Chairez, Isaac; Figueroa-Yanez, Luis; Pereira-Santana, Alejandro; Chavez, Andres Rivera; Velazquez-Fernandez, Jesus Bernardino; Parra, Teresa Alvarado; Vallejo, Adriana","","","","BIOMEDICINES","FEB 2024","2024","12","2","","","","","","395","10.3390/biomedicines12020395","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
