Flores-Gallardo, Sergio Gabriel (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Lignin in storage and renewable energy applications: A review","Luis Espinoza-Acosta, Jose; Torres-Chavez, Patricia I.; Olmedo-Martinez, Jorge L.; Vega-Rios, Alejandro; Flores-Gallardo, Sergio; Armando Zaragoza-Contreras, E.","","","","JOURNAL OF ENERGY CHEMISTRY","SEP 2018","2018","27","5","","","","1422","1438","","10.1016/j.jechem.2018.02.015","","","170","24.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","25","44","31","35","18"
"Effect of Artificial Weathering on PLA/Nanocomposite Molecular Weight Distribution","Margarita Chavez-Montes, Wendy; Gonzalez-Sanchez, Guillermo; Ivonne Lopez-Martinez, Erika; de Lira-Gomez, Patricia; Ballinas-Casarrubias, Lourdes; Flores-Gallardo, Sergio","","","","POLYMERS","APR 2015","2015","7","4","","","","760","776","","10.3390/polym7040760","","","40","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","5","6","5","7","5","4"
"Synthesis of carbon black/polystyrene conductive nanocomposite. Pickering emulsion effect characterized by TEM","Armando Zaragoza-Contreras, Erasto; Alejandra Hernandez-Escobar, Claudia; Navarrete-Fontes, Alfredo; Gabriel Flores-Gallardo, Sergio","","","","MICRON","APR 2011","2011","42","3","","","","263","270","","10.1016/j.micron.2010.10.005","","","24","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","1","1","4","2","0","2","4","0","0","2","0"
"Incorporation of silver/carbon nanoparticles into poly(methyl methacrylate) via <i>in situ</i> miniemulsion polymerization and its influence on the glass-transition temperature","Lopez-Martinez, Erika I.; Marquez-Lucero, Alfredo; Hernandez-Escobar, Claudia A.; Flores-Gallardo, Sergio G.; Ibarra-Gomez, Rigoberto; Yacaman, Miguel J.; Zaragoza-Contreras, E. Armando","","","","JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS","MAR 1 2007","2007","45","5","","","","511","518","","10.1002/polb.21054","","","23","1.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","3","3","0","2","2","2","0","2","1","0","0","0","0","0","0"
"Comparative study on the mechanical and fracture properties of acrylic bone cements prepared with monomers containing amine groups","May-Pat, Alejandro; Herrera-Kao, Wilberth; Cauich-Rodriguez, Juan V.; Cervantes-Uc, Jose M.; Flores-Gallardo, Sergio G.","","","","JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS","FEB 2012","2012","6","","","","","95","105","","10.1016/j.jmbbm.2011.09.017","","","21","1.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","2","1","2","5","1","2","1","0"
"Protection of NiO nanoparticles against leaching in acid medium by grafting of polyacrylic acid","Lopez-Ortiz, Alejandro; Collins-Martinez, Virginia H.; Hernandez-Escobar, Claudia A.; Flores-Gallardo, Sergio G.; Zaragoza-Contreras, E. Armando","","","","MATERIALS CHEMISTRY AND PHYSICS","JUN 15 2008","2008","109","2-3","","","","306","310","","10.1016/j.matchemphys.2007.11.031","","","18","1.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","0","0","2","2","1","2","0","0","3","1","2","0"
"Curing kinetics of diglycidyl ether of Bisphenol-A epoxy system using a tertiary amine, through the study of its rheometric characteristics","Lopez-Barajas, F.; Ramos-DeValle, L. F.; Sanchez-Valdes, S.; Ramirez-Vargas, E.; Martinez-Colunga, G.; Espinoza-Martinez, A. B.; Flores-Gallardo, S.; Mendez-Nonell, J.; Morales-Cepeda, A. B.; Lozano-Ramirez, T.; Beltran-Ramirez, F., I","","","","POLYMER TESTING","FEB 2019","2019","73","","","","","346","351","","10.1016/j.polymertesting.2018.11.043","","","17","2.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","8","1","2"
"Optical properties of carbon nanostructures produced by laser irradiation on chemically modified multi-walled carbon nanotubes","Vigueras Santiago, Enrique; Hernandez Lopez, Susana; Camacho Lopez, Marco A.; Reyes Contreras, Delfino; Farias-Mancilla, Rurik; Flores-Gallardo, Sergio G.; Hernandez-Escobar, Claudia A.; Armando Zaragoza-Contreras, E.","","","","OPTICS AND LASER TECHNOLOGY","OCT 2016","2016","84","","","","","53","58","","10.1016/j.optlastec.2016.05.002","","","16","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","3","3","2","1","1","0"
"Influence of carbon nanofiber functionalization and compatibilizer on the physical properties of carbon nanofiber reinforced polypropylene nanocomposites","Munoz-Avila, J. M.; Sanchez-Valdes, S.; Yanez-Flores, I.; Rodriguez-Fernandez, O. S.; Neira-Velazquez, M. G.; Hernandez-Hernandez, E.; Flores-Gallardo, S.; Avalos-Belmontes, F.; Lozano-Ramirez, T.; Morales-Cepeda, A.; Lafleur, P. G.","","","","POLYMER COMPOSITES","OCT 2018","2018","39","10","","","","3575","3585","","10.1002/pc.24380","","","12","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","3","1","1"
"Chemical Characterization and Enzymatic Control of Stickies in Kraft Paper Production","Ballinas-Casarrubias, Lourdes; Gonzalez-Sanchez, Guillermo; Eguiarte-Franco, Salvador; Siqueiros-Cendon, Tania; Flores-Gallardo, Sergio; Duarte Villa, Eduardo; de Dios Hernandez, Miguel; Rocha-Gutierrez, Beatriz; Rascon-Cruz, Quintin","","","","POLYMERS","JAN 2020","2020","12","1","","","","","","245","10.3390/polym12010245","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","2"
