RITA Q. FUENTES (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Adaptive Tracking Control of State Constraint Systems Based on Differential Neural Networks: A Barrier Lyapunov Function Approach","Fuentes-Aguilar, Rita Q.; Chairez, Isaac","","","","IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS","DEC 2020","2020","31","12","","","","5390","5401","","10.1109/TNNLS.2020.2966914","","","43","8.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","15","15","5"
"Distributed parameter system identification using finite element differential neural networks","Aguilar-Leal, O.; Fuentes-Aguilar, R. Q.; Chairez, I.; Garcia-Gonzalez, A.; Huegel, J. C.","","","","APPLIED SOFT COMPUTING","JUN 2016","2016","43","","","","","633","642","","10.1016/j.asoc.2016.01.004","","","28","3.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","4","6","3","4","4","1"
"Review on Porous Scaffolds Generation Process: A Tissue Engineering Approach","Flores-Jimenez, Mariana S.; Garcia-Gonzalez, Alejandro; Fuentes-Aguilar, Rita Q.","","","","ACS APPLIED BIO MATERIALS","","2023","","","","","","","","","10.1021/acsabm.2c00740","","","21","10.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","13"
"A Novel Methodology for Classifying EMG Movements Based on SVM and Genetic Algorithms","Aviles, Marcos; Sanchez-Reyes, Luz-Maria; Fuentes-Aguilar, Rita Q.; Toledo-Perez, Diana C.; Rodriguez-Resendiz, Juvenal","","","","MICROMACHINES","DEC 2022","2022","13","12","","","","","","2108","10.3390/mi13122108","","","20","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","4"
"Nanocomposites based on doped ZnO nanoparticles for antibacterial applications","Navarro-Lopez, Diego E.; Sanchez-Huerta, Triana M.; Flores-Jimenez, Mariana S.; Tiwari, Naveen; Sanchez-Martinez, A.; Ceballos-Sanchez, O.; Garcia-Gonzalez, Alejandro; Fuentes-Aguilar, Rita Q.; Sanchez-Ante, Gildardo; Corona-Romero, Kaled; Rincon-Enriquez, Gabriel; Lopez-Mena, Edgar R.","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","NOV 5 2022","2022","652","","","","","","","129871","10.1016/j.colsurfa.2022.129871","","","14","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","7"
"Discrete Wavelet Transform and ANFIS Classifier for Brain-Machine Interface based on EEG","Lopez-Arce Vivas, Eduardo; Garcia-Gonzalez, Alejandro; Figueroa, Ivan; Fuentes, Rita Q.","","","Paja, WA; Wilamowski, BM","2013 6TH INTERNATIONAL CONFERENCE ON HUMAN SYSTEM INTERACTIONS (HSI)","2013","2013","","","","","","137","144","","","6th International Conference on Human System Interactions (HSI)","JUN 06-08, 2013","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","1","1","1","0","2","2"
"Exchanging courses between different Intelligent Tutoring Systems: A generic course generation authoring tool","Escudero, H.; Fuentes, R.","","","","KNOWLEDGE-BASED SYSTEMS","DEC 2010","2010","23","8","","","","864","874","","10.1016/j.knosys.2010.05.011","","","11","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","0","1","0","3","0","0","0","0","1","0"
"Interface Pressure System to Compare the Functional Performance of Prosthetic Sockets during the Gait in People with Trans-Tibial Amputation","Ibarra Aguila, Salvador; Sanchez, Gisel J.; Sauvain, Eric E.; Alemon, B.; Fuentes-Aguilar, Rita Q.; Huegel, Joel C.","","","","SENSORS","DEC 2020","2020","20","24","","","","","","7043","10.3390/s20247043","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","0"
"Applying Differential Neural Networks to Characterize Microbial Interactions in an Ex Vivo Gastrointestinal Gut Simulator","Sebastian Gradilla-Hernandez, Misael; Garcia-Gonzalez, Alejandro; Gschaedler, Anne; Herrera-Lopez, Enrique J.; Gonzalez-Avila, Marisela; Garcia-Gamboa, Ricardo; Yebra Montes, Carlos; Fuentes-Aguilar, Rita Q.","","","","PROCESSES","MAY 2020","2020","8","5","","","","","","593","10.3390/pr8050593","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","2","1"
"Discriminant analysis and machine learning approach for evaluating and improving the performance of immunohistochemical algorithms for COO classification of DLBCL","Perfecto-Avalos, Yocanxochitl; Garcia-Gonzalez, Alejandro; Hernandez-Reynoso, Ana; Sanchez-Ante, Gildardo; Ortiz-Hidalgo, Carlos; Scott, Sean-Patrick; Fuentes-Aguilar, Rita Q.; Diaz-Dominguez, Ricardo; Leon-Martinez, Grettel; Velasco-Vales, Veronica; Cardenas-Escudero, Mara A.; Hernandez-Hernandez, Jose A.; Santos, Arturo; Borbolla-Escoboza, Jose R.; Villela, Luis","","","","JOURNAL OF TRANSLATIONAL MEDICINE","JUN 11 2019","2019","17","","","","","","","198","10.1186/s12967-019-1951-y","","","7","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","2","1"
