Casillas, P. E. Garcia (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Catalytic activity of palladium nanocubes/multiwalled carbon nanotubes structures for methyl orange dye removal","Arciniega Cano, O.; Rodriguez Gonzalez, C. A.; Hernandez Paz, J. F.; Amezaga Madrid, P.; Garcia Casillas, P. E.; Martinez Hernandez, A. L.; Martinez Perez, C. A.","","","","CATALYSIS TODAY","MAR 15 2017","2017","282","","2","","","168","173","","10.1016/j.cattod.2016.06.053","8th International Symposium on Advanced Catalytic Materials","AUG 17-20, 2015","48","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","9","8","5","7","6","7","1"
"Infrared Spectroscopy of Functionalized Magnetic Nanoparticles","Garcia Casillas, Perla E.; Rodriguez Gonzalez, Claudia A.; Martinez Perez, Carlos A.","","","Theophanides, T","INFRARED SPECTROSCOPY - MATERIALS SCIENCE, ENGINEERING AND TECHNOLOGY","2012","2012","","","","","","405","420","","","","","42","3.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","6","7","4","2","2","3","4","3","0"
"Effect of the polymeric coating over Fe<sub>3</sub>O<sub>4</sub> particles used for magnetic separation","Terrazas Reza, Raul; Martinez Perez, Carlos A.; Rodriguez Gonzalez, Claudia A.; Monreal Romero, Humberto; Garcia Casillas, Perla E.","","","","CENTRAL EUROPEAN JOURNAL OF CHEMISTRY","OCT 2010","2010","8","5","","","","1041","1046","","10.2478/s11532-010-0073-4","","","31","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","4","2","4","2","3","6","3","2","2","0","0"
"Adsorption and kinetic study of Reactive Red 2 dye onto graphene oxides and graphene quantum dots","de la Luz-Asuncion, Miguel; Perez-Ramirez, Eduardo E.; Laura Martinez-Hernandez, Ana; Garcia-Casillas, Perla E.; Gabriel Luna-Barcenas, J.; Velasco-Santos, Carlos","","","","DIAMOND AND RELATED MATERIALS","NOV 2020","2020","109","","","","","","","108002","10.1016/j.diamond.2020.108002","","","30","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","7","11","2"
"Magnetite Nanoparticles Coated with PEG 3350-Tween 80: In Vitro Characterization Using Primary Cell Cultures","Roacho-Perez, Jorge A.; Ruiz-Hernandez, Fernando G.; Chapa-Gonzalez, Christian; Martinez-Rodriguez, Herminia G.; Flores-Urquizo, Israel A.; Pedroza-Montoya, Florencia E.; Garza-Trevino, Elsa N.; Bautista-Villareal, Minerva; Garcia-Casillas, Perla E.; Sanchez-Dominguez, Celia N.","","","","POLYMERS","FEB 2020","2020","12","2","","","","","","300","10.3390/polym12020300","","","26","5.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","5","7","3"
"Nanoparticles for death-induced gene therapy in cancer","Roacho-Perez, Jorge A.; Gallardo-Blanco, Hugo L.; Sanchez-Dominguez, Margarita; Garcia-Casillas, Perla E.; Chapa-Gonzalez, Christian; Sanchez-Dominguez, Celia N.","","","","MOLECULAR MEDICINE REPORTS","JAN 2018","2018","17","1","","","","1413","1420","","10.3892/mmr.2017.8091","","","26","3.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","4","6","6"
"Synthesis of magnetite nanoparticles-β-cyclodextrin complex","Cobos Cruz, L. A.; Martinez Perez, C. A.; Monreal Romero, H. A.; Garcia Casillas, P. E.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","OCT 20 2008","2008","466","1-2","","","","330","334","","10.1016/j.jallcom.2007.11.081","","","22","1.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","3","1","2","1","0","2","1","3","1","0","0","0","1"
"Adherence of paclitaxel drug in magnetite chitosan nanoparticles","Escobar Zapata, Edna V.; Martinez Perez, Carlos A.; Rodriguez Gonzalez, Claudia A.; Castro Carmona, Javier S.; Quevedo Lopez, Manuel A.; Garcia-Casillas, Perla E.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","SEP 25 2012","2012","536","","","1","","S441","S444","","10.1016/j.jallcom.2011.12.150","","","18","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","6","0","3","1","2","0","1","0","0"
"Synthesis of Controlled-Size Silica Nanoparticles from Sodium Metasilicate and the Effect of the Addition of PEG in the Size Distribution","Chapa-Gonzalez, Christian; Laura Pinon-Urbina, Ana; Elvia Garcia-Casillas, Perla","","","","MATERIALS","APR 2018","2018","11","4","","","","","","510","10.3390/ma11040510","","","17","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","5","3"
"SYNTHESIS OF COPPER SULFIDE (CuS) THIN FILMS BY A SOLID-VAPOR REACTION","Sanchez Rangel, H. S.; Carrillo Castillo, A.; Hernandez Paz, J. F.; Farias Mancilla, J. R.; Camacho Montes, H.; Garcia Casillas, P. E.; Martinez Perez, C. A.; Rodriguez Gonzalez, C. A.","","","","CHALCOGENIDE LETTERS","JUL 2015","2015","12","7","","","","381","387","","","","","14","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","4","1","1","0","0","2"
"Phenytoin carried by silica core iron oxide nanoparticles reduces the expression of pharmacoresistant seizures in rats","Rosillo-de la Torre, Argelia; Zurita-Olvera, Lizbeth; Orozco-Suarez, Sandra; Garcia Casillas, Perla E.; Salgado-Ceballos, Hermelinda; Luna-Barcenas, Gabriel; Rocha, Luisa","","","","NANOMEDICINE","2015","2015","10","24","","","","3563","3577","","10.2217/nnm.15.173","","","14","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","4","1","2","1"
"Bioactivation of zirconia surface with laminin protein coating via plasma etching and chemical modification","Tapia-Lopez, Lillian, V; Esparza-Ponce, Hilda E.; Luna-Velasco, Antonia; Garcia-Casillas, Perla E.; Castro-Carmona, Homero; Castro, Javier S.","","","","SURFACE & COATINGS TECHNOLOGY","NOV 25 2020","2020","402","","","","","","","126307","10.1016/j.surfcoat.2020.126307","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","2"
"Physicochemical properties of chitosan-magnetite nanocomposites obtained with different pH","Chapa Gonzalez, Christian; Navarro Arriaga, Javier Ulises; Garcia Casillas, Perla Elvia","","","","POLYMERS & POLYMER COMPOSITES","NOV 2021","2021","29","9_SUPPL","","9_","","S1009","S1016","","10.1177/09673911211038461","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","6"
"Epithelial Growth Factor-Anchored on Polycaprolactone/6-deoxy-6-amino-<i>β</i>-cyclodextrin Nanofibers: In Vitro and In Vivo Evaluation","Moyers-Montoya, Edgar D.; Escobedo-Gonzalez, Rene Gerardo; Vargas-Requena, Claudia L.; Garcia-Casillas, Perla Elvia; Martinez-Perez, Carlos A.","","","","POLYMERS","APR 2021","2021","13","8","","","","","","1303","10.3390/polym13081303","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1"
"Preparation of hydroxyapatite nanoparticles facilitated by the presence of β-cyclodextrin","Martinez-Perez, Carlos A.; Garcia-Montelongo, Jorge; Garcia Casillas, Perla E.; Farias-Mancilla, Jose R.; Monreal Romero, Humberto","","","","JOURNAL OF ALLOYS AND COMPOUNDS","SEP 25 2012","2012","536","","","1","","S432","S436","","10.1016/j.jallcom.2011.12.135","","","11","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","2","2","0","0","1","1","0"
"A Full Set of In Vitro Assays in Chitosan/Tween 80 Microspheres Loaded with Magnetite Nanoparticles","Roacho-Perez, Jorge A.; Rodriguez-Aguillon, Kassandra O.; Gallardo-Blanco, Hugo L.; Velazco-Campos, Maria R.; Sosa-Cruz, Karla, V; Garcia-Casillas, Perla E.; Rojas-Patlan, Luz; Sanchez-Dominguez, Margarita; Rivas-Estilla, Ana M.; Gomez-Flores, Victor; Chapa-Gonzalez, Christian; Sanchez-Dominguez, Celia N.","","","","POLYMERS","FEB 2021","2021","13","3","","","","","","400","10.3390/polym13030400","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","4","2"
