Garcia-Flores, Blanca E. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Prediction of the density and viscosity in biodiesel blends at various temperatures","Ramirez-Verduzco, Luis Felipe; Estela Garcia-Flores, Blanca; Esteban Rodriguez-Rodriguez, Javier; del Rayo Jaramillo-Jacob, Alicia","","","","FUEL","MAR 2011","2011","90","5","","","","1751","1761","","10.1016/j.fuel.2010.12.032","","","105","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","5","11","7","10","6","9","13","10","8","10","5","5"
"Viscometric and volumetric behaviour of binary mixtures of sulfolane and <i>N</i>-methylpyrrolidone with monoethanolamine and diethanolamine in the range 303-373 K","Aguila-Hernandez, Jacinto; Trejo, Arturo; Garcia-Flores, Blanca Estela; Molnar, Rene","","","","FLUID PHASE EQUILIBRIA","MAY 25 2008","2008","267","2","","","","172","180","","10.1016/j.fluid.2008.02.023","","","45","2.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","6","3","4","4","2","5","4","2","4","5","3","0"
"Liquid-liquid phase diagrams of ternary systems as a function of temperature:: isooctane plus aromatic plus methanol with and without water","García-Flores, BE; Galicia-Aguilar, G; Eustaquio-Rincón, R; Trejo, A","","","","FLUID PHASE EQUILIBRIA","JUL 30 2001","2001","185","1-2","","","","275","293","","10.1016/S0378-3812(01)00477-0","14th Symposium on Thermophysical Properties","JUN 25-30, 2000","39","1.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","4","2","0","3","7","1","1","3","1","1","1","0","1","0","1","0","0","3","0"
"Surface tension and foam behaviour of aqueous solutions of blends of three alkanolamines, as a function of temperature","Aguila-Hernandez, Jacinto; Trejo, Arturo; Garcia-Flores, Blanca Estela","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","OCT 31 2007","2007","308","1-3","","","","33","46","","10.1016/j.colsurfa.2007.05.026","","","35","1.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","2","2","4","3","3","1","2","0","2","1","3","1","4"
"Vapor-Liquid Equilibrium Data for the Nitrogen plus Dodecane System at Temperatures from (344 to 593) K and at Pressures up to 60 MPa","Garcia-Cordova, Tomas; Justo-Garcia, Daimler N.; Garcia-Flores, Blanca E.; Garcia-Sanchez, Fernando","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","APR 2011","2011","56","4","","","","1555","1564","","10.1021/je1012372","","","33","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","4","6","5","7","4","3"
"Volumetric and Surface Tension Behavior of Aqueous Solutions of Polyvinylpyrrolidone in the Range (288 to 303) K","Aguila-Hernandez, Jacinto; Trejo, Arturo; Estela Garcia-Flores, Blanca","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","MAY 2011","2011","56","5","","","","2371","2378","","10.1021/je101330b","","","23","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1","0","2","1","2","1","1","4","1"
"Vapor-Liquid Equilibrium Data for the Nitrogen plus <i>n</i>-Decane System from (344 to 563) K and at Pressures up to 50 MPa","Garcia-Sanchez, Fernando; Eliosa-Jimenez, Gaudencio; Silva-Oliver, Guadalupe; Garcia-Flores, Blanca E.","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","MAY 2009","2009","54","5","","","","1560","1568","","10.1021/je800881t","","","18","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","1","0","0","1","3","3","1","4","1","0"
"Liquid-liquid equilibria for pseudoternary systems:: isooctane-benzene-(methanol plus water)","García-Flores, BE; de Doz, MG; Trejo, A","","","","FLUID PHASE EQUILIBRIA","MAR 2005","2005","230","1-2","","","","121","130","","10.1016/j.fluid.2004.12.003","","","18","0.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","2","2","0","3","1","1","1","1","1","0","1","0","0","0","0"
"(Liquid-liquid) equilibria for ternary and quaternary systems of representative compounds of gasoline plus methanol at 293.15 K: Experimental data and correlation","Garcia-Flores, Blanca E.; Aguila-Hernandez, Jacinto; Garcia-Sanchez, Fernando; Aquino-Olivos, Marco A.","","","","FLUID PHASE EQUILIBRIA","JUN 25 2013","2013","348","","","","","60","69","","10.1016/j.fluid.2013.03.022","","","15","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","3","0","0","0","3","1","1","0","0"
"Liquid Viscosities of Cyclohexane, Cyclohexane plus Tetradecane, and Cyclohexane plus Benzene from (313 to 393) K and Pressures Up to 60 MPa","Hernandez-Galvan, Miguel A.; Garcia-Sanchez, Fernando; Garcia-Flores, Blanca E.; Castro-Arellano, Javier","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","OCT 2009","2009","54","10","","","","2831","2838","","10.1021/je800882f","","","9","0.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3","0","0","0","1","1","0","1","0","0","0"
"Liquid-liquid phase behaviour, liquid-liquid density, and interfacial tension of multicomponent systems at 298 K","Garcia-Flores, Blanca Estela; Trejo, Arturo; Aguila-Hernandez, Jacinto","","","","FLUID PHASE EQUILIBRIA","JUL 15 2007","2007","255","2","","","","147","159","","10.1016/j.fluid.2007.04.008","","","9","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","1","2","0","1","0","0","0","0","1","0","0","0","0"
"Physicochemical behaviour of partially miscible multicomponent systems with AOT: Liquid-liquid phase diagrams, density of conjugate phases, and interfacial tension","Estela Garcia-Flores, Blanca; Trejo, Arturo; Aguila-Hernandez, Jacinto","","","","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","SEP 20 2010","2010","368","1-3","","","","64","74","","10.1016/j.colsurfa.2010.07.018","","","6","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","1","0","0","0","1"
"Modeling of the Multiphase Behavior of Nitrogen-Containing Systems at Low Temperatures with Equations of State","Justo-Garcia, Daimler N.; Garcia-Sanchez, Fernando; Stateva, Roumiana P.; Garcia-Flores, Blanca E.","","","","JOURNAL OF CHEMICAL AND ENGINEERING DATA","SEP 2009","2009","54","9","","","","2689","2695","","10.1021/je900215q","","","6","0.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","1","1","0","0"
"(Liquid plus liquid) equilibria in the (water plus tetrahydrofuran plus methylcyclohexane) ternary system at temperatures between (278 and 343) K and atmospheric pressure: Experimental data and correlation","Garcia-Flores, Blanca E.; Justo-Garcia, Daimler N.; Aquino-Olivos, Marco A.; Garcia-Sanchez, Fernando","","","","FLUID PHASE EQUILIBRIA","JAN 15 2015","2015","385","","","","","166","174","","10.1016/j.fluid.2014.10.041","","","4","0.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","0"
"Phase Behavior Prediction and Modeling of LNG Systems with EoSs - What is Easy and What is Difficult?","Garcia-Flores, Blanca E.; Justo-Garcia, Daimler N.; Stateva, Roumiana P.; Garcia-Sanchez, Fernando","","","AlMegren, HA","ADVANCES IN NATURAL GAS TECHNOLOGY","2012","2012","","","","","","359","384","","","","","2","0.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
