Garcia-Gutierrez, Jose Luis (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Ultra-deep oxidative desulfurization of diesel fuel by the Mo/Al<sub>2</sub>O<sub>3</sub>-H<sub>2</sub>O<sub>2</sub> system:: The effect of system parameters on catalytic activity","Garcia-Gutierrez, Jose Luis; Fuentes, Gustavo A.; Hernandez-Teran, Maria Eugenia; Garcia, Ponciano; Murrieta-Guevara, Florentino; Jimenez-Cruz, Federico","","","","APPLIED CATALYSIS A-GENERAL","JAN 2008","2008","334","1-2","","","","366","373","","10.1016/j.apcata.2007.10.024","","","226","13.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","14","12","7","11","12","14","17","24","16","18","18","16","13","17","4"
"Oxidative desulfurization of diesel using promising heterogeneous tungsten catalysts and hydrogen peroxide","Luis Garcia-Gutierrez, Jose; Laredo, Georgina C.; Garcia-Gutierrez, Ponciano; Jimenez-Cruz, Federico","","","","FUEL","DEC 15 2014","2014","138","","","","","118","125","","10.1016/j.fuel.2014.07.049","","","65","5.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","12","10","6","9","1","8","5","0"
"Effect of tetralin, decalin and naphthalene as hydrogen donors in the upgrading of heavy oils","Aleman-Vazquez, L. O.; Cano-Dominguez, J. L.; Garcia-Gutierrez, J. L.","","","Kluson, P","CHISA 2012","2012","2012","42","","","","","532","539","","10.1016/j.proeng.2012.07.445","20th International Congress of Chemical and Process Engineering CHISA","AUG 25-29, 2012","53","4.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","2","7","6","5","10","6","6","4"
"Light Cycle Oil Upgrading to Benzene, Toluene, and Xylenes by Hydrocracking: Studies Using Model Mixtures","Laredo, Georgina C.; Perez-Romo, Patricia; Escobar, Jose; Luis Garcia-Gutierrez, Jose; Vega-Merino, Pedro M.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","OCT 4 2017","2017","56","39","","","","10939","10948","","10.1021/acs.iecr.7b02827","","","49","6.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","12","7","4","13","3"
"Effect of nitrogen compounds in the hydrodesulfurization of straight-run gas oil using a CoMoP/g-Al<sub>2</sub>O<sub>3</sub> catalyst","Luis Garcia-Gutierrez, Jose; Laredo, Georgina C.; Fuentes, Gustavo A.; Garcia-Gutierrez, Ponciano; Jimenez-Cruz, Federico","","","","FUEL","DEC 15 2014","2014","138","","","","","98","103","","10.1016/j.fuel.2014.08.008","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","4","3","3","4","2","1"
"Binder effect on the catalytic activity of MoO<sub>3</sub> bulk catalyst reduced by H<sub>2</sub> for <i>n</i>-heptane hydroisomerization","Olivia Aleman-Vazquez, Laura; Hernandez-Perez, Fidencio; Luis Cano-Dominguez, Jose; Rodriguez-Hernandez, Andrea; Luis Garcia-Gutierrez, Jose","","","","FUEL","JAN 2014","2014","117","","A","","","463","469","","10.1016/j.fuel.2013.08.085","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","2","3","4","2","2","3","1","0"
"Benzene reduction in gasoline by alkylation with propylene over MCM-22 zeolite with a different Bronsted/Lewis acidity ratios","Laredo, Georgina C.; Quintana-Solorzano, Roberto; Jesus Castillo, J.; Armendariz-Herrera, Hector; Luis Garcia-Gutierrez, Jose","","","","APPLIED CATALYSIS A-GENERAL","MAR 15 2013","2013","454","","","","","37","45","","10.1016/j.apcata.2013.01.001","","","15","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","1","1","0","4","2","1","1"
"Adsorption of n-heptane and 2-methylheptane in the gas phase on polyvinylidene chloride-based microporous activated carbon","Jimenez-Cruz, Federico; Hernandez, J. A.; Laredo, Georgina C.; Mares-Gallardo, Maria Teresa; Garcia-Gutierrez, Jose Luis","","","","ENERGY & FUELS","SEP-OCT 2007","2007","21","5","","","","2929","2934","","10.1021/ef070072c","","","15","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","4","0","0","0","0","1","4","0","1","0","1"
"Study of selectivity of MoO<sub>3</sub>-catalyzed C<sub>6</sub>-C<sub>7</sub> hydrocarbons hydroisomerization: Mechanistic insights into the formation of carbonaceous deposits on the catalyst surface","Luis Garcia-Gutierrez, Jose; Luis Cano, Jose; Olivia Aleman-Vazquez, Laura; Jimenez-Cruz, Federico","","","","FUEL","APR 2012","2012","94","1","","","","532","543","","10.1016/j.fuel.2011.11.032","","","13","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","4","1","0","0","0","0","1","1"
"Effect of the catalyst in the BTX production by hydrocracking of light cycle oil","Laredo, Georgina C.; Garcia-Gutierrez, Jose L.; Perez-Romo, Patricia; Olmos-Cerda, Eli H.","","","","APPLIED PETROCHEMICAL RESEARCH","MAY 2021","2021","11","1","","","","19","38","","10.1007/s13203-021-00266-y","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","1"
