HÃ©ctor M Garnica Garza (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Contrast-enhanced radiotherapy: feasibility and characteristics of the physical absorbed dose distribution for deep-seated tumors","Garnica-Garza, H. M.","","","","PHYSICS IN MEDICINE AND BIOLOGY","SEP 21 2009","2009","54","18","","","","5411","5425","","10.1088/0031-9155/54/18/004","","","43","2.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","8","2","6","4","4","1","2","1","2","1","0","0"
"Characteristics of the photoneutron contamination present in a high-energy radiotherapy treatment room","Garnica-Garza, HM","","","","PHYSICS IN MEDICINE AND BIOLOGY","FEB 7 2005","2005","50","3","","","","531","539","","10.1088/0031-9155/50/3/010","","","25","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","4","1","3","1","1","1","0","3","2","2","1","1","0","1","0","0","2"
"Treatment planning considerations in contrast-enhanced radiotherapy: energy and beam aperture optimization","Garnica-Garza, H. M.","","","","PHYSICS IN MEDICINE AND BIOLOGY","JAN 21 2011","2011","56","2","","","","341","355","","10.1088/0031-9155/56/2/004","","","17","1.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","2","1","3","1","2","2","0","0","0","0","1"
"Monte Carlo modeling and optimization of contrast-enhanced radiotherapy of brain tumors","Perez-Lopez, C. E.; Garnica-Garza, H. M.","","","","PHYSICS IN MEDICINE AND BIOLOGY","JUL 7 2011","2011","56","13","","","","4059","4072","","10.1088/0031-9155/56/13/020","","","16","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","2","4","1","3","0","0","0","0","0"
"An efficient, reproducible and fast preparation of <SUP>188</SUP>Re-anti-CD20 for the treatment of non-Hodgkin's lymphoma","Ferro-Flores, G; Torres-García, E; García-Pedroza, L; de Murphy, CA; Pedraza-López, M; Garnica-Garza, H","","","","NUCLEAR MEDICINE COMMUNICATIONS","SEP 2005","2005","26","9","","","","793","799","","10.1097/01.mnm.0000175265.71486.61","","","16","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","1","0","2","0","0","1","0","1","0","1","1","0","1","1","1","0"
"Monte Carlo microdosimetry of <SUP>188</SUP>Re- and <SUP>131</SUP>I-labelled anti-CD20","Torres-Garcia, E.; Garnica-Garza, H. M.; Ferro-Flores, G.","","","","PHYSICS IN MEDICINE AND BIOLOGY","OCT 7 2006","2006","51","19","","","","N349","N356","","10.1088/0031-9155/51/19/N02","","","13","0.68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","1","1","2","2","0","0","0","0","1","0","0","0","0","1"
"Microdosimetry of X-ray-irradiated gold nanoparticles","Garnica-Garza, H. M.","","","","RADIATION PROTECTION DOSIMETRY","JUN 2013","2013","155","1","","","","59","63","","10.1093/rpd/ncs278","","","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","0","1","2","0","0","0","2","0"
"A Monte Carlo Comparison of Three Different Media for Contrast Enhanced Radiotherapy of the Prostate","Garnica-Garza, H. M.","","","","TECHNOLOGY IN CANCER RESEARCH & TREATMENT","JUN 2010","2010","9","3","","","","271","278","","10.1177/153303461000900306","","","11","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","0","0","0","3","0","0","0","0","1","0","0"
"Monte Carlo modeling of converging small-field contrast-enhanced radiotherapy of prostate","Garnica-Garza, H. M.","","","","PHYSICA MEDICA-EUROPEAN JOURNAL OF MEDICAL PHYSICS","SEP 2013","2013","29","5","","","","493","499","","10.1016/j.ejmp.2012.12.006","","","8","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","0","2","0","0","0","0","0"
"Feasibility of robotic stereotactic body radiotherapy of lung tumors with kilovoltage x-ray beams","Sanchez-Arreola, Susana V.; Garnica-Garza, Hector M.","","","","MEDICAL PHYSICS","APR 2017","2017","44","4","","","","1224","1233","","10.1002/mp.12140","","","5","0.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0"
