Goar Gevorkian (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"LPS-induced Murine Neuroinflammation Model: Main Features and Suitability for Pre-clinical Assessment of Nutraceuticals","Nava Catorce, Miryam; Gevorkian, Goar","","","","CURRENT NEUROPHARMACOLOGY","2016","2016","14","2","","","","155","164","","10.2174/1570159X14666151204122017","","","256","28.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","27","28","39","46","43","38","28"
"Synthetic peptide vaccine against <i>Taenia solium</i> pig cysticercosis:: successful vaccination in a controlled field trial in rural Mexico","Huerta, M; de Aluja, AS; Fragoso, G; Toledo, A; Villalobos, N; Hernández, M; Gevorkian, G; Acero, G; Díaz, A; Alvarez, I; Avila, R; Beltrán, C; Garcia, G; Martinez, JJ; Larralde, C; Sciutto, E","","","","VACCINE","OCT 12 2001","2001","20","1-2","","","","262","266","","10.1016/S0264-410X(01)00249-3","","","114","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","7","8","11","9","4","3","11","3","6","7","4","3","1","7","3","2","2","5","2","3","1"
"Towards a <i>Taenia solium</i> cysticercosis vaccine:: an epitope shared by <i>Taenia crassiceps</i> and <i>Taenia solium</i> protects mice against experimental cysticercosis","Toledo, A; Larralde, C; Fragoso, G; Gevorkian, G; Manoutcharian, K; Hernández, M; Acero, G; Rosas, G; López-Casillas, F; Garfias, CK; Vázquez, R; Terrazas, I; Sciutto, E","","","","INFECTION AND IMMUNITY","MAY 1999","1999","67","5","","","","2522","2530","","10.1128/IAI.67.5.2522-2530.1999","","","88","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","7","6","5","2","2","4","5","3","2","2","4","4","6","4","4","2","6","1","2","4","1","1","5","1"
"Electric stimulation of the vagus nerve reduced mouse neuroinflammation induced by lipopolysaccharide","Meneses, G.; Bautista, M.; Florentino, A.; Diaz, G.; Acero, G.; Besedovsky, H.; Meneses, D.; Fleury, A.; Del Rey, A.; Gevorkian, G.; Fragoso, G.; Sciutto, E.","","","","JOURNAL OF INFLAMMATION-LONDON","OCT 29 2016","2016","13","","","","","","","33","10.1186/s12950-016-0140-5","","","80","8.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","8","11","14","17","13","7"
"Amyloid-β Peptide Binds to Cytochrome C Oxidase Subunit 1","Fernando Hernandez-Zimbron, Luis; Luna-Munoz, Jose; Mena, Raul; Vazquez-Ramirez, Ricardo; Kubli-Garfias, Carlos; Cribbs, David H.; Manoutcharian, Karen; Gevorkian, Goar","","","","PLOS ONE","AUG 21 2012","2012","7","8","","","","","","e42344","10.1371/journal.pone.0042344","","","78","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","7","7","5","10","6","7","8","7","7","3"
"Recombinant bacteriophage-based multiepitope vaccine against <i>Taenia solium</i> pig cysticercosis","Manoutcharian, K; Díaz-Orea, A; Gevorkian, G; Fragoso, G; Acero, G; González, E; de Aluja, A; Villalobos, N; Gómez-Conde, E; Sciutto, E","","","","VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY","MAY 2004","2004","99","1-2","","","","11","24","","10.1016/j.vetimm.2003.12.009","","","77","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","5","6","2","3","8","4","7","5","7","1","6","3","2","4","3","1","3","0"
"Two epitopes shared by <i>Taenia crassiceps</i> and <i>Taenia solium</i> confer protection against murine <i>T-crassiceps</i> cysticercosis along with a prominent T1 response","Toledo, A; Fragoso, G; Rosas, G; Hernández, M; Gevorkian, G; López-Casillas, F; Hernández, B; Acero, G; Huerta, M; Larralde, C; Sciutto, E","","","","INFECTION AND IMMUNITY","MAR 2001","2001","69","3","","","","1766","1773","","10.1128/IAI.69.3.1766-1773.2001","","","71","2.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","4","7","5","3","9","3","1","4","3","4","5","2","2","1","2","1","2","2","1","2","1","0"
"Inexpensive anti-cysticercosis vaccine:: S3Pvac expressed in heat inactivated M13 filamentous phage proves effective against naturally acquired <i>Taenia solium</i> porcine cysticercosis","Morales, Julio; Juan Martinez, Jose; Manoutcharian, Karen; Hernandez, Marisela; Fleury, Agnes; Gevorkian, Goar; Acero, Gonzalo; Blancas, Abel; Toledo, Andrea; Cervantes, Jacquelynne; Maza, Victor; Quet, Fabrice; Bonnabau, Henri; de Aluja, Aline S.; Fragoso, Gladis; Larralde, Carlos; Sciutto, Edda","","","","VACCINE","JUN 2 2008","2008","26","23","","","","2899","2905","","10.1016/j.vaccine.2008.03.042","","","60","3.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","4","5","4","4","3","3","5","1","4","3","7","2","3","0"
"Pyroglutamate-Modified Amyloid Beta Peptides: Emerging Targets for Alzheimer's Disease Immunotherapy","Perez-Garmendia, Roxanna; Gevorkian, Goar","","","","CURRENT NEUROPHARMACOLOGY","SEP 2013","2013","11","5","","","","491","498","","10.2174/1570159X11311050004","","","50","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","5","6","5","3","9","5","2","4"
"Alpha-mangostin attenuates brain inflammation induced by peripheral lipopolysaccharide administration in C57BL/6J mice","Nava Catorce, Miryam; Acero, Gonzalo; Pedraza-Chaverri, Jose; Fragoso, Gladis; Govezensky, Tzipe; Gevorkian, Goar","","","","JOURNAL OF NEUROIMMUNOLOGY","AUG 15 2016","2016","297","","","","","20","27","","10.1016/j.jneuroim.2016.05.008","","","44","4.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","6","7","10","7","4","2"
