Gonzalez-Herrera, Irma G. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Protective effect of L-kynurenine and probenecid on 6-hydroxydopamine-induced striatal toxicity in rats: Implications of modulating kynurenate as a protective strategy","Silva-Adaya, Daniela; Perez-De La Cruz, Veronica; Villeda-Hernandez, Juana; Carrillo-Mora, Paul; Gabriela Gonzalez-Herrera, Irma; Garcia, Esperanza; Colin-Barenque, Laura; Pedraza-Chaverri, Jose; Santamaria, Abel","","","","NEUROTOXICOLOGY AND TERATOLOGY","MAR-APR 2011","2011","33","2","","","","303","312","","10.1016/j.ntt.2010.10.002","","","54","3.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","7","6","3","6","4","3","0","4","4","6","2","2"
"RETRACTED: Curcumin restores Nrf2 levels and prevents quinolinic acid-induced neurotoxicity (Retracted Article)","Carmona-Ramirez, Ivan; Santamaria, Abel; Tobon-Velasco, Julio C.; Orozco-Ibarra, Marisol; Gonzalez-Herrera, Irma G.; Pedraza-Chaverri, Jose; Maldonado, Perla D.","","","","JOURNAL OF NUTRITIONAL BIOCHEMISTRY","JAN 2013","2013","24","1","","","","14","24","","10.1016/j.jnutbio.2011.12.010","","","53","4.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","6","11","4","9","1","2","1","0","2","0"
"Cullin 3 as a novel target in diverse pathologies","Cristina Anderica-Romero, Ana; Gabriela Gonzalez-Herrera, Irma; Santamaria, Abel; Pedraza-Chaverri, Jose","","","","REDOX BIOLOGY","2013","2013","1","1","","","","366","372","","10.1016/j.redox.2013.07.003","","","44","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","4","2","3","3","7","5","2","4","4"
"Testosterone regulates FGF-2 expression during testis maturation by an IRES-dependent translational mechanism","Gonzalez-Herrera, IG; Prado-Lourenco, L; Pileur, F; Conte, C; Morin, A; Cabon, F; Prats, H; Vagner, S; Bayard, F; Audigier, S; Prats, AC","","","","FASEB JOURNAL","JAN 2006","2006","20","1","","","","476","+","","10.1096/fj.04-3314fje","","","37","1.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","3","0","5","2","2","1","2","2","0","2","1","4","2","0","0"
"Protective Effect of Tert-Butylhydroquinone on the Quinolinic-Acid-Induced Toxicity in Rat Striatal Slices: Role of the Nrf2-Antioxidant Response Element Pathway","Tasset, Inmaculada; Perez-De La Cruz, Veronica; Elinos-Calderon, Diana; Carrillo-Mora, Paul; Gabriela Gonzalez-Herrera, Irma; Luna-Lopez, Armando; Konigsberg, Mina; Pedraza-Chaverri, Jose; Maldonado, Perla D.; Ali, Syed F.; Tunez, Isaac; Santamaria, Abel","","","","NEUROSIGNALS","2010","2010","18","1","","","","24","31","","10.1159/000243650","","","36","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","4","3","1","4","2","4","1","4","0","4","2","0"
"Hyperglycemia upregulates translation of the fibroblast growth factor 2 mRNA in mouse aorta via internal ribosome entry site","Teshima-Kondo, S; Kondo, K; Prado-Lourenco, L; Gonzalez-Herrera, IG; Rokutan, K; Bayard, F; Arnal, JF; Prats, AC","","","","FASEB JOURNAL","AUG 2004","2004","18","11","","","","1583","+","","10.1096/fj.03-1118fje","","","25","1.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","3","3","3","0","1","2","1","0","2","0","1","0","0","1","1","0","0"
"Potent activation of FGF-2 IRES-dependent mechanism of translation during brain development","Audigier, Sylvie; Guiramand, Janique; Prado-Lourenco, Leonel; Conte, Caroline; Gonzalez-Herrera, Irma Gabriela; Cohen-Solal, Catherine; Recasens, Max; Prats, Anne-Catherine","","","","RNA","SEP 2008","2008","14","9","","","","1852","1864","","10.1261/rna.790608","","","23","1.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","2","0","1","2","1","1","3","4","0","1","0","1","0"
"IRES-dependent regulation of FGF-2 mRNA translation in pathophysiological conditions in the mouse","Gonzalez-Herrera, IG; Prado-Lourenco, L; Teshima-Kondo, S; Kondo, K; Cabon, F; Arnal, JF; Bayard, F; Prats, AC","","","","BIOCHEMICAL SOCIETY TRANSACTIONS","FEB 2006","2006","34","","1","","","17","21","","10.1042/BST0340017","Translation UK Meeting","JUL 21-23, 2005","19","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","3","1","1","1","0","1","1","1","0","1","1","2","0","0","0"
"A two-step synthetic strategy to obtain a water-soluble derivative of curcumin with improved antioxidant capacity and in vitro cytotoxicity in C6 glioma cells","Landeros, Jose M.; Belmont-Bernal, Fernando; Teresa Perez-Gonzalez, Alma; Israel Perez-Padron, Mario; Guevara-Salazar, Patricia; Gabriela Gonzalez-Herrera, Irma; Guadarrama, Patricia","","","","MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS","FEB 1 2017","2017","71","","","","","351","362","","10.1016/j.msec.2016.10.015","","","16","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","3","1","4","1","2"
"On the effects of CP 55-940 and other cannabinoid receptor agonists in C6 and U373 cell lines","Ortega, A.; Rangel-Lopez, E.; Hidalgo-Miranda, A.; Morales, A.; Ruiz-Garcia, E.; Meneses-Garcia, A.; Herrera-Gomez, A.; Aguilar-Ponce, J. L.; Gonzalez-Herrera, I. G.; Guevara-Salazar, P.; Prospero-Garcia, O.; Del Angel, S. A.","","","","TOXICOLOGY IN VITRO","OCT 2015","2015","29","7","","","","1941","1951","","10.1016/j.tiv.2015.08.003","","","15","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","2","3","2","0","1","1"
