Guerra-Zubiaga, David (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Blockchain-based ubiquitous manufacturing: a secure and reliable cyber-physical system","Barenji, Ali Vatankhah; Li, Zhi; Wang, W. M.; Huang, George Q.; Guerra-Zubiaga, David A.","","","","INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","APR 2 2020","2020","58","7","","","","2200","2221","","10.1080/00207543.2019.1680899","","","75","12.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","27","14","16","8"
"Intelligent E-commerce logistics platform using hybrid agent based approach","Barenji, Ali Vatankhah; Wang, W. M.; Li, Zhi; Guerra-Zubiaga, David A.","","","","TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","JUN 2019","2019","126","","","","","15","31","","10.1016/j.tre.2019.04.002","","","66","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","15","18","15","4"
"An approach to develop a digital twin for industry 4.0 systems: manufacturing automation case studies","Guerra-Zubiaga, David; Kuts, Vladimir; Mahmood, Kashif; Bondar, Alex; Nasajpour-Esfahani, Navid; Otto, Tauno","","","","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","SEP 2 2021","2021","34","9","","","","933","949","","10.1080/0951192X.2021.1946857","","","41","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","12","11"
"Design of a manufacturing knowledge model","Guerra-Zubiaga, D. A.; Young, R. I. M.","","","","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","2008","2008","21","5","","","","526","539","","10.1080/09511920701258040","","","36","2.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","4","5","3","2","3","2","4","4","1","0","1","1","0"
"A manufacturing model to enable knowledge maintenance in decision support systems","Guerra-Zubiaga, David A.; Young, Robert I. M.","","","","JOURNAL OF MANUFACTURING SYSTEMS","2006","2006","25","2","","","","122","136","","10.1016/S0278-6125(06)80038-5","","","20","1.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","2","2","0","0","1","0","1","3","1","0","2","2","0"
"An energy consumption approach in a manufacturing process using design of experiments","Guerra-Zubiaga, David A.; Al Mamun, Abdullah; Gonzalez-Badillo, Germanico","","","","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","2018","2018","31","11","","","","1067","1077","","10.1080/0951192X.2018.1493234","","","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","3","4","1"
"Sharing manufacturing information and knowledge in design decision and support","Young, B; Cutting-Decelle, AF; Guerra, D; Gunendran, G; Das, B; Cochrane, S","","","Bramley, A; Brissaud, D; Coutellier, D; McMahon, C","ADVANCES IN INTEGRATED DESIGN AND MANUFACTURING IN MECHANICAL ENGINEERING","2005","2005","","","","","","173","185","","10.1007/1-4020-3482-2_14","5th International Conference on Integrated Design and Manufacturing in Mechanical Engineering","APR, 2004","19","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","0","0","0","2","2","4","0","1","0","1","0","0","0","1","0"
"Information and knowledge interrelationships within a manufacturing knowledge model","Guerra-Zubiaga, David A.; Young, Robert I. M.","","","","INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY","OCT 2008","2008","39","1-2","","","","182","198","","10.1007/s00170-007-1194-6","","","13","0.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","2","2","0","3","1","0","1","0","0","0"
"Energy consumption parameter analysis of industrial robots using design of experiment methodology","Guerra-Zubiaga, David A.; Luong, Kimberly Y.","","","","INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING","SEP 3 2021","2021","14","5","","","","996","1005","","10.1080/19397038.2020.1805040","","","12","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","2"
"A framework for modelling enterprise competencies: from theory to practice in enterprise architecture","Barenji, Reza Vatankhah; Hashemipour, Majid; Guerra-Zubiaga, David A.","","","","INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","AUG 3 2015","2015","28","8","","","","791","810","","10.1080/0951192X.2014.901563","","","12","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","3","1","1","1","0"
