Diego GuzmÃ¡n-Lucero (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Ionic Liquids as Demulsifiers of Water-in-Crude Oil Emulsions: Study of the Microwave Effect","Guzman-Lucero, Diego; Flores, Patricia; Rojo, Tania; Martinez-Palou, Rafael","","","","ENERGY & FUELS","JUN 2010","2010","24","6","","","","3610","3615","","10.1021/ef100232f","","","112","7.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","7","11","11","6","11","6","11","10","11","12","3"
"Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid","Guzman-Lucero, Diego; Olivares-Xometl, Octavio; Martinez-Palou, Rafael; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Garibay-Febles, Vicente","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","JUN 15 2011","2011","50","12","","","","7129","7140","","10.1021/ie1024744","","","90","6.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","5","13","8","6","11","4","10","11","8","4","3"
"Sodium phthalamates as corrosion inhibitors for carbon steel in aqueous hydrochloric acid solution","Flores, Eugenio A.; Olivares, Octavio; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Nava, Noel; Guzman-Lucero, Diego; Corrales, Monica","","","","CORROSION SCIENCE","DEC 2011","2011","53","12","","","","3899","3913","","10.1016/j.corsci.2011.07.023","","","83","5.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","9","6","5","8","8","6","4","12","7","4","4"
"The Inhibition of Aluminum Corrosion in Sulfuric Acid by Poly(1-vinyl-3-alkyl-imidazolium Hexafluorophosphate)","Arellanes-Lozada, Paulina; Olivares-Xometl, Octavio; Guzman-Lucero, Diego; Likhanova, Natalya V.; Dominguez-Aguilar, Marco A.; Lijanova, Irina V.; Arce-Estrada, Elsa","","","","MATERIALS","AUG 2014","2014","7","8","","","","5711","5734","","10.3390/ma7085711","","","60","5.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","6","6","5","9","9","5","9","6"
"Corrosion Inhibition of Carbon Steel in Acidic Environment by Imidazolium Ionic Liquids Containing Vinyl-Hexafluorophosphate as Anion","Likhanova, Natalya V.; Olivares-Xometl, Octavio; Guzman-Lucero, Diego; Dominguez-Aguilar, Marco A.; Nava, Noel; Corrales-Luna, Monica; Consuelo Mendoza, M.","","","","INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE","OCT 2011","2011","6","10","","","","4514","4536","","","","","43","3.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","3","6","3","4","1","2","3","6","2","1","3"
"Microwave-assisted synthesis of 4,4′-diaminotriphenylmethanes","Guzmán-Lucero, D; Guzmán, J; Likhatchev, D; Martínez-Palou, R","","","","TETRAHEDRON LETTERS","FEB 14 2005","2005","46","7","","","","1119","1122","","10.1016/j.tetlet.2004.12.091","","","39","1.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","4","2","3","4","2","1","4","3","2","1","1","1","2","2","0","1"
"Ionic liquids screening for desulfurization of natural gasoline by liquid-liquid extraction","Likhanova, Natalya V.; Guzman-Lucero, Diego; Flores, Eugenio A.; Garcia, Paloma; Dominguez-Aguilar, Marco A.; Palomeque, Jorge; Martinez-Palou, Rafael","","","","MOLECULAR DIVERSITY","NOV 2010","2010","14","4","","","","777","787","","10.1007/s11030-009-9217-x","","","30","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","5","3","3","4","1","1","0","2","0","2","1"
"Gas Permeation Properties of Soluble Aromatic Polyimides Based on 4-Fluoro-4,4'-Diaminotriphenylmethane","Guzman-Lucero, Diego; Froylan Palomeque-Santiago, Jorge; Camacho-Zuniga, Claudia; Alberto Ruiz-Trevino, Francisco; Guzman, Javier; Galicia-Aguilar, Alberto; Aguilar-Lugo, Carla","","","","MATERIALS","APR 2015","2015","8","4","","","","1951","1965","","10.3390/ma8041951","","","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","7","10","4","1","0","1","1"
"CO<sub>2</sub>/N<sub>2</sub> separation using alumina supported membranes based on new functionalized ionic liquids","Sanchez Fuentes, Cinthia E.; Guzman-Lucero, Diego; Torres-Rodriguez, Miguel; Likhanova, Natalya V.; Navarrete Bolanos, Juan; Olivares-Xometl, Octavio; Lijanova, Irina V.","","","","SEPARATION AND PURIFICATION TECHNOLOGY","JUL 12 2017","2017","182","","","","","59","68","","10.1016/j.seppur.2017.03.031","","","24","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","4","3","6","2","1"
"Evaluation of copolymers from 1-vinyl-3-alkylimidazolium bromide and <i>N</i>-vinylcaprolactam as inhibitors of clathrate hydrate formation","Esther Rebolledo-Libreros, Maria; Reza, Joel; Trejo, Arturo; Javier Guzman-Lucero, Diego","","","","JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING","APR 2017","2017","40","","","","","114","125","","10.1016/j.jngse.2017.02.008","","","24","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","6","2","3","5","1"
