Alfredo Herrera-Estrella (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<i>Trichoderma</i>: the genomics of opportunistic success","Druzhinina, Irina S.; Seidl-Seiboth, Verena; Herrera-Estrella, Alfredo; Horwitz, Benjamin A.; Kenerley, Charles M.; Monte, Enrique; Mukherjee, Prasun K.; Zeilinger, Susanne; Grigoriev, Igor V.; Kubicek, Christian P.","","","","NATURE REVIEWS MICROBIOLOGY","OCT 2011","2011","9","10","","","","749","759","","10.1038/nrmicro2637","","","619","44.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","18","35","37","37","53","39","53","51","70","84","65","49","27"
"Comparative genome sequence analysis underscores mycoparasitism as the ancestral life style of <i>Trichoderma</i>","Kubicek, Christian P.; Herrera-Estrella, Alfredo; Seidl-Seiboth, Verena; Martinez, Diego A.; Druzhinina, Irina S.; Thon, Michael; Zeilinger, Susanne; Casas-Flores, Sergio; Horwitz, Benjamin A.; Mukherjee, Prasun K.; Mukherjee, Mala; Kredics, Laszlo; Alcaraz, Luis D.; Aerts, Andrea; Antal, Zsuzsanna; Atanasova, Lea; Cervantes-Badillo, Mayte G.; Challacombe, Jean; Chertkov, Olga; McCluskey, Kevin; Coulpier, Fanny; Deshpande, Nandan; von Doehren, Hans; Ebbole, Daniel J.; Esquivel-Naranjo, Edgardo U.; Fekete, Erzsebet; Flipphi, Michel; Glaser, Fabian; Gomez-Rodriguez, Elida Y.; Gruber, Sabine; Han, Cliff; Henrissat, Bernard; Hermosa, Rosa; Hernandez-Onate, Miguel; Karaffa, Levente; Kosti, Idit; Le Crom, Stephane; Lindquist, Erika; Lucas, Susan; Luebeck, Mette; Luebeck, Peter S.; Margeot, Antoine; Metz, Benjamin; Misra, Monica; Nevalainen, Helena; Omann, Markus; Packer, Nicolle; Perrone, Giancarlo; Uresti-Rivera, Edith E.; Salamov, Asaf; Schmoll, Monika; Seiboth, Bernhard; Shapiro, Harris; Sukno, Serenella; Tamayo-Ramos, Juan Antonio; Tisch, Doris; Wiest, Aric; Wilkinson, Heather H.; Zhang, Michael; Coutinho, Pedro M.; Kenerley, Charles M.; Monte, Enrique; Baker, Scott E.; Grigoriev, Igor V.","","","","GENOME BIOLOGY","2011","2011","12","4","","","","","","R40","10.1186/gb-2011-12-4-r40","","","461","32.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","25","36","49","31","37","31","41","28","40","38","42","40","17"
"<i>Trichoderma</i> Research in the Genome Era","Mukherjee, Prasun K.; Horwitz, Benjamin A.; Herrera-Estrella, Alfredo; Schmoll, Monika; Kenerley, Charles M.","","","VanAlfen, NK","ANNUAL REVIEW OF PHYTOPATHOLOGY, VOL 51","2013","2013","51","","","","","105","129","","10.1146/annurev-phyto-082712-102353","","","273","22.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","20","29","12","17","31","40","39","31","38","8"
"<i>Trichoderma</i> as biostimulant: exploiting the multilevel properties of a plant beneficial fungus","Lopez-Bucio, Jose; Pelagio-Flores, Ramon; Herrera-Estrella, Alfredo","","","","SCIENTIA HORTICULTURAE","NOV 30 2015","2015","196","","","","SI","109","123","","10.1016/j.scienta.2015.08.043","","","251","25.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","14","18","24","47","35","45","33","29"
"Architecture and evolution of a minute plant genome","Ibarra-Laclette, Enrique; Lyons, Eric; Hernandez-Guzman, Gustavo; Anahi Perez-Torres, Claudia; Carretero-Paulet, Lorenzo; Chang, Tien-Hao; Lan, Tianying; Welch, Andreanna J.; Abraham Juarez, Maria Jazmin; Simpson, June; Fernandez-Cortes, Araceli; Arteaga-Vazquez, Mario; Gongora-Castillo, Elsa; Acevedo-Hernandez, Gustavo; Schuster, Stephan C.; Himmelbauer, Heinz; Minoche, Andre E.; Xu, Sen; Lynch, Michael; Oropeza-Aburto, Araceli; Alan Cervantes-Perez, Sergio; de Jesus Ortega-Estrada, Maria; Israel Cervantes-Luevano, Jacob; Michael, Todd P.; Mockler, Todd; Bryant, Douglas; Herrera-Estrella, Alfredo; Albert, Victor A.; Herrera-Estrella, Luis","","","","NATURE","JUN 6 2013","2013","498","7452","","","","94","+","","10.1038/nature12132","","","249","20.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","28","25","25","31","26","22","24","27","14","11","8"
"Fungal Morphogenesis, from the Polarized Growth of Hyphae to Complex Reproduction and Infection Structures","Riquelme, Meritxell; Aguirre, Jesus; Bartnicki-Garcia, Salomon; Braus, Gerhard H.; Feldbruegge, Michael; Fleig, Ursula; Hansberg, Wilhelm; Herrera-Estrella, Alfredo; Kaemper, Joerg; Kueck, Ulrich; Mourino-Perez, Rosa R.; Takeshita, Norio; Fischer, Reinhard","","","","MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","JUN 2018","2018","82","2","","","","","","e00068-17","10.1128/MMBR.00068-17","","","202","28.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","22","47","45","30","43","12"
"Biological control of the root-knot nematode <i>Meloidogyne javanica</i> by <i>Trichoderma harzianum</i>","Sharon, E; Bar-Eyal, M; Chet, I; Herrera-Estrella, A; Kleifeld, O; Spiegel, Y","","","","PHYTOPATHOLOGY","JUL 2001","2001","91","7","","","","687","693","","10.1094/PHYTO.2001.91.7.687","","","192","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","4","7","5","10","9","11","6","16","11","5","12","13","17","7","16","11","7","11","5"
"MOLECULAR CHARACTERIZATION OF THE PROTEINASE-ENCODING GENE, PRB1, RELATED TO MYCOPARASITISM BY TRICHODERMA-HARZIANUM","GEREMIA, RA; GOLDMAN, GH; JACOBS, D; ARDILES, W; VILA, SB; VANMONTAGU, M; HERRERAESTRELLA, A","","","","MOLECULAR MICROBIOLOGY","MAY 1993","1993","8","3","","","","603","613","","10.1111/j.1365-2958.1993.tb01604.x","","","186","5.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","11","6","5","7","9","6","8","9","9","3","7","6","4","7","2","5","6","4","11","4","7","4","6","5","5","6","5","6","1"
"CHARACTERIZATION OF ECH-42, A TRICHODERMA-HARZIANUM ENDOCHITINASE GENE EXPRESSED DURING MYCOPARASITISM","CARSOLIO, C; GUTIERREZ, A; JIMENEZ, B; VANMONTAGU, M; HERRERAESTRELLA, A","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","NOV 8 1994","1994","91","23","","","","10903","10907","","10.1073/pnas.91.23.10903","","","183","5.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","7","8","12","5","5","7","7","5","5","10","6","7","9","6","4","10","4","8","10","6","5","4","4","6","5","1","2","4"
"Colonization of Arabidopsis roots by Trichoderma atroviride promotes growth and enhances systemic disease resistance through jasmonic acid/ethylene and salicylic acid pathways","Angel Salas-Marina, Miguel; Angel Silva-Flores, Miguel; Elena Uresti-Rivera, Edith; Castro-Longoria, Ernestina; Herrera-Estrella, Alfredo; Casas-Flores, Sergio","","","","EUROPEAN JOURNAL OF PLANT PATHOLOGY","SEP 2011","2011","131","1","","","","15","26","","10.1007/s10658-011-9782-6","","","167","11.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","10","9","7","7","19","12","22","20","14","23","15","3"
