Huerta-Beristain, Gerardo (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Laboratory metabolic evolution improves acetate tolerance and growth on acetate of ethanologenic <i>Escherichia coli</i> under non-aerated conditions in glucose-mineral medium","Fernandez-Sandoval, M. T.; Huerta-Beristain, G.; Trujillo-Martinez, B.; Bustos, P.; Gonzalez, V.; Bolivar, F.; Gosset, G.; Martinez, A.","","","","APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","DEC 2012","2012","96","5","","","","1291","1300","","10.1007/s00253-012-4177-y","","","56","4.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","9","6","7","4","3","4","5","9","4","2"
"Improving poly-3-hydroxybutyrate production in <i>Escherichia coli</i> by combining the increase in the NADPH pool and acetyl-CoA availability","Centeno-Leija, Sara; Huerta-Beristain, Gerardo; Giles-Gomez, Martha; Bolivar, Francisco; Gosset, Guillermo; Martinez, Alfredo","","","","ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY","APR 2014","2014","105","4","","","","687","696","","10.1007/s10482-014-0124-5","","","39","3.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","6","3","4","5","5","2","4","1"
"Bacterial Diversity and Population Dynamics During the Fermentation of Palm Wine From Guerrero Mexico","Astudillo-Melgar, Fernando; Ochoa-Leyva, Adrian; Utrilla, Jose; Huerta-Beristain, Gerardo","","","","FRONTIERS IN MICROBIOLOGY","MAR 22 2019","2019","10","","","","","","","531","10.3389/fmicb.2019.00531","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","7","4","1"
"Engineering the <i>Escherichia coli</i> Fermentative Metabolism","Orencio-Trejo, M.; Utrilla, J.; Fernandez-Sandoval, M. T.; Huerta-Beristain, G.; Gosset, G.; Martinez, A.","","","Wittmann, C; Krull, R","BIOSYSTEMS ENGINEERING II: LINKING CELLULAR NETWORKS AND BIOPROCESSES","2010","2010","121","","","","","71","107","","10.1007/10_2009_61","","","23","1.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","4","4","2","1","1","1","2","0","0","1"
"Specific ethanol production rate in ethanologenic <i>Escherichia coli</i> strain KO11 is limited by pyruvate decarboxylase","Huerta-Beristain, Gerardo; Utrilla, Jose; Hernandez-Chavez, Georgina; Bolivar, Francisco; Gosset, Guillermo; Martinez, Alfredo","","","","JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY","2008","2008","15","1","","","","55","64","","10.1159/000111993","","","22","1.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","2","2","1","3","2","2","1","1","0","1","0","1","0"
"Maternal C677T <i>MTHFR</i> Polymorphism and Environmental Factors Are Associated With Cleft Lip and Palate in a Mexican Population","Jesus Ibarra-Lopez, Jose; Duarte, Patricia; Antonio-Vejar, Veronica; Calderon-Aranda, Emma S.; Huerta-Beristain, Gerardo; Flores-Alfaro, Eugenia; Elena Moreno-Godinez, Ma","","","","JOURNAL OF INVESTIGATIVE MEDICINE","AUG 2013","2013","61","6","","","","1030","1035","","","","","12","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","3","0","0"
"Genotypes of Common Polymorphisms in the PON1 Gene Associated with Paraoxonase Activity as Cardiovascular Risk Factor","Elena Moreno-Godinez, Ma; Galarce-Sosa, Claudia; Angel Cahua-Pablo, Jose; Elizabeth Rojas-Garcia, Aurora; Huerta-Beristain, Gerardo; del Carmen Alarcon-Romero, Luz; Cruz, Miguel; Valladares-Salgado, Adan; Antonio-Vejar, Veronica; Antonio Ramirez-Vargas, Marco; Flores-Alfaro, Eugenia","","","","ARCHIVES OF MEDICAL RESEARCH","OCT 2018","2018","49","7","","","","486","496","","10.1016/j.arcmed.2019.02.002","","","11","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","2","0"
"Metabolic engineering and adaptive evolution of <i>Escherichia coli</i> KO11 for ethanol production through the Entner-Doudoroff and the pentose phosphate pathways","Huerta-Beristain, Gerardo; Cabrera-Ruiz, Rosina; Hernandez-Chavez, Georgina; Bolivar, Francisco; Gosset, Guillermo; Martinez, Alfredo","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","MAY 2017","2017","92","5","","","","990","996","","10.1002/jctb.5138","","","9","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","3","0","2"
"Measurement of organochlorine pesticides in drinking water: laboratory technical proficiency testing in Mexico","Leyva-Morales, J. B.; Bastidas-Bastidas, P. J.; Muniz-Valencia, R.; Ceballos Magana, S. G.; Ponce-Velez, G.; Aguilera-Marquez, D.; Grajeda-Cota, P.; Navidad-Murrieta, M. S.; Flores-Munguia, M. E.; Ramirez-Castillo, J. A.; Romero-Banuelos, C. A.; Ruiz-Ramos, R.; Aguilar-Zarate, G.; Huerta-Beristain, G.","","","","ACCREDITATION AND QUALITY ASSURANCE","DEC 2019","2019","24","6","","","","451","461","","10.1007/s00769-019-01403-w","","","7","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","2"
"Methamidophos Induces Cytotoxicity and Oxidative Stress in Human Peripheral Blood Mononuclear Cells","Antonio Ramirez-Vargas, Marco; Huerta-Beristain, Gerardo; Paola Guzman-Guzman, Iris; del Carmen Alarcon-Romero, Luz; Flores-Alfaro, Eugenia; Elizabeth Rojas-Garcia, Aurora; Elena Moreno-Godinez, Ma","","","","ENVIRONMENTAL TOXICOLOGY","JAN 2017","2017","32","1","","","","147","155","","10.1002/tox.22220","","","7","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","3"
