Ibarra-Velarde, Froylan (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Atom, atom-type and total molecular linear indices as a promising approach for bioorganic and medicinal chemistry:: theoretical and experimental assessment of a novel method for virtual screening and rational design of new lead anthelmintic","Marrero-Ponce, Y; Castillo-Garit, JA; Olazabal, E; Serrano, HS; Morales, A; Castañedo, N; Ibarra-Velarde, F; Huesca-Guillen, A; Sánchez, AM; Torrens, F; Castro, EA","","","","BIOORGANIC & MEDICINAL CHEMISTRY","FEB 15 2005","2005","13","4","","","","1005","1020","","10.1016/j.bmc.2004.11.040","","","93","4.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","9","12","9","9","7","8","6","6","6","4","3","2","0","0","0","0","0","0"
"<i>TOMOCOMD-CARDD</i>, a novel approach for computer-aided 'rational' drug design:: I.: Theoretical and experimental assessment of a promising method for computational screening and in silico design of new anthelmintic compounds","Marrero-Ponce, Y; Castillo-Garit, JA; Olazabal, E; Serrano, HS; Morales, A; Castañedo, N; Ibarra-Velarde, F; Huesca-Guillen, A; Jorge, E; del Valle, A; Torrens, F; Castro, EA","","","","JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","OCT 2004","2004","18","10","","","","615","634","","10.1007/s10822-004-5171-y","","","60","2.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","6","4","5","5","4","1","8","4","4","0","3","1","1","1","0","1","0","0"
"Predicting antitrichomonal activity:: A computational screening using atom-based bilinear indices and experimental proofs","Marrero-Ponce, Yovani; Meneses-Marcel, Alfredo; Castillo-Garit, Juan A.; Machado-Tugores, Yanetsy; Escarioe, Jose Antonio; Gomez Barrio, Alicia; Montero Pereira, David; Jose Nogal-Ruiz, Juan; Aran, Vicente J.; Martinez-Fernandez, Antonio R.; Torrens, Francisco; Rotondo, Richard; Ibarra-Velarde, Froylan; Alvarado, Ysaias J.","","","","BIOORGANIC & MEDICINAL CHEMISTRY","OCT 1 2006","2006","14","19","","","","6502","6524","","10.1016/j.bmc.2006.06.016","","","56","2.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","7","8","7","5","1","3","5","2","5","2","1","1","2","0","1","0"
"Quadratic indices of the 'molecular pseudograph's atom adjacency matrix' and their stochastic forms:: a novel approach for virtual screening and in silico discovery of new lead paramphistomicide drugs-like compounds","Marrero-Ponce, Y; Huesca-Guillén, A; Ibarra-Velarde, F","","","","JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM","MAR 17 2005","2005","717","1-3","","","","67","79","","10.1016/j.theochem.2004.11.027","","","42","2.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","5","5","2","4","4","0","0","3","5","0","2","0","1","1","0","0","1","0"
"Synthesis and fasciolicidal activity of 5-chloro-2-methylthio-6-(1-naphthyloxy)-1<i>H</i>-benzimidazole","Hernández-Campos, A; Ibarra-Velarde, F; Vera-Montenegro, Y; Rivera-Fernández, N; Castillo, R","","","","CHEMICAL & PHARMACEUTICAL BULLETIN","MAY 2002","2002","50","5","","","","649","652","","10.1248/cpb.50.649","","","42","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","1","3","10","3","2","1","2","3","1","1","2","1","0","1","1","0","2","0"
"Prevalence of <i>Fasciola hepatica</i> (ELISA and fecal analysis) in ruminants from a semi-desert area in the northwest of Mexico","Munguia-Xochihua, J. A.; Ibarra-Velarde, F.; Ducoing-Watty, A.; Montenegro-Cristino, N.; Quiroz-Romero, H.","","","","PARASITOLOGY RESEARCH","JUN 2007","2007","101","1","","","","127","130","","10.1007/s00436-006-0438-y","","","29","1.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","1","0","2","1","1","3","0","6","4","3","1"
"Novel triclabendazole prodrug: A highly water soluble alternative for the treatment of fasciolosis","Flores-Ramos, Miguel; Ibarra-Velarde, Froylan; Jung-Cook, Helgi; Hernandez-Campos, Alicia; Vera-Montenegro, Yolanda; Castillo, Rafael","","","","BIOORGANIC & MEDICINAL CHEMISTRY LETTERS","FEB 1 2017","2017","27","3","","","","616","619","","10.1016/j.bmcl.2016.12.004","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","4","6","1","2","2"
"Field trial on the efficacy of an experimental fasciolicide compared with some commercial compounds in naturally infected cattle","Montenegro, YV; Velarde, FI; Romero, HQ; Campos, AH; Castillo, R","","","","PARASITOLOGY RESEARCH","SEP 2003","2003","91","1","","","","1","4","","10.1007/s00436-003-0901-y","","","21","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","3","4","2","0","1","0","1","0","0","0","1","0","1","0","0","1","0"
"In vitro antihelmintic effect of fifteen tropical plant extracts on excysted flukes of Fasciola hepatica","Manuel Alvarez-Mercado, Jose; Ibarra-Velarde, Froylan; Angel Alonso-Diaz, Miguel; Vera-Montenegro, Yolanda; Guillermo Avila-Acevedo, Jose; Maria Garcia-Bores, Ana","","","","BMC VETERINARY RESEARCH","FEB 27 2015","2015","11","","","","","","","45","10.1186/s12917-015-0362-4","","","19","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","5","2","0","4","3"
"Efficacy of an experimental fasciolicide against immature and mature <i>Fasciola hepatica</i> in artificially infected calves","Montenegro, YV; Velarde, FI; Hernández, EL; Romero, HQ; Bocanegra, RC; Campos, AH; Galván, PO","","","","PARASITOLOGY RESEARCH","FEB 2004","2004","92","3","","","","211","214","","10.1007/s00436-003-1007-2","","","19","0.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","3","3","2","2","0","1","0","0","0","0","0","1","0","0","0","0","1","0"
