Lara-Ochoa, Francisco (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cocrystals definitions","Lara-Ochoa, F.; Espinosa-Petrez, G.","","","","SUPRAMOLECULAR CHEMISTRY","DEC 2007","2007","19","8","","","","553","557","","10.1080/10610270701501652","","","118","6.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","1","3","6","5","3","11","20","14","8","10","8","14","6","2"
"CANONICAL STRUCTURE REPERTOIRE OF THE ANTIGEN-BINDING SITE OF IMMUNOGLOBULINS SUGGESTS STRONG GEOMETRICAL RESTRICTIONS ASSOCIATED TO THE MECHANISM OF IMMUNE RECOGNITION","VARGASMADRAZO, E; LARAOCHOA, F; ALMAGRO, JC","","","","JOURNAL OF MOLECULAR BIOLOGY","DEC 1 1995","1995","254","3","","","","497","504","","10.1006/jmbi.1995.0633","","","116","3.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","9","6","8","9","7","8","6","4","8","4","2","2","4","4","5","2","0","2","3","2","2","3","3","0","0","1","0"
"A new synthesis of combretastatins A-4 and AVE-8062A","Lara-Ochoa, Francisco; Espinosa-Perez, Georgina","","","","TETRAHEDRON LETTERS","SEP 24 2007","2007","48","39","","","","7007","7010","","10.1016/j.tetlet.2007.07.151","","","59","3.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","8","10","5","5","1","6","3","4","3","1","3","1","2","2","1"
"Thalidomide ameliorates carbon tetrachloride induced cirrhosis in the rat","Muriel, P; Fernández-Martínez, E; Pérez-Alvarez, V; Lara-Ochoa, F; Ponce, S; García, J; Shibayama, M; Tsutsumi, V","","","","EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY","SEP 2003","2003","15","9","","","","951","957","","10.1097/00042737-200309000-00003","","","30","1.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","4","3","3","3","0","2","0","1","2","2","1","0","0","0","0","0","0","0"
"Antibody-antigen recognition: A canonical structure paradigm","LaraOchoa, F; Almagro, JC; VargasMadrazo, E; Conrad, M","","","","JOURNAL OF MOLECULAR EVOLUTION","DEC 1996","1996","43","6","","","","678","684","","10.1007/BF02202116","","","29","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","4","1","2","2","0","2","2","0","0","1","0","0","0","1","1","0","1","2","1","0","0","0","1","0"
"More about boron-nitrogen B12+3nN12+3n fullerene-like cages. An ab initio and AM1 investigation of some 4/6 isomers","SilaghiDumitrescu, I; LaraOchoa, F; Bishof, P; Haiduc, I","","","","JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM","SEP 15 1996","1996","367","","","","","47","54","","10.1016/S0166-1280(96)04555-1","","","29","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","3","3","2","2","3","0","2","1","2","0","1","1","0","0","0","0","0","0","1","2","0","0","0"
"Crystals and patents","Lara-Ochoa, Francisco; Espinosa-Perez, Georgina","","","","CRYSTAL GROWTH & DESIGN","JUL 2007","2007","7","7","","","","1213","1215","","10.1021/cg070037w","","","28","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","2","4","1","2","1","0","1","0","3","1","0","0","0","0"
"STRUCTURAL REPERTOIRE IN VH PSEUDOGENES OF IMMUNOGLOBULINS - COMPARISON WITH HUMAN GERMLINE GENES AND HUMAN AMINO-ACID-SEQUENCES","VARGASMADRAZO, E; ALMAGRO, JC; LARAOCHOA, F","","","","JOURNAL OF MOLECULAR BIOLOGY","FEB 10 1995","1995","246","1","","","","74","81","","10.1006/jmbi.1994.0067","","","26","0.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","1","0","1","2","2","0","2","1","1","1","1","2","2","0","1","1","0","0","0","1","0","0","0","2","0"
"Evolution of the structural repertoire of the human V<sub>H</sub> and V<sub>κ</sub> germline genes","Vargas-Madrazo, E; Lara-Ochoa, F; Ramirez-Benites, MC; Almagro, JC","","","","INTERNATIONAL IMMUNOLOGY","DEC 1997","1997","9","12","","","","1801","1815","","10.1093/intimm/9.12.1801","","","23","0.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","0","1","3","1","2","1","1","1","2","1","2","0","1","0","1","0","0","0","0","0","0","0"
"A(12)B(12)(A=B,Al; B=N,P) 4/6 fullerene-like cages and their hydrogenated forms stabilized by exohedral bonds. An AM1 molecular orbital study","SilaghiDumitrescu, I; LaraOchoa, F; Haiduc, I","","","","JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM","OCT 10 1996","1996","370","1","","","","17","23","","10.1016/S0166-1280(96)04677-5","","","23","0.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","0","0","0","1","0","4","0","0","1","1","0","0","2","0","1","0","0","0","0","1","3","0","1","0","1"
