Alexei Fedorovish Licea Navaro (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Single domain antibodies: promising experimental and therapeutic tools in infection and immunity","Wesolowski, Janusz; Alzogaray, Vanina; Reyelt, Jan; Unger, Mandy; Juarez, Karla; Urrutia, Mariela; Cauerhff, Ana; Danquah, Welbeck; Rissiek, Bjoern; Scheuplein, Felix; Schwarz, Nicole; Adriouch, Sahil; Boyer, Olivier; Seman, Michel; Licea, Alexei; Serreze, David V.; Goldbaum, Fernando A.; Haag, Friedrich; Koch-Nolte, Friedrich","","","","MEDICAL MICROBIOLOGY AND IMMUNOLOGY","AUG 2009","2009","198","3","","","","157","174","","10.1007/s00430-009-0116-7","","","383","23.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","25","22","31","35","20","22","33","31","24","36","21","30","19","16"
"Nonylphenol algal bioaccumulation and its effect through the trophic chain","Correa-Reyes, Gabriel; Viana, Maria Teresa; Marquez-Rocha, Facundo J.; Licea, Alexel F.; Ponce, Elizabeth; Vazquez-Duhalt, Rafael","","","","CHEMOSPHERE","JUN 2007","2007","68","4","","","","662","670","","10.1016/j.chemosphere.2007.02.030","","","82","4.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1","12","3","2","5","8","7","4","3","5","8","4","6","6","0"
"Thermal preference, tolerance and oxygen consumption of adult white shrimp <i>Litopenaeus vannamei</i> (Boone) exposed to different acclimation temperatures","Gonzalez, Ricardo A.; Diaz, Fernando; Licea, Alexei; Denisse Re, Ana; Noemi Sanchez, L.; Garcia-Esquivel, Zaul","","","","JOURNAL OF THERMAL BIOLOGY","JUL 2010","2010","35","5","","","","218","224","","10.1016/j.jtherbio.2010.05.004","","","75","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","4","10","5","6","1","9","8","8","8","1"
"Analysis of sequencing strategies and tools for taxonomic annotation: Defining standards for progressive metagenomics","Escobar-Zepeda, Alejandra; Ernestina Godoy-Lozano, Elizabeth; Raggi, Luciana; Segovia, Lorenzo; Merino, Enrique; Maria Gutierrez-Rios, Rosa; Juarez, Katy; Licea-Navarro, Alexei F.; Pardo-Lopez, Liliana; Sanchez-Flores, Alejandro","","","","SCIENTIFIC REPORTS","AUG 13 2018","2018","8","","","","","","","12034","10.1038/s41598-018-30515-5","","","70","10.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","14","18","18","11","3"
"Field evaluation of the protective efficacy of <i>Mycobacterium bovis</i> BCG vaccine against bovine tuberculosis","Lopez-Valencia, G.; Renteria-Evangelista, T.; de Jesus Williams, J.; Licea-Navarro, A.; De la Mora-Valle, A.; Medina-Basulto, G.","","","","RESEARCH IN VETERINARY SCIENCE","FEB 2010","2010","88","1","","","","44","49","","10.1016/j.rvsc.2009.05.022","","","62","4.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","6","4","5","8","2","6","8","2","2","4","5","3","1"
"Scaffolds based on alginate-PEG methyl ether methacrylate-<i>Moringa oleifera- Aloe vera</i> for wound healing applications","Rubio-Elizalde, Itzel; Bernaldez-Sarabia, Johanna; Moreno-Ulloa, Aldo; Vilanova, Carmel; Juarez, Patricia; Licea-Navarro, Alexei; Castro-Cesena, Ana B.","","","","CARBOHYDRATE POLYMERS","FEB 15 2019","2019","206","","","","","455","467","","10.1016/j.carbpol.2018.11.027","","","54","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","9","4","18","7"
"Evolution of <i>Conus</i> peptide toxins: Analysis of <i>Conus californicus</i> Reeve, 1844","Biggs, Jason S.; Watkins, Maren; Puillandre, Nicolas; Ownby, John-Paul; Lopez-Vera, Estuardo; Christensen, Sean; Juarez Moreno, Karla; Bernaldez, Johanna; Licea-Navarro, Alexei; Corneli, Patrice Showers; Olivera, Baldomero M.","","","","MOLECULAR PHYLOGENETICS AND EVOLUTION","JUL 2010","2010","56","1","","","","1","12","","10.1016/j.ympev.2010.03.029","","","54","3.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","8","6","7","6","4","1","5","1","5","3","1","1"
"Anuroctoxin, a new scorpion toxin of the α-KTx 6 subfamily, is highly selective for Kv1.3 over IKCa1 ion channels of human T lymphocytes","Bagdány, M; Batista, CVF; Valdez-Cruz, NA; Somodi, A; de la Vega, RCR; Licea, AF; Varga, Z; Gáspár, R; Possani, LD; Panyi, G","","","","MOLECULAR PHARMACOLOGY","APR 2005","2005","67","4","","","","1034","1044","","10.1124/mol.104.007187","","","53","2.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","3","2","0","1","4","1","2","4","3","4","1","2","3","6","3","1","0"
"Physiological, metabolic and haematological responses in white shrimp <i>Litopenaeus vannamei</i> (Boone) juveniles fed diets supplemented with astaxanthin acclimated to low-salinity water","Flores, Maricela; Diaz, Fernando; Medina, Rebeca; Re, Ana Denisse; Licea, Alexei","","","","AQUACULTURE RESEARCH","MAY 14 2007","2007","38","7","","","","740","747","","10.1111/j.1365-2109.2007.01720.x","","","50","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","2","2","2","2","0","3","4","8","3","5","8","4","0"
"Modulation of cell membrane potential in cultured vascular endothelium.","Vaca, L; Licea, A; Possani, LD","","","","AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY","MAR 1996","1996","270","3","","","","C819","C824","","10.1152/ajpcell.1996.270.3.C819","","","48","1.66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","8","6","2","4","3","5","2","1","0","0","0","2","0","0","2","0","1","1","2","1","0","0","0","0","0","0"
