Loria-Bastarrachea, Maria Isabel (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"A TG/FTIR study on the thermal degradation of poly(vinyl pyrrolidone)","Loria-Bastarrachea, M. I.; Herrera-Kao, W.; Cauich-Rodriguez, J. V.; Cervantes-Uc, J. M.; Vazquez-Torres, H.; Avila-Ortega, A.","","","","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","MAY 2011","2011","104","2","","","","737","742","","10.1007/s10973-010-1061-9","","","184","13.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","10","11","8","6","15","16","17","17","21","23","19","12"
"CMS membranes from PBI/PI blends: Temperature effect on gas transport and separation performance","Manuel Perez-Francisco, Jose; Luis Santiago-Garcia, Jose; Isabel Loria-Bastarrachea, Maria; Paul, Donald R.; Freeman, Benny D.; Aguilar-Vega, Manuel","","","","JOURNAL OF MEMBRANE SCIENCE","MAR 1 2020","2020","597","","","","","","","117703","10.1016/j.memsci.2019.117703","","","39","7.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","7","13","9"
"Characterization of henequen cellulose microfibers treated with an epoxide and grafted with poly(acrylic acid)","Toledano-Thompson, T; Loría-Bastarrachea, MI; Aguilar-Vega, MJ","","","","CARBOHYDRATE POLYMERS","OCT 17 2005","2005","62","1","","","","67","73","","10.1016/j.carbpol.2005.06.024","","","33","1.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","1","1","0","1","3","2","4","2","3","1","2","4","2","1","0"
"Towards optimization of the silanization process of hydroxyapatite for its use in bone cement formulations","Cisneros-Pineda, Olga G.; Kao, Wilberth Herrera; Loria-Bastarrachea, Maria I.; Veranes-Pantoja, Yaymarilis; Cauich-Rodriguez, Juan V.; Cervantes-Uc, Jose M.","","","","MATERIALS SCIENCE AND ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS","JUL 1 2014","2014","40","","","","","157","163","","10.1016/j.msec.2014.03.064","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","3","6","3","1","5","2"
"Synthesis and characterization of aromatic polyesters and copolyesters from 4,4-(1-hydroxyphenylidene)diphenol and 4,4′-(9-fluorenylidene)diphenol","Loría-Bastarrachea, MI; Vázquez-Torres, H; Aguilar-Vega, MD","","","","JOURNAL OF APPLIED POLYMER SCIENCE","DEC 5 2002","2002","86","10","","","","2515","2522","","10.1002/app.11033","","","26","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","2","5","1","1","0","0","1","4","1","2","0","1","0","0","0"
"Highly permeable polyimide membranes with a structural pyrene containing <i>tert</i>-butyl groups: Synthesis, characterization and gas transport","Sulub-Sulub, R.; Loria-Bastarrachea, M. I.; Vazquez-Torres, H.; Santiago-Garcia, J. L.; Aguilar-Vega, M.","","","","JOURNAL OF MEMBRANE SCIENCE","OCT 1 2018","2018","563","","","","","134","141","","10.1016/j.memsci.2018.05.054","","","25","3.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","2","6","5","2"
"Synthesis and characterization of core-shell nanoparticles and their influence on the mechanical behavior of acrylic bone cements","Gutierrez-Mejia, A.; Herrera-Kao, W.; Duarte-Aranda, S.; Loria-Bastarrachea, M. I.; Canche-Escamilla, G.; Moscoso-Sanchez, F. J.; Cauich-Rodriguez, J. V.; Cervantes-Uc, J. M.","","","","MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS","APR 1 2013","2013","33","3","","","","1737","1743","","10.1016/j.msec.2012.12.087","","","24","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","4","1","2","5","2","2","0","1"
"Grafting of poly(acrylic acid) onto cellulosic microfibers and continuous cellulose filaments and characterization","Loría-Bastarrachea, MI; Carrillo-Escalante, HJ; Aguilar-Vega, MJ","","","","JOURNAL OF APPLIED POLYMER SCIENCE","JAN 10 2002","2002","83","2","","","","386","393","","10.1002/app.10026","","","23","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","4","2","2","1","0","2","3","1","0","0","0","1","1","0","1","0","1","0"
"Synthesis, characterization, and structure-property relationships of aromatic polyimides containing 4,4′-diaminotriphenylmethane","Aguilar-Lugo, C.; Santiago-Garcia, J. L.; Loria-Bastarrachea, M. I.; Guzman-Lucero, D.; Alexandrova, L.; Aguilar-Vega, M.","","","","JOURNAL OF POLYMER RESEARCH","FEB 17 2016","2016","23","3","","","","","","49","10.1007/s10965-016-0939-z","","","15","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1","2","2","0","0"
"Synthesis and characterization of poly(amide-imide)s derived from a new <i>ortho</i>-functional unsymmetrical dicarboxylic acid","Canto-Acosta, Rodrigo Javier; Loria-Bastarrachea, Maria Isabel; Carrillo-Escalante, Hugo Joel; Hernandez-Nunez, Emanuel; Aguilar-Vega, Manuel; Santiago-Garcia, Jose Luis","","","","RSC ADVANCES","2018","2018","8","1","","","","284","290","","10.1039/c7ra11710h","","","13","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","2","2","2"
