Jesus Armando Lujan-Montelongo (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Swelling and methylene blue adsorption of poly(<i>N</i>,<i>N</i>-dimethylacrylamide-<i>co</i>-2-hydroxyethyl methacrylate) hydrogel","Hernandez-Martinez, A. R.; Lujan-Montelongo, J. A.; Silva-Cuevas, C.; Mota-Morales, Josue D.; Cortez-Valadez, M.; de Jesus Ruiz-Baltazar, Alvaro; Cruz, M.; Herrera-Ordonez, Jorge","","","","REACTIVE & FUNCTIONAL POLYMERS","JAN 2018","2018","122","","","","","75","84","","10.1016/j.reactfunctpolym.2017.11.008","","","73","10.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","15","16","8","7","10"
"Alkyl Sulfinates: Formal Nucleophiles for Synthesizing TosMIC Analogs","Armando Lujan-Montelongo, J.; Estevez, Angel Ojeda; Fleming, Fraser F.","","","","EUROPEAN JOURNAL OF ORGANIC CHEMISTRY","MAR 2015","2015","2015","7","","","","1602","1605","","10.1002/ejoc.201403615","","","39","3.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","3","12","6","0","7","2"
"New Heck coupling strategies for the synthesis of paullone and dimethyl paullone","Avila-Zarraga, Jose Gustavo; Lujan-Montelongo, Armando; Covarrubias-Zuniga, Adrian; Romero-Ortega, Moises","","","","TETRAHEDRON LETTERS","NOV 6 2006","2006","47","45","","","","7987","7989","","10.1016/j.tetlet.2006.08.118","","","28","1.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","1","3","1","3","1","2","3","0","2","0","0","2","2","0","0","2"
"Lead (II) removal by poly(<i>N</i>,<i>N</i>-dimethylacrylamide-<i>co</i>-2-hydroxyethyl methacrylate)","Ramos-Jacques, A. L.; Lujan-Montelongo, J. A.; Silva-Cuevas, C.; Cortez-Valadez, M.; Estevez, M.; Hernandez-Martinez, A. R.","","","","EUROPEAN POLYMER JOURNAL","APR 2018","2018","101","","","","","262","272","","10.1016/j.eurpolymj.2018.02.032","","","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","4","4","3","1"
"Sulfonyl halide synthesis by thiol oxyhalogenation using NBS/NCS - <i>i</i>PrOH","Silva-Cuevas, Carolina; Perez-Arrieta, Carlos; Polindara-Garcia, Luis A.; Armando Lujan-Montelongo, J.","","","","TETRAHEDRON LETTERS","JUN 7 2017","2017","58","23","","","","2244","2247","","10.1016/j.tetlet.2017.04.087","","","20","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","3","2","6","4"
"Synthesis of Polysubstituted Isoindolinones via Radical Cyclization of 1,3-Dicarbonyl Ugi-4CR Adducts Using Tetrabutylammonium Persulfate and TEMPO","Borja-Miranda, Andres; Valencia-Villegas, Fabiola; Armando Lujan-Montelongo, J.; Polindara-Garcia, Luis A.","","","","JOURNAL OF ORGANIC CHEMISTRY","JAN 1 2021","2021","86","1","","","","929","946","","10.1021/acs.joc.0c02441","","","16","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","4","1"
"The Two Faces of Sulfinates: Illustrating Umpolung Reactivity","Tapia-Pineda, Adabelia; Perez-Arrieta, Carlos; Silva-Cuevas, Carolina; Paleo, Ehecatl; Armando Lujan-Montelongo, J.","","","","JOURNAL OF CHEMICAL EDUCATION","AUG 2016","2016","93","8","","","","1470","1474","","10.1021/acs.jchemed.6b00102","","","16","1.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","5","1","2","0","1"
"Microwave-assisted C-3 selective oxidative radical alkylation of flavones","Mijangos, Marco V.; Gonzalez-Marrero, Joaquin; Miranda, Luis D.; Vincent-Ruz, Paulette; Lujan-Montelongo, Armando; Olivera-Diaz, Diana; Bautista, Elhiu; Ortega, Alfredo; de la Luz Campos-Gonzalez, Maria; Gamez-Montano, Rocio","","","","ORGANIC & BIOMOLECULAR CHEMISTRY","2012","2012","10","15","","","","2946","2949","","10.1039/c2ob25249j","","","16","1.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","5","1","1","0","1","1","0","2","1","1"
"Alkenyl Isocyanide Conjugate Additions: A Rapid Route to γ-Carbolines","Chepyshev, Sergiy V.; Armando Lujan-Montelongo, J.; Chao, Allen; Fleming, Fraser F.","","","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","APR 3 2017","2017","56","15","","","","4310","4313","","10.1002/anie.201612574","","","15","1.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","3","1","2","1"
"Palladium (II) catalyzed 5-<i>endo</i> epoxynitrile cyclizations: total syntheses of enokipodins A and B","Armando Lujan-Montelongo, Jesus; Avila-Zarraga, Jose G.","","","","TETRAHEDRON LETTERS","APR 28 2010","2010","51","17","","","","2232","2236","","10.1016/j.tetlet.2010.02.072","","","11","0.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","2","0","1","0","1","0","1","0","0","0","0"
