Maity, Samir K. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Hydrodesulfurization and hydrocracking of Maya crude with P-modified NiMo/Al<sub>2</sub>O<sub>3</sub> catalysts","Rayo, Patricia; Ramirez, Jorge; Torres-Mancera, Pablo; Marroquin, Gustavo; Maity, Samir K.; Ancheyta, Jorge","","","","FUEL","OCT 2012","2012","100","","","","","34","42","","10.1016/j.fuel.2011.12.004","International Symposium on Advances in Hydroprocessing of Oil Fractions (ISAHOF)","JUN, 2011","64","4.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","5","5","4","4","6","8","7","4","6","2"
"Slurry phase hydrocracking of heavy oil and residue to produce lighter fuels: An experimental review","Prajapati, Ravindra; Kohli, Kirtika; Maity, Samir K.","","","","FUEL","MAR 15 2021","2021","288","","","","","","","119686","10.1016/j.fuel.2020.119686","","","62","15.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","20","20","15"
"Deactivation of a hydrotreating catalyst during hydroprocessing of synthetic crude by metal bearing compounds","Kohli, K.; Prajapati, R.; Maity, Samir K.; Sau, M.; Sharma, Brajendra K.","","","","FUEL","MAY 1 2019","2019","243","","","","","579","589","","10.1016/j.fuel.2019.01.153","","","30","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","8","5","8"
"Potential Chemicals from Plastic Wastes","Prajapati, Ravindra; Kohli, Kirtika; Maity, Samir K.; Sharma, Brajendra K.","","","","MOLECULES","JUN 2021","2021","26","11","","","","","","3175","10.3390/molecules26113175","","","26","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","12","8"
"Rheological studies of performance grade bitumens prepared by blending elastomeric SBS (styrene butadiene styrene) co-polymer in base bitumens","Kumar, Kamal; Singh, Anand; Maity, Samir K.; Srivastava, Manoj; Sahai, Manisha; Singh, Raj K.; Garg, Madhukar O.","","","","JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY","DEC 25 2016","2016","44","","","","","112","117","","10.1016/j.jiec.2016.08.017","","","20","2.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","5","2","3","3","3"
"Residue upgradation with slurry phase catalyst: Effect of feedstock properties","Prajapati, R.; Kohli, K.; Maity, Samir K.","","","","FUEL","MAR 1 2019","2019","239","","","","","452","460","","10.1016/j.fuel.2018.11.041","","","19","3.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","5","5","1"
"Accelerated pre-coking of NiMo/γ-Al<sub>2</sub>O<sub>3</sub> catalyst: Effect on the hydroprocessing activity of vacuum residue","Kohli, K.; Prajapati, R.; Maity, Samir K.; Sau, M.; Sharma, Brajendra K.","","","","FUEL","JAN 1 2019","2019","235","","","","","437","447","","10.1016/j.fuel.2018.08.026","","","18","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","7","3","2","1"
"ION-SOLVENT INTERACTIONS - STUDIES ON THE SOLVATION OF ELECTROLYTES IN MIXED-SOLVENTS","MAITY, SK; CHATTOPADHYAY, AK; LAHIRI, SC","","","","ELECTROCHIMICA ACTA","1980","1980","25","11","","","","1487","1490","","10.1016/0013-4686(80)87166-0","","","15","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","2","2","1","0","0","1","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Hydrocracking of heavy crude/residues with waste plastic","Kohli, Kirtika; Prajapati, Ravindra; Maity, Samir K.; Sharma, Brajendra K.","","","","JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","JUN 2019","2019","140","","","","","179","187","","10.1016/j.jaap.2019.03.013","","","13","2.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","6","4"
"Effect of Silica, Activated Carbon, and Alumina Supports on NiMo Catalysts for Residue Upgrading","Kohli, Kirtika; Prajapati, Ravindra; Maity, Samir K.; Sharma, Brajendra Kumar","","","","ENERGIES","SEP 2020","2020","13","18","","","","","","4967","10.3390/en13184967","","","10","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","0"
