Jorge Alberto Mendoza P̩rez (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Sequential enzymatic saccharification and fermentation of ionic liquid and organosolv pretreated agave bagasse for ethanol production","Perez-Pimienta, Jose A.; Vargas-Tah, Alejandra; Lopez-Ortega, Karla M.; Medina-Lopez, Yessenia N.; Mendoza-Perez, Jorge A.; Avila, Sayeny; Singh, Seema; Simmons, Blake A.; Loaces, Ines; Martinez, Alfredo","","","","BIORESOURCE TECHNOLOGY","FEB 2017","2017","225","","","","","191","198","","10.1016/j.biortech.2016.11.064","","","44","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","13","5","6","9","2","5","1"
"Optimization of alkaline and dilute acid pretreatment of agave bagasse by response surface methodology","Avila-Lara, Abimael, I; Camberos-Flores, Jesus N.; Mendoza-Perez, Jorge A.; Messina-Fernandez, Sarah R.; Saldana-Duran, Claudia E.; Jimenez-Ruiz, Edgar, I; Sanchez-Herrera, Leticia M.; Perez-Pimienta, Jose A.","","","","FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY","2015","2015","3","","","","","","","146","10.3389/fbioe.2015.00146","","","42","4.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","9","8","6","4","2"
"Microscopy techniques and image analysis for evaluation of some chemical and physical properties and morphological features for seeds of the castor oil plant (<i>Ricinus communis</i>)","Perea-Flores, M. J.; Chanona-Perez, J. J.; Garibay-Febles, V.; Calderon-Dominguez, G.; Terres-Rojas, E.; Mendoza-Perez, J. A.; Herrera-Bucio, R.","","","","INDUSTRIAL CROPS AND PRODUCTS","JUL 2011","2011","34","1","","","","1057","1065","","10.1016/j.indcrop.2011.03.015","","","38","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","2","3","6","4","2","5","5","2","2"
"Shrinkage and Deformation of Agave atrovirens Karw Tissue during Convective Drying: Influence of Structural Arrangements","Gumeta-Chavez, Carolina; Jorge Chanona-Perez, Jose; Alberto Mendoza-Perez, Jorge; Terres-Rojas, Eduardo; Garibay-Febles, Vicente; Gutierrez-Lopez, Gustavo F.","","","","DRYING TECHNOLOGY","2011","2011","29","6","","","","612","623","","10.1080/07373937.2010.514380","","","32","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","2","3","3","6","2","2","0","4","1","2"
"Acetosolv treatment of fibers from waste agave leaves: Influence of process variables and microstructural study","Hernandez-Hernandez, H. M.; Chanona-Perez, J. J.; Vega, A.; Ligero, P.; Mendoza-Perez, J. A.; Calderon-Dominguez, G.; Terres, E.; Farrera-Rebollo, R. R.","","","","INDUSTRIAL CROPS AND PRODUCTS","AUG 2016","2016","86","","","","","163","172","","10.1016/j.indcrop.2016.03.043","","","31","3.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","3","5","4","3","5"
"Ecotoxicological Analysis of Emerging Contaminants from Wastewater Discharges in the Coastal Zone of Cihuatlan (Jalisco, Mexico)","Angel Arguello-Perez, Miguel; Alberto Mendoza-Perez, Jorge; Tintos-Gomez, Adrian; Ramirez-Ayala, Eduardo; Godinez-Dominguez, Enrique; de Asis Silva-Batiz, Francisco","","","","WATER","JUL 2019","2019","11","7","","","","","","1386","10.3390/w11071386","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","6","6","5"
"Detection, provenance and associated environmental risks of water quality pollutants during anomaly events in River Atoyac, Central Mexico: A real-time monitoring approach","Hernandez-Ramirez, A. G.; Martinez-Tavera, E.; Rodriguez-Espinosa, P. F.; Mendoza-Perez, J. A.; Tabla-Hernandez, J.; Escobedo-Urias, D. C.; Jonathan, M. P.; Sujitha, S. B.","","","","SCIENCE OF THE TOTAL ENVIRONMENT","JUN 15 2019","2019","669","","","","","1019","1032","","10.1016/j.scitotenv.2019.03.138","","","24","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","3","6","4"
"Bioderived ionic liquid-based pretreatment enhances methane production from <i>Agave tequilana</i> bagasse","Perez-Pimienta, Jose A.; Icaza-Herrera, Jose P. A.; Mendez-Acosta, Hugo O.; Gonzalez-Alvarez, Victor; Mendoza-Perez, Jorge A.; Arreola-Vargas, Jorge","","","","RSC ADVANCES","APR 7 2020","2020","10","24","","","","14025","14032","","10.1039/d0ra01849j","","","17","3.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","3","2"
"Identification of microplastics and associated contaminants using ultra high resolution microscopic and spectroscopic techniques","Melo-Agustin, Paola; Kozak, Eva R.; de Jesus Perea-Flores, Maria; Mendoza-Perez, Jorge A.","","","","SCIENCE OF THE TOTAL ENVIRONMENT","JUL 1 2022","2022","828","","","","","","","154434","10.1016/j.scitotenv.2022.154434","","","15","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","9"
"Evaluation of physical, chemical, microstructural and micromechanical properties of nopal spines (<i>Opuntia ficus</i>-<i>indica</i>)","Marin-Bustamante, M. Q.; Chanona-Perez, J. J.; Guemes-Vera, N.; Arzate-Vazquez, I; Perea-Flores, M. J.; Mendoza-Perez, J. A.; Calderon-Dominguez, G.; Casarez-Santiago, R. G.","","","","INDUSTRIAL CROPS AND PRODUCTS","NOV 1 2018","2018","123","","","","","707","718","","10.1016/j.indcrop.2018.07.030","","","15","2.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","5","3"
