AlmaDelia Miranda (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Highly regioselective N-trans symmetrical diprotection of cyclen","De Leon-Rodriguez, Luis M.; Kovacs, Zoltan; Esqueda-Oliva, Ana Cristina; Miranda-Vera, Alma Delia","","","","TETRAHEDRON LETTERS","SEP 25 2006","2006","47","39","","","","6937","6940","","10.1016/j.tetlet.2006.07.135","","","50","2.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","3","5","2","9","4","3","4","2","1","1","4","1","2","0"
"Experimental and Theoretical Approach To Determine the Average Asphaltene Structure of a Crude Oil from the Golden Lane (Faja de Oro) of Mexico","Ruiz-Morales, Yosadara; Delia Miranda-Olvera, Alma; Portales-Martinez, Benjamin; Dominguez, J. M.","","","","ENERGY & FUELS","JUL 16 2020","2020","34","7","","","","7985","8006","","10.1021/acs.energyfuels.0c00593","","","34","6.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","11","7","6"
"DFT Study of the Energetic and Noncovalent Interactions between Imidazolium Ionic Liquids and Hydrofluoric Acid","Velarde, Marco V.; Gallo, Marco; Alonso, P. A.; Miranda, A. D.; Dominguez, J. M.","","","","JOURNAL OF PHYSICAL CHEMISTRY B","APR 16 2015","2015","119","15","","","","5002","5009","","10.1021/acs.jpcb.5b00229","","","25","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","3","5","3","2","1","1","1"
"Calculation of the Solubility Parameter by COSMO-RS Methods and Its Influence on Asphaltene-Ionic Liquid Interactions","Hernandez-Bravo, R.; Miranda, A. D.; Martinez-Mora, O.; Dominguez, Z.; Martinez-Magadan, J. M.; Garcia-Chavez, R.; Dominguez-Esquivel, J. M.","","","","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","MAY 3 2017","2017","56","17","","","","5107","5115","","10.1021/acs.iecr.6b05035","","","22","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","5","4","5","0"
"Determination of <SUP>13</SUP>C NMR Chemical Shift Structural Ranges for Polycyclic Aromatic Hydrocarbons (PAHs) and PAHs in Asphaltenes: An Experimental and Theoretical Density Functional Theory Study","Ruiz-Morales, Yosadara; Delia Miranda-Olvera, Alma; Portales-Martinez, Benjamin; Dominguez, J. M.","","","","ENERGY & FUELS","SEP 2019","2019","33","9","","","","7950","7970","","10.1021/acs.energyfuels.9b00182","","","21","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","6","3","5"
"Experimental and Theoretical Study on Supramolecular Ionic Liquid (IL)-Asphaltene Complex Interactions and Their Effects on the Flow Properties of Heavy Crude Oils","Hernandez-Bravo, R.; Miranda, A. D.; Martinez-Magadan, J. -M.; Dominguez, J. M.","","","","JOURNAL OF PHYSICAL CHEMISTRY B","APR 19 2018","2018","122","15","","","","4325","4335","","10.1021/acs.jpcb.8b01061","International Conference on NMR Spectroscopy of Biomolecules","APR 16-17, 2016","16","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4","2","3"
"Effect of the Antimicrobial Peptide Tritrpticin on the In Vitro Viability and Growth of Trichomonas vaginalis","Infante, Veronica V.; Miranda-Olvera, Alma D.; De Leon-Rodriguez, Luis M.; Anaya-Velazquez, Fernando; Rodriguez, Mayra C.; Avila, Eva E.","","","","CURRENT MICROBIOLOGY","JAN 2011","2011","62","1","","","","301","306","","10.1007/s00284-010-9709-z","","","15","1.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","2","1","2","1","1","1","1"
"Synthesis of oxytocin HYNIC derivatives as potential diagnostic agents for breast cancer","Miranda-Olvera, Alma D.; Ferro-Flores, Guillermina; Pedraza-Lopez, Martha; de Murphy, Consuelo Arteaga; De Leon-Rodriguez, Luis M.","","","","BIOCONJUGATE CHEMISTRY","SEP-OCT 2007","2007","18","5","","","","1560","1567","","10.1021/bc070047a","","","12","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","1","2","0","0","0","0","0","0","0","0","0","0","1"
"Experimental and theoretical study on the effectiveness of ionic liquids as corrosion inhibitors","Hernandez-Bravo, Raiza; Miranda, Alma D.; Parra, Jose G.; Alvarado-Orozco, Juan M.; Mujica, Vladimiro; Dominguez-Esquivel, Jose M.","","","","COMPUTATIONAL AND THEORETICAL CHEMISTRY","APR 2022","2022","1210","","","","","","","113640","10.1016/j.comptc.2022.113640","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3"
"Synthesis of symmetric ionic liquids and their evaluation of nonlinear optical properties","Lopez, Fabiola, I; Manuel Dominguez, Jose; Delia Miranda, Alma; Trejo-Duran, Monica; Alvarado-Mendez, Edgar; Vazquez, Miguel A.","","","","OPTICAL MATERIALS","OCT 2019","2019","96","","","","","","","109276","10.1016/j.optmat.2019.109276","","","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","2","0"
