Morales-Guadarrama, Axayacatl (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Functional recovery in spinal cord injured rats using polypyrrole/iodine implants and treadmill training","Alvarez-Mejia, Laura; Morales, Juan; Cruz, Guillermo J.; Olayo, Maria-Guadalupe; Olayo, Roberto; Diaz-Ruiz, Araceli; Rios, Camilo; Mondragon-Lozano, Rodrigo; Sanchez-Torres, Stephanie; Morales-Guadarrama, Axayacatl; Fabela-Sanchez, Omar; Salgado-Ceballos, Hermelinda","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","JUL 2015","2015","26","7","","","","","","209","10.1007/s10856-015-5541-0","","","29","2.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","2","5","4","4","4"
"Improved post-stroke spontaneous recovery by astrocytic extracellular vesicles","Heras-Romero, Yessica; Morales-Guadarrama, Axayacatl; Santana-Martinez, Ricardo; Ponce, Isaac; Rincon-Heredia, Ruth; Cesar Poot-Hernandez, Augusto; Martinez-Moreno, Araceli; Urrieta, Esteban; Bernal-Vicente, Berenice N.; Campero-Romero, Aura N.; Moreno-Castilla, Perla; Greig, Nigel H.; Escobar, Martha L.; Concha, Luis; Tovar-y-Romo, Luis B.","","","","MOLECULAR THERAPY","JAN 5 2022","2022","30","1","","","","798","815","","10.1016/j.ymthe.2021.09.023","","","19","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","9"
"Modeling the effects of biomass accumulation on the performance of a biotrickling filter packed with PUF support for the alkaline biotreatment of dimethyl disulfide vapors in air","Arellano-Garcia, Luis; Dorado, Antonio D.; Morales-Guadarrama, Axayacatl; Sacristan, Emilio; Gamisans, Xavier; Revah, Sergio","","","","APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","JAN 2015","2015","99","1","","","SI","97","107","","10.1007/s00253-014-5929-7","","","19","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","2","1","1","3","2","1","0"
"Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats","Fabela-Sanchez, Omar; Salgado-Ceballos, Hermelinda; Medina-Torres, Luis; Alvarez-Mejia, Laura; Sanchez-Torres, Stephany; Mondragon-Lozano, Rodrigo; Morales-Guadarrama, Axayacatl; Diaz-Ruiz, Araceli; Olayo, Maria-Guadalupe; Cruz, Guillermo J.; Morales, Juan; Rios, Camilo; Olayo, Roberto","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","JAN 2018","2018","29","1","","","","","","13","10.1007/s10856-017-6016-2","","","13","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","3","3"
"Recovery of motor function after traumatic spinal cord injury by using plasma-synthesized polypyrrole/iodine application in combination with a mixed rehabilitation scheme","Sanchez-Torres, Stephanie; Diaz-Ruiz, Araceli; Rios, Camilo; Olayo, Maria G.; Cruz, Guillermo J.; Olayo, Roberto; Morales, Juan; Mondragon-Lozano, Rodrigo; Fabela-Sanchez, Omar; Orozco-Barrios, Carlos; Coyoy-Salgado, Angelica; Orozco-Suarez, Sandra; Gonzalez-Ruiz, Cristian; alvarez-Mejia, Laura; Morales-Guadarrama, Axayacatl; Buzoianu-Anguiano, Vinnitsa; Damian-Matsumura, Pablo; Salgado-Ceballos, Hermelinda","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","JUN 30 2020","2020","31","7","","","","","","58","10.1007/s10856-020-06395-5","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","5"
"Delayed injection of polypyrrole doped with iodine particle suspension after spinal cord injury in rats improves functional recovery and decreased tissue damage evaluated by 3.0 Tesla in vivo magnetic resonance imaging","Mondragon-Lozano, Rodrigo; Rios, Camilo; Roldan-Valadez, Ernesto; Cruz, Guillermo J.; Olayo, Maria G.; Olayo, Roberto; Salgado-Ceballos, Hermelinda; Morales, Juan; Mendez-Armenta, Marisela; Alvarez-Mejia, Laura; Fabela, Omar; Morales-Guadarrama, Axayacatl; Sanchez-Torres, Stephanie; Diaz-Ruiz, Araceli","","","","SPINE JOURNAL","APR 2017","2017","17","4","","","","562","573","","10.1016/j.spinee.2016.02.012","","","11","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","1","1","3"
"Pyrrole Plasma Polymer-Coated Electrospun Scaffolds for Neural Tissue Engineering","Maria Osorio-Londono, Diana; Rafael Godinez-Fernandez, Jose; Cristina Acosta-Garcia, Ma; Morales-Corona, Juan; Olayo-Gonzalez, Roberto; Morales-Guadarrama, Axayacatl","","","","POLYMERS","NOV 2021","2021","13","22","","","","","","3876","10.3390/polym13223876","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","4"
"(-)-Epicatechin reduces muscle waste after complete spinal cord transection in a murine model: role of ubiquitin-proteasome system","Gonzalez-Ruiz, Cristian; Cordero-Anguiano, Paola; Morales-Guadarrama, Axayacatl; Mondragon-Lozano, Rodrigo; Sanchez-Torres, Stephanie; Salgado-Ceballos, Hermelinda; Villarreal, Francisco; Meaney, Eduardo; Ceballos, Guillermo; Najera, Nayelli","","","","MOLECULAR BIOLOGY REPORTS","NOV 2020","2020","47","11","","","","8975","8985","","10.1007/s11033-020-05954-x","","","6","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2"
"Assessment of the systemic distribution of a bioconjugated anti-Her2 magnetic nanoparticle in a breast cancer model by means of magnetic resonance imaging","Huerta-Nunez, L. F. E.; Cleva Villanueva-Lopez, G.; Morales-Guadarrama, A.; Soto, S.; Lopez, J.; Silva, J. G.; Perez-Vielma, N.; Sacristan, E.; Gudino-Zayas, Marco E.; Gonzalez, C. A.","","","","JOURNAL OF NANOPARTICLE RESEARCH","SEP 22 2016","2016","18","9","","","","","","284","10.1007/s11051-016-3594-8","","","6","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","0","1"
"Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging","Morales-Guadarrama, Axayacatl; Salgado-Ceballos, Hermelinda; Grijalva, Israel; Morales-Corona, Juan; Hernandez-Godinez, Braulio; Ibanez-Contreras, Alejandra; Rios, Camilo; Diaz-Ruiz, Araceli; Cruz, Guillermo Jesus; Olayo, Maria Guadalupe; Sanchez-Torres, Stephanie; Mondragon-Lozano, Rodrigo; Alvarez-Mejia, Laura; Fabela-Sanchez, Omar; Olayo, Roberto","","","","POLYMERS","MAR 2022","2022","14","5","","","","","","962","10.3390/polym14050962","","","5","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3"
