Neira-Velazquez, Maria Guadalupe (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Thermal Conductivity of Nanocomposites Based in High Density Polyethylene and Surface Modified Hexagonal Boron Nitride via Cold Ethylene Plasma","Borjas-Ramos, Jose J.; Ramos-de-Valle, Luis F.; Neira-Velazquez, Maria G.; Hernandez-Hernandez, Ernesto; Saucedo-Salazar, Esmeralda M.; Soria-Arguello, Gustavo","","","","PLASMA CHEMISTRY AND PLASMA PROCESSING","MAR 2018","2018","38","2","","","","429","441","","10.1007/s11090-017-9864-0","","","16","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","5","3","1"
"Surface Modification of Sodium Montmorillonite Nanoclay by Plasma Polymerization and Its Effect on the Properties of Polystyrene Nanocomposites","Idalia Narro-Cespedes, Rosa; Guadalupe Neira-Velazquez, Maria; Fernando Mora-Cortes, Luis; Hernandez-Hernandez, Ernesto; Oliva Castaneda-Facio, Adali; Cristina Ibarra-Alonso, Maria; Karina Reyes-Acosta, Yadira; Soria-Arguello, Gustavo; Javier Borjas-Ramos, Jose","","","","JOURNAL OF NANOMATERIALS","2018","2018","2018","","","","","","","2480798","10.1155/2018/2480798","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","2","0"
"Surface Modification of Carbon Nanofibers and Graphene Platelets Mixtures by Plasma Polymerization of Propylene","Andres Covarrubias-Gordillo, Carlos; Soriano-Corral, Florentino; Alberto Avila-Orta, Carlos; Javier Cruz-Delgado, Victor; Guadalupe Neira-Velazquez, Maria; Hernandez-Hernandez, Ernesto; Francisco Hernandez-Gamez, Jose; Adriana De Leon-Martinez, Patricia","","","","JOURNAL OF NANOMATERIALS","2017","2017","2017","","","","","","","4875319","10.1155/2017/4875319","","","8","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","1","1","1"
"Fully Bio-Based Elastomer Nanocomposites Comprising Polyfarnesene Reinforced with Plasma-Modified Cellulose Nanocrystals","Magana, Ilse; Georgouvelas, Dimitrios; Handa, Rishab; Neira Velazquez, Maria Guadalupe; Lopez Gonzalez, Hector Ricardo; Enriquez Medrano, Francisco Javier; Diaz de Leon, Ramon; Valencia, Luis","","","","POLYMERS","AUG 2021","2021","13","16","","","","","","2810","10.3390/polym13162810","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2"
"Vasorelaxant and Antioxidant Activity of Some Medicinal Plants from Campeche, Mexico","Aguirre Crespo, Francisco Javier; Cerino Perez, Elias; Valdovinos Estrella, Janice D. G.; Maldonado Velazquez, Maria G.; Ortega Morales, Benjamin O.; Zamora Crecencio, Pedro; Hernandez Nunez, Emanuel; Estrada Soto, Samuel E.","","","","PHARMACOGNOSY MAGAZINE","JAN-MAR 2021","2021","17","73","","","","23","30","","10.4103/pm.pm_291_20","","","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Thermal conductivity of high density polyethylene: Cold plasma modified graphite composites","Ramos-de Valle, Luis F.; Neira-Velazquez, Maria G.; Borjas-Ramos, Jose J.; Moggio, Ivana; Arias, Eduardo; Gallardo-Vega, Carlos A.; Soriano-Corral, Florentino; Soria-Arguello, Gustavo; Ramirez-Vargas, Eduardo; Sanchez-Valdes, Saul; Espinoza-Martinez, Adriana B.; Hernandez-Hernandez, Ernesto; Narro-Cespedes, Rosa, I","","","","POLYMER COMPOSITES","NOV 2019","2019","40","11","","","","4228","4237","","10.1002/pc.25283","","","3","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0"
"Carbon nanostructures synthesis by catalyst-free atmospheric pressure plasma jet","Neira-Velazquez, Maria Guadalupe; Ku-Herrera, Jose de Jesus; Narro-Cespedes, Rosa Idalia; Flores-Villasenor, Sergio Enrique; Cortez-Garza, Yuvicela Leticia; Cuellar-Gaona, Claudia Gabriela; Soria-Arguello, Gustavo","","","","JOURNAL OF PHYSICS D-APPLIED PHYSICS","AUG 9 2024","2024","57","31","","","","","","315302","10.1088/1361-6463/ad44a6","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Minimum inhibitory but maximum non-hemolytic concentration of plasma-treated catheters coated with <i>L. tridentata</i> and <i>O. vulgare</i> extracts","Alonso-montemayor, Francisco Javier; Davila-medina, Miriam Desiree; Zugasti-cruz, Alejandro; Narro-cespedes, Rosa Idalia; Neira-velazquez, Maria Guadalupe; Saenz-galindo, Aide; Alonso-campos, Eduardo","","","","PLASMA SCIENCE & TECHNOLOGY","DEC 1 2023","2023","25","12","","","","","","125503","10.1088/2058-6272/ace955","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Preparation and evaluation of (R)-(-)-carvone-doped polymeric resins as potential antibacterial dental materials","Martinez-Ruiz, Erick Osvaldo; Gonzalez-Lopez, Jose Abraham; Ledezma-Perez, Antonio Serguei; Espinosa-Neira, Roberto; Betancourt-Galindo, Rebeca; Guadalupe Neira-Velazquez, Maria; Trevino-Martinez, Maria Esther","","","","JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS","NOV 2023","2023","147","","","","","","","106108","10.1016/j.jmbbm.2023.106108","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Obtaining and characterization of bioplastics based on potato starch, aloe, and graphene","Pacheco, Mercedes Puca; Gemez, Oscar Rafael Tinoco; Escamilla, Gonzalo Canche; Aranda, Santiago Duarte; Velazquez, Maria Guadalupe Neira","","","","POLIMEROS-CIENCIA E TECNOLOGIA","2022","2022","32","4","","","","","","e2022037","10.1590/0104-1428.20220084","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PLASMA MODIFICATION AND DISPERSION OF MULTIWALLED CARBON NANOTUBES (MWCNT) IN HIGH IMPACT POLYSTYRENE BASED NANOCOMPOSITES: ANALYSIS BY ELECTRON MICROSCOPY (TEM AND SEM)","Diaz Barriga-Castro, E.; Zertuche-Martinez, S. A.; Castaneda-Facio, A. O.; Cepeda-Garza, J. A.; Neira-Velazquez, M. G.; Diaz De Leon-Gomeza, R.; Soriano-Corral, F.","","","","ACTA MICROSCOPICA","2014","2014","23","3","","","","168","175","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
