Orrantia-Borunda, E. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"TEM evidence of ultrastructural alteration on <i>Pseudomonas aeruginosa</i> by photocatalytic TiO<sub>2</sub> thin films","Amézaga-Madrid, P; Silveyra-Morales, R; Córdoba-Fierro, L; Nevárez-Moorillón, GV; Miki-Yoshida, M; Orrantia-Borunda, E; Solís, FJ","","","","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY","APR 2003","2003","70","1","","","","45","50","","10.1016/S1011-1344(03)00054-X","","","98","4.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","8","4","6","5","6","9","5","8","8","8","5","5","1","5","7","1","1","1"
"Photoinduced bactericidal activity against <i>Pseudomonas aeruginosa</i> by TiO<sub>2</sub> based thin films","Amézaga-Madrid, P; Nevárez-Moorillón, GV; Orrantia-Borunda, E; Miki-Yoshida, M","","","","FEMS MICROBIOLOGY LETTERS","JUN 4 2002","2002","211","2","","","","183","188","PII S0378-1097(02)00686-9","10.1016/S0378-1097(02)00686-9","","","69","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","3","9","1","4","9","3","4","6","5","2","2","2","2","0","3","3","0","2","0"
"Cytotoxicity of functionalized carbon nanotubes in J774A macrophages","Lorena Montes-Fonseca, Silvia; Orrantia-Borunda, Erasmo; Aguilar-Elguezabal, Alfredo; Gonzalez Horta, Carmen; Talamas-Rohana, Patricia; Sanchez-Ramirez, Blanca","","","","NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE","AUG 2012","2012","8","6","","","","853","859","","10.1016/j.nano.2011.10.002","","","41","3.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","6","4","5","1","1","4","4","2","3","1"
"Antimicrobial Resistance and Inorganic Nanoparticles","Balderrama-Gonzalez, Andrea-Sarahi; Pinon-Castillo, Hilda-Amelia; Ramirez-Valdespino, Claudia-Adriana; Landeros-Martinez, Linda-Lucila; Orrantia-Borunda, Erasmo; Esparza-Ponce, Hilda-Esperanza","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","DEC 2021","2021","22","23","","","","","","12890","10.3390/ijms222312890","","","39","9.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","11","16"
"Size effect of SnO<sub>2</sub> nanoparticles on bacteria toxicity and their membrane damage","Chavez-Calderon, Adriana; Paraguay-Delgado, Francisco; Orrantia-Borunda, Erasmo; Luna-Velasco, Antonia","","","","CHEMOSPHERE","DEC 2016","2016","165","","","","","33","40","","10.1016/j.chemosphere.2016.09.003","","","37","4.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","10","7","6","3","2","1","4"
"Effect of CuO Nanoparticles over Isolated Bacterial Strains from Agricultural Soil","Concha-Guerrero, Sandra I.; Souza Brito, Elcia Margareth; Pinon-Castillo, Hilda A.; Tarango-Rivero, S. H.; Caretta, Cesar A.; Luna-Velasco, Antonia; Duran, Robert; Orrantia-Borunda, Erasmo","","","","JOURNAL OF NANOMATERIALS","2014","2014","2014","","","","","","","148743","10.1155/2014/148743","","","37","3.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","5","2","4","11","3","2","4"
"Arsenic removal and activity of a sulfate reducing bacteria-enriched anaerobic sludge using zero valent iron as electron donor","Lidia Zacarias-Estrada, Olga; Ballinas-Casarrubias, Lourdes; Elena Montero-Cabrera, Maria; Loredo-Portales, Rene; Orrantia-Borunda, Erasmo; Luna-Velasco, Antonia","","","","JOURNAL OF HAZARDOUS MATERIALS","FEB 15 2020","2020","384","","","","","","","121392","10.1016/j.jhazmat.2019.121392","","","31","6.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","6","8","5"
"Bio-collector alternative for the recovery of organic matter in flotation processes","Ramos-Escobedo, G. T.; Pecina-Trevino, E. T.; Bueno Tokunaga, A.; Concha-Guerrero, S. I.; Ramos-Lico, D.; Guerra-Balderrama, R.; Orrantia-Borunda, E.","","","","FUEL","JUL 15 2016","2016","176","","","","","165","172","","10.1016/j.fuel.2016.02.018","","","25","2.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","4","2","6","6","0"
"Synthesis, biocompatibility and mechanical properties of ZrO<sub>2</sub>-Al<sub>2</sub>O<sub>3</sub> ceramics composites","Nevarez-Rascon, Alfredo; Gonzalez-Lopez, Santiago; Susana Acosta-Torres, Laura; Margarita Nevarez-Rascon, Martina; Orrantia-Borunda, Erasmo","","","","DENTAL MATERIALS JOURNAL","JUN 2016","2016","35","3","","","","392","398","","10.4012/dmj.2015-028","","","22","2.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","4","5","2","4","1"
"Cell wall damage and oxidative stress in <i>Candida albicans</i> ATCC10231 and <i>Aspergillus niger</i> caused by palladium nanoparticles","Samira Athie-Garcia, Martha; Amelia Pinon-Castillo, Hilda; Nayzzel Munoz-Castellanos, Laila; Laura Ulloa-Ogaz, Ana; Ivonne Martinez-Varela, Perla; Quintero-Ramos, Armando; Duran, Robert; Guadalupe Murillo-Ramirez, Jose; Orrantia-Borunda, Erasmo","","","","TOXICOLOGY IN VITRO","APR 2018","2018","48","","","","","111","120","","10.1016/j.tiv.2018.01.006","","","21","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","4","4","1"
