Pacheco, Joel (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Analysis and electrical modelling of a cylindrical DBD configuration at different operating frequencies","Valdivia-Barrientos, R.; Pacheco-Sotelo, J.; Pacheco-Pacheco, M.; Benitez-Read, J. S.; Lopez-Callejas, R.","","","","PLASMA SOURCES SCIENCE & TECHNOLOGY","MAY 2006","2006","15","2","","","","237","245","","10.1088/0963-0252/15/2/008","","","94","4.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","4","3","6","2","5","7","8","7","6","9","6","5","9","7","3"
"Modeling and experimental study on nitric oxide treatment using dielectric barrier discharge","Moreno Saavedra, Hilda; Pacheco Pacheco, Marquidia; Pacheco-Sotelo, Joel Osbaldo; Torres Reyes, Carlos Eduardo; Diaz Gomez, Juan Antonio","","","","IEEE TRANSACTIONS ON PLASMA SCIENCE","OCT 2007","2007","35","5","2","","","1533","1540","","10.1109/TPS.2007.905951","","","48","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","5","4","2","3","6","7","2","5","3","1","1","1","1"
"A high voltage resonant inverter for dielectric discharge barrier cell plasma applications","Godoy-Cabrera, O; Benítez-Read, JS; López-Callejas, R; Pacheco-Sotelo, J","","","","INTERNATIONAL JOURNAL OF ELECTRONICS","MAR 2000","2000","87","3","","","","361","376","","10.1080/002072100132255","","","33","1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","4","2","4","3","3","3","0","1","0","0","2","0","0","2","0","0","0","0","0"
"An RF microplasma facility development for medical applications","Perez-Martinez, J. A.; Pena-Eguiluz, R.; Lopez-Callejas, R.; Mercado-Cabrera, A.; Valencia, R. A.; Barocio, S. R.; Benitez-Read, J. S.; Pacheco-Sotelo, J. O.","","","","SURFACE & COATINGS TECHNOLOGY","FEB 26 2007","2007","201","9-11","","","","5684","5687","","10.1016/j.surfcoat.2006.07.056","5th Asian/European International Conference on Plasma Surface Engineering","SEP 12-16, 2005","18","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","1","2","1","2","0","0","1","0","1","0","2","1","0","0"
"Greenhouse gas treatment and H<sub>2</sub> production, by warm plasma reforming","Pacheco, J.; Soria, G.; Pacheco, M.; Valdivia, R.; Ramos, F.; Frias, H.; Duran, M.; Hidalgo, M.","","","","INTERNATIONAL JOURNAL OF HYDROGEN ENERGY","DEC 28 2015","2015","40","48","","","SI","17165","17171","","10.1016/j.ijhydene.2015.08.062","14th International Congress of the Mexican-Hydrogen-Society - Hydrogen Technologies - Nanostructured Materials and Energy Systems for Sustainable Future","SEP 30-OCT 04, 2014","16","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","6","0","2","2","1","0","2"
"A novel application of a PIN diode-preamplifier set for the measurement of charged particles","Ramírez-Jiménez, FJ; Aguilera, EF; López-Callejas, R; Benítez-Read, JS; Pacheco-Sotelo, J","","","","NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT","JUN 21 2005","2005","545","3","","","","721","726","","10.1016/j.nima.2005.02.017","","","16","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","1","3","0","1","1","1","1","1","0","0","0","1","0"
"A universal resonant converter for equilibrium and nonequilibrium plasma discharges","Pacheco-Sotelo, JO; Barrientos, RV; Pacheco-Pacheco, M; Floies, JFR; García, MAD; Benitez-Read, JS; Peña-Eguiluz, R; López-Callejas, R","","","","IEEE TRANSACTIONS ON PLASMA SCIENCE","OCT 2004","2004","32","5","2","","","2105","2112","","10.1109/TPS.2004.835968","","","14","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","1","0","2","0","1","2","0","0","1","1","0","0","0","0","0"
"DBD-corona discharge for degradation of toxic gases","Pacheco-Pacheco, M.; Pacheco-Sotelo, J.; Moreno-Saavedra, H.; Diaz-Gomez, J. A.; Mercado-Cabrera, A.; Yousfi, M.","","","","PLASMA SCIENCE & TECHNOLOGY","DEC 2007","2007","9","6","","","","682","685","","10.1088/1009-0630/9/6/09","","","10","0.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","3","0","0","0","1","0","1","1","0","0"
"Hydrogen production from methane conversion in a gliding arc","Garduno, M.; Pacheco, Marquidia; Pacheco, Joel; Valdivia, Ricardo; Santana, Alfredo; Lefort, Benoite; Estrada, Nadia; Rivera-Rodriguez, C.","","","","JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY","MAR 1 2012","2012","4","2","","","","","","021202","10.1063/1.3663876","10th International Congress of the Mexican-Society-of-Hydrogen-Renewable Energies","SEP 27-OCT 01, 2010","9","0.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","1","0","0","1","1","2"
"Instrumentation for pulsed corona discharge generation applied to water","Gonzalo Rodriguez-Mendez, Benjamin; Lopez-Callejas, Regulo; Pena-Eguiluz, Rosendo; Mercado-Cabrera, Antonio; Valencia Alvarado, Raul; Barocio, Samuel R.; de la Piedad-Beneitez, Anibal; Benitez-Read, Jorge S.; Pacheco-Sotelo, Joel O.","","","","IEEE TRANSACTIONS ON PLASMA SCIENCE","FEB 2008","2008","36","1","2","","","185","191","","10.1109/TPS.2007.914463","","","9","0.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","1","1","1","0","0","0","0","0","0","0"
