Palomeque-Santiago, J. F. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Influence of the coordination on the catalytic properties of supported W catalysts","Figueras, F; Palomeque, J; Loridant, S; Fèche, C; Essayem, N; Gelbard, G","","","","JOURNAL OF CATALYSIS","AUG 15 2004","2004","226","1","","","","25","31","","10.1016/j.jcat.2004.05.006","","","102","4.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","10","4","5","9","6","4","8","6","9","4","4","3","5","4","4","4","2"
"Oxidation of dibenzothiophene by hydrogen peroxide catalyzed by solid bases","Palomeque, J; Clacens, JM; Figueras, F","","","","JOURNAL OF CATALYSIS","OCT 1 2002","2002","211","1","","","","103","108","","10.1006/jcat.2002.3721","","","82","3.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","8","6","7","7","6","8","5","3","6","0","1","2","3","1","2","1","3","1","1"
"Deep oxidative desulfurization with simultaneous oxidative denitrogenation of diesel fuel and straight run gas oil","Palomeque-Santiago, Jorge F.; Lopez-Medina, Ricardo; Oviedo-Roa, Raul; Navarrete-Bolanos, Juan; Mora-Vallejo, Rodolfo; Ascencion Montoya-de la Fuente, J.; Manuel Martinez-Magadan, Jose","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","NOV 15 2018","2018","236","","","","","326","337","","10.1016/j.apcatb.2018.04.079","","","71","10.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","14","13","12","11","3"
"Isophorone isomerization as model reaction for the characterization of solid bases: Application to the determination of the number of sites","Figueras, F; Lopez, J; Sanchez-Valente, J; Vu, TTH; Clacens, JM; Palomeque, J","","","","JOURNAL OF CATALYSIS","OCT 1 2002","2002","211","1","","","","144","149","","10.1006/jcat.2002.3743","","","45","1.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","2","3","1","3","2","4","3","5","0","2","3","1","0","1","0","1","1","3","1"
"Epoxydation of activated olefins by solid bases","Palomeque, J; Lopez, J; Figueras, F","","","","JOURNAL OF CATALYSIS","OCT 1 2002","2002","211","1","","","","150","156","","10.1006/jcat.2002.3706","","","36","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","2","2","3","1","5","3","1","2","1","1","1","2","0","1","0","0","3","0","1"
"Ionic liquids screening for desulfurization of natural gasoline by liquid-liquid extraction","Likhanova, Natalya V.; Guzman-Lucero, Diego; Flores, Eugenio A.; Garcia, Paloma; Dominguez-Aguilar, Marco A.; Palomeque, Jorge; Martinez-Palou, Rafael","","","","MOLECULAR DIVERSITY","NOV 2010","2010","14","4","","","","777","787","","10.1007/s11030-009-9217-x","","","30","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","5","3","3","4","1","1","0","2","0","2","1"
"Epoxidation with hydrotalcite-intercalated organotungstic complexes","Palomeque, J; Figueras, F; Gelbard, G","","","","APPLIED CATALYSIS A-GENERAL","JAN 26 2006","2006","300","2","","","","100","108","","10.1016/j.apcata.2005.10.037","","","28","1.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","2","3","0","1","1","1","1","2","3","0","1","3","1","1","0","1"
"Gas Permeation Properties of Soluble Aromatic Polyimides Based on 4-Fluoro-4,4'-Diaminotriphenylmethane","Guzman-Lucero, Diego; Froylan Palomeque-Santiago, Jorge; Camacho-Zuniga, Claudia; Alberto Ruiz-Trevino, Francisco; Guzman, Javier; Galicia-Aguilar, Alberto; Aguilar-Lugo, Carla","","","","MATERIALS","APR 2015","2015","8","4","","","","1951","1965","","10.3390/ma8041951","","","27","2.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","7","10","4","1","0","1","1"
"Basic properties of MgLaO mixed oxides as determined by microcalorimetry and kinetics","Desmartin-Chomel, A.; Hamad, B.; Palomeque, J.; Essayem, N.; Bergeret, G.; Figueras, F.","","","","CATALYSIS TODAY","JUL 1 2010","2010","152","1-4","","","SI","110","114","","10.1016/j.cattod.2009.10.020","6th World Congress on Catalysis by Acids and Bases","MAY 10-14, 2009","24","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","3","2","4","0","3","1","2","0","1","0","1"
"Parallel Microwave-Assisted Synthesis of Ionic Liquids and Screening for Denitrogenation of Straight-Run Diesel Feed by Liquid-Liquid Extraction","Ceron, Miguel A.; Guzman-Lucero, Diego J.; Palomeque, Jorge F.; Martinez-Palou, Rafael","","","","COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING","JUN 2012","2012","15","5","","","","427","432","","","","","11","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","1","2","1","1","0","0","0","0","0"
