Paz-Michel, Brenda Astrid (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Safety and efficacy of a COVID-19 treatment with nebulized and/or intravenous neutral electrolyzed saline combined with usual medical care vs. usual medical care alone: A randomized, open-label, controlled trial","Delgado-Enciso, Ivan; Paz-Garcia, Juan; Barajas-Sauced, Carlos E.; Mokay-Ramirez, Karin A.; Meza-Robles, Carmen; Lopez-Flores, Rodrigo; Dllgado-Machuca, Niarina; Murillo-Zamora, Efren; Toscano-Velazquez, Jose A.; Delgado-Enciso, Josuel; Melnikov, Valery; Walle-Guillen, Mireya; Galvan-Salazar, Hector R.; Delgado-Enciso, Osiris G.; Cabrera-Licona, Ariana; Danielewicz-Mata, Fdi Tardo J.; Mandujano-Diaz, Pablo J.; Guzman-Esquivel, Jose; Montes-Galindo, Daniel A.; Perez-Martinez, Henry; Jimenez-Villegaz, Jesus M.; Hernandez-Rangel, Alejandra E.; Montes-Diaz, Patricia; Rodrigulz-Sanchez, Iram P.; Martinez-Fierr, Margarita L.; Garza-Veloz, Idalia; Tiburcio-Jimenez, Daniel; Zaizar-Fregos, Sergio A.; Gonzalez-Alcaraz, Fidadaelfo; Gutierrez-Gutierrez, Laydi; Diaz-Lopez, Luciano; Ramirez-Flores, Mario; Guzman-Solorzano, Hannah P.; Gaytan-Sandoval, Gustavo; Martinez-Perez, Carlos R.; Espinoza-Gomez, Francisco; Rojas-Larios, Fabian; Hirsch-Meillon, Michael J.; Baltazar-Rodriguez, Luz M.; Barrios-Navarro, Enrique; Oviedo-Rodriguez, Vladimir; Mendoza-Hernandez, Martha A.; Prieto-Diaz-Chavez, Emilio; Paz-Michel, Brenda A.","","","","EXPERIMENTAL AND THERAPEUTIC MEDICINE","SEP 2021","2021","22","3","","","","","","915","10.3892/etm.2021.10347","","","16","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","5"
"Versatile Chemistry of Butadienesulfinate Salts with (Cp*RuCl)<sub>4</sub>: Tetrameric, Allylsulfene, and Ion-Pair Ruthenium Compounds","Paz-Michel, Brenda A.; Gonzalez-Bravo, Felipe J.; Hernandez-Munoz, Lindsay S.; Guzei, Ilia A.; Angeles Paz-Sandoval, M.","","","","ORGANOMETALLICS","SEP 13 2010","2010","29","17","","","","3694","3708","","10.1021/om901107n","","","12","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","2","2","0","2","0","0","0","0","2"
"Chemistry of Butadienesulfinate Salts with (Cp*RhCl<sub>2</sub>)<sub>2</sub> and the Reactivity of Their Derivatives with Tertiary Phosphines","Paz-Michel, Brenda A.; Gonzalez-Bravo, Felipe J.; Hernandez-Munoz, Lindsay S.; Angeles Paz-Sandoval, M.","","","","ORGANOMETALLICS","SEP 13 2010","2010","29","17","","","","3709","3721","","10.1021/om901108y","","","12","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","3","2","2","0","1","0","0","0","0","1"
"Clinical Characteristics in the Acute Phase of COVID-19 That Predict Long COVID: Tachycardia, Myalgias, Severity, and Use of Antibiotics as Main Risk Factors, While Education and Blood Group B Are Protective","Guzman-Esquivel, Jose; Mendoza-Hernandez, Martha A.; Guzman-Solorzano, Hannah P.; Sarmiento-Hernandez, Karla A.; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Paz-Michel, Brenda A.; Murillo-Zamora, Efren; Rojas-Larios, Fabian; Lugo-Trampe, Angel; Plata-Florenzano, Jorge E.; Delgado-Machuca, Marina; Delgado-Enciso, Ivan","","","","HEALTHCARE","JAN 2023","2023","11","2","","","","","","197","10.3390/healthcare11020197","","","9","4.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4"
"Efficacy of the use of mefenamic acid combined with standard medical care vs. standard medical care alone for the treatment of COVID-19: A randomized double-blind placebo-controlled trial","Guzman-Esquivel, Jose; Galvan-Salazar, Hector R.; Guzman-Solorzano, Hannah P.; Cuevas-Velazquez, Andrea C.; Guzman-Solorzano, Jose A.; Mokay-Ramirez, Karen A.; Paz-Michel, Brenda A.; Murillo-Zamora, Efren; Delgado-Enciso, Josuel; Melnikov, Valery; Delgado-Enciso, Osiris G.; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Rojas-Larios, Fabian; Walle-Guillen, Mireya; Cardenas-Aguilar, Citlaly B.; Beas-Guzman, Oscar; Chaviano-Conesa, Daniel; Garcia-Garcia, Hossana S.; Delgado-Enciso, Ivan","","","","INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE","MAR 2022","2022","49","3","","","","","","29","10.3892/ijmm.2022.5084","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3"
"Nasopharyngeal and oropharyngeal rinses with neutral electrolyzed water prevents COVID-19 in front-line health professionals: A randomized, open-label, controlled trial in a general hospital in Mexico City","Gutierrez-Garcia, Rafael; De La Cerda-Angeles, Juan C.; Cabrera-Licona, Ariana; Delgado-Enciso, Ivan; Mervitch-Sigal, Nicolas; Paz-Michel, Brenda A.","","","","BIOMEDICAL REPORTS","FEB 2022","2022","16","2","","","","","","11","10.3892/br.2021.1494","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","1"
"Improve cognitive impairment using mefenamic acid non-steroidal anti-inflammatory therapy: additional beneficial effect found in a controlled clinical trial for prostate cancer therapy","Melnikov, Valery; Tiburcio-Jimenez, Daniel; Mendoza-Hernandez, Martha A.; Delgado-Enciso, Josuel; De-Leon-Zaragoza, Luis; Guzman-Esquivel, Jose; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Lara-Esqueda, Agustin; Delgado-Enciso, Osiris G.; Jacinto-Cortes, Ivan; Zaizar-Fregoso, Sergio A.; Paz-Michel, Brenda A.; Murillo-Zamora, Efren; Delgado-Enciso, Ivan; Galvan-Salazar, Hector R.","","","","AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH","2021","2021","13","5","","","","4535","4543","","","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3"
"Addition reactions of Cp*Ru(1-5-h-CH<sub>2</sub>CHCRCHSO<sub>2</sub>) (R = H, Me) with carbon monoxide, phosphorus, sulfur and nitrogen ligands: Spectroscopic and structural characterization of Cp*Ru(1-2,5-η-butadienesulfonyl)(L)","Astrid Paz-Michel, Brenda; Ignacio de la Cruz-Cruz, Jose; Juarez-Saavedra, Patricia; Leyva-Ramirez, Marco A.; Angeles Paz-Sandoval, M.","","","","JOURNAL OF ORGANOMETALLIC CHEMISTRY","NOV 1 2016","2016","822","","","","","196","210","","10.1016/j.jorganchem.2016.08.033","","","5","0.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1"
"Systemic Administration of Neutral Electrolyzed Saline as a Novel Treatment for Rheumatoid Arthritis Reduces Mechanical and Inflammatory Damage to the Joints: Preclinical Evaluation in Mice","Zaizar-Fregoso, Sergio A.; Paz-Michel, Brenda A.; Rodriguez-Hernandez, Alejandrina; Paz-Garcia, Juan; Aurelien-Cabezas, Nomely S.; Tiburcio-Jimenez, Daniel; Melnikov, Valery; Murillo-Zamora, Efren; Delgado-Enciso, Osiris G.; Cabrera-Licona, Ariana; Guzman-Esquivel, Jose; Barajas-Saucedo, Carlos E.; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Moy-Lopez, Norma A.; Lara-Esqueda, Agustin; Guzman-Muniz, Jorge; Delgado-Machuca, Marina; Delgado-Enciso, Ivan","","","","EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE","JUN 2 2022","2022","2022","","","","","","","1717614","10.1155/2022/1717614","","","4","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1"
"Protective Effect of Neutral Electrolyzed Saline on Gentamicin-Induced Nephrotoxicity: Evaluation of Histopathologic Parameters in a Murine Model","Aurelien-Cabezas, Nomely S.; Paz-Michel, Brenda A.; Jacinto-Cortes, Ivan; Delgado-Enciso, Osiris G.; Montes-Galindo, Daniel A.; Cabrera-Licona, Ariana; Zaizar-Fregoso, Sergio A.; Paz-Garcia, Juan; Ceja-Espiritu, Gabriel; Melnikov, Valery; Guzman-Esquivel, Jose; Rodriguez-Sanchez, Iram P.; Martinez-Fierro, Margarita L.; Delgado-Enciso, Ivan","","","","MEDICINA-LITHUANIA","FEB 2023","2023","59","2","","","","","","397","10.3390/medicina59020397","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
