Elizabeth Percino-Zacarias, Maria (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Algorithm for Ronchigram recovery with random aberrations coefficients","Aguirre-Aguirre, Daniel; Izazaga-Perez, Rafael; Granados-Agustin, Fermin S.; Villalobos-Mendoza, Brenda; Percino-Zacarias, Maria E.; Cornejo-Rodriguez, Alejandro","","","","OPTICAL ENGINEERING","MAY 2013","2013","52","5","","","","","","053606","10.1117/1.OE.52.5.053606","","","12","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","1","1","2","0","1","0","0","1"
"Simulation algorithm for ronchigrams of spherical and aspherical surfaces, with the lateral shear interferometry formalism","Aguirre-Aguirre, Daniel; Izazaga-Perez, Rafael; Elizabeth Percino-Zacarias, Maria; Granados-Agustin, Fermin; Cornejo-Rodriguez, Alejandro","","","","OPTICAL REVIEW","MAY 2013","2013","20","3","","","","271","276","","10.1007/s10043-013-0049-7","","","9","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","0","1"
"Substructured Ronchi gratings from the linear combination of classical gratings","Aguirre-Aguirre, Daniel; Villalobos-Mendoza, Brenda; Granados-Agustin, Fermin S.; Izazaga-Perez, Rafael; Campos-Garcia, Manuel; Percino-Zacarias, Maria Elizabeth; Cornejo-Rodriguez, Alejandro","","","","OPTICAL ENGINEERING","NOV 2014","2014","53","11","","","","","","114111","10.1117/1.OE.53.11.114111","","","4","0.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2"
"Off-axis mirror fabrication from spherical surfaces under mechanical stress","Izazaga-Perez, R.; Aguirre-Aguirre, D.; Percino-Zacarias, M. E.; Granados-Agustin, F. S.","","","Bentley, JL; Pfaff, M","OPTIFAB 2013","2013","2013","8884","","","","","","","888423","10.1117/12.2028078","Conference on Optifab","OCT 14-17, 2013","4","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0"
"A simple device for sub-aperture stitching of fast convex surfaces","Aguirre-Aguirre, D.; Izazaga-Perez, R.; Villalobos-Mendoza, B.; Carrasco-Licea, E.; Granados-Agustin, F. S.; Percino-Zacarias, M. E.; Salazar-Morales, M. F.; Cruz-Zavala, E.","","","Bentley, JL; Stoebenau, S","OPTIFAB 2015","2015","2015","9633","","","","","","","96331P","10.1117/12.2195947","Conference on Optifab","OCT 12-15, 2015","2","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Cutting and shaping operations for optical glasses","Izazaga-Perez, R.; Aguirre-Aguirre, D.; Carrasco-Licea, E.; Percino-Zacarias, M. E.; Granados-Agustin, F. S.; Villalobos-Mendoza, B.; Lopez-Hernandez, N.; Lopez-Cortes, V.; Quechol-Lopez, J. T.","MEGARA Team","","Bentley, JL; Stoebenau, S","OPTIFAB 2015","2015","2015","9633","","","","","","","963324","10.1117/12.2195948","Conference on Optifab","OCT 12-15, 2015","2","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"Interferometric measurement of local radii of curvature for aspheric surface using a PDI","Elizabeth Percino-Zacarias, Maria; Granados-Agustin, Fermin-Salomon; Aguirre-Aguirre, Daniel; Villalobos-Mendoza, Brenda; Cornejo-Rodriguez, Alejandro","","","Lehmann, P; Osten, W; Goncalves, AA","OPTICAL MEASUREMENT SYSTEMS FOR INDUSTRIAL INSPECTION XI","2019","2019","11056","","","","","","","UNSP 110561O","10.1117/12.2527556","Conference on Optical Measurement Systems for Industrial Inspection XI held at SPIE Optical Metrology Symposium","JUN 24-27, 2019","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"New Technique of Segments Alignment in a Large Dimensions Mirror","Granados-Agustin, Fermin S.; Percino-Zacarias, Maria E.; Vazquez y Montiel, Sergio; Cornejo-Rodriguez, Alejandro","","","Sasian, J; Youngworth, RN","OPTICAL SYSTEM ALIGNMENT, TOLERANCING, AND VERIFICATION XII","2018","2018","10747","","","","","","","UNSP 1074705","10.1117/12.2320802","12th Conference on Optical System Alignment, Tolerancing, and Verification","AUG 19-20, 2018","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Characterization of the microlithography and mercury drop methods to generate PDI's","Zenteno-Hernandez, J. A.; Granados-Agustin, F. S.; Aguirre-Aguirre, D.; Villalobos-Mendoza, B.; Percino-Zacarias, M. E.; Rosales-Quintero, P.; Cornejo-Rodriguez, A.","","","Williamson, R; Kim, DW; Rascher, R","OPTICAL MANUFACTURING AND TESTING XII","2018","2018","10742","","","","","","","UNSP 107421E","10.1117/12.2320812","Conference on Optical Manufacturing and Testing XII","AUG 20-22, 2018","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Accuracy of the ReRRCA algorithm using the Ronchi test","Aguirre-Aguirre, D.; Granados-Agustin, F. S.; Villalobos-Mendoza, B.; Percino-Zacarias, M. E.; Cornejo-Rodriguez, A.","","","Delplancke, F; Rajagopal, JK; Malbet, F","OPTICAL AND INFRARED INTERFEROMETRY III","2012","2012","8445","","","","","","","84452B","10.1117/12.927232","Conference on Optical and Infrared Interferometry III","JUL 01-06, 2012","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
