Perera-Mercado, Yibran (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Preparation of spherical MCM-41 molecular sieve at room temperature: Influence of the synthesis conditions in the structural properties","Melendez-Ortiz, H. I.; Garcia-Cerda, L. A.; Olivares-Maldonado, Y.; Castruita, G.; Mercado-Silva, J. A.; Perera-Mercado, Y. A.","","","","CERAMICS INTERNATIONAL","DEC 2012","2012","38","8","","","","6353","6358","","10.1016/j.ceramint.2012.05.007","","","73","5.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","8","6","6","7","11","7","8","4","6","2"
"Functionalization with amine-containing organosilane of mesoporous silica MCM-41 and MCM-48 obtained at room temperature","Ivan Melendez-Ortiz, Hector; Perera-Mercado, Yibran; Alfonso Mercado-Silva, Jesus; Olivares-Maldonado, Yeraldin; Castruita, Griselda; Alfonso Garcia-Cerda, Luis","","","","CERAMICS INTERNATIONAL","AUG 2014","2014","40","7","A","","","9701","9707","","10.1016/j.ceramint.2014.02.051","","","47","4.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","4","2","8","4","7","6","4","2"
"Hydrothermal Synthesis of Mesoporous Silica MCM-41 Using Commercial Sodium Silicate","Ivan Melendez-Ortiz, Hector; Mercado-Silva, Alfonso; Alfonso Garcia-Cerda, Luis; Castruita, Griselda; Argenis Perera-Mercado, Yibran","","","","JOURNAL OF THE MEXICAN CHEMICAL SOCIETY","APR-JUN 2013","2013","57","2","","","","73","79","","","","","40","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","7","3","5","5","5","6","4","1"
"Synthesis of amino-functionalized MCM-48 silica via direct co-condensation at room temperature","Castruita-de Leon, Griselda; Argenis Perera-Mercado, Yibran; Alfonso Garcia-Cerda, Luis; Alfonso Mercado-Silva, Jesus; Ivan Melendez-Ortiz, Hector; Olivares-Maldonado, Yeraldin; Alvarez-Contreras, Lorena","","","","MICROPOROUS AND MESOPOROUS MATERIALS","MAR 1 2015","2015","204","","","","","156","162","","10.1016/j.micromeso.2014.11.023","","","24","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","4","2","1","2","2","2"
"Na<SUP>+</SUP>/Ca<SUP>2+</SUP> aqueous ion exchange in natural clinoptilolite zeolite for polymer-zeolite composite membranes production and their CH<sub>4</sub>/CO<sub>2</sub>/N<sub>2</sub> separation performance","Montes Luna, Angel de J.; Castruita de Leon, Griselda; Garcia Rodriguez, Sandra P.; Fuentes Lopez, Nidia C.; Perez Camacho, Odilia; Mercado, Yibran A. Perera","","","","JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING","JUN 2018","2018","54","","","","","47","53","","10.1016/j.jngse.2018.03.007","","","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","7","3","4","0"
"Influence of the reaction conditions on the thermal stability of mesoporous MCM-48 silica obtained at room temperature","Melendez-Ortiz, H. I.; Perera-Mercado, Y. A.; Garcia-Cerda, L. A.; Mercado-Silva, J. A.; Castruita, G.","","","","CERAMICS INTERNATIONAL","APR 2014","2014","40","3","","","","4155","4161","","10.1016/j.ceramint.2013.08.072","","","21","1.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","1","5","2","2","4","0","1","0"
"Ultrasound Irradiation Coating of Silver Nanoparticle on ABS Sheet Surface","Avila-Alfaro, J. A.; Sanchez-Valdes, S.; Ramos-deValle, L. F.; Ortega-Ortiz, H.; Mendez-Nonell, J.; Patino-Soto, A. P.; Narro-Cespedes, R. I.; Perera-Mercado, Y. A.; Avalos-Belmontes, F.","","","","JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS","MAY 2013","2013","23","3","","","","673","683","","10.1007/s10904-013-9832-y","","","21","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","5","2","1","5","2","0","1"
"PBI/Clinoptilolite mixed-matrix membranes for binary (N<sub>2</sub>/CH<sub>4</sub>) and ternary (CO<sub>2</sub>/N<sub>2</sub>/CH<sub>4</sub>) mixed gas separation","Montes Luna, Angel de J.; Fuentes Lopez, Nidia C.; Castruita de Leon, Griselda; Perez Camacho, Odilia; Yeverino Miranda, Claudia Y.; Perera Mercado, Yibran A.","","","","JOURNAL OF APPLIED POLYMER SCIENCE","APR 10 2021","2021","138","14","","","","","","e50155","10.1002/app.50155","","","14","2.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","4","1"
"Chemical Modification of Carbon Nanofibers with Plasma of Acrylic Acid","Neira-Velazquez, Maria G.; Hernandez-Hernandez, Ernesto; Ramos-deValle, Luis F.; Avila-Orta, Carlos A.; Perera-Mercado, Yibran A.; Solis-Rosales, Silvia G.; Gonzalez-Morones, Pablo; Ponce-Pedraza, Arturo; Avalos-Borja, Miguel; Narro-Cespedes, Rosa I.; Bartolo-Perez, Pascual","","","","PLASMA PROCESSES AND POLYMERS","JUL 2013","2013","10","7","","","","627","633","","10.1002/ppap.201200122","","","14","1.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","4","0","3","1","1","1","0"
"Estimation of Surface Free Energy of Poly(lactic acid) During UV-Grafting with N-Vinylpyrrolidone","Gutierrez-Villarreal, Mario H.; Rodriguez-Gonzalez, Francisco J.; Perera-Mercado, Yibran","","","","MACROMOLECULAR SYMPOSIA","AUG 2017","2017","374","1","","","SI","","","1600130","10.1002/masy.201600130","3rd Macromex Conference together with the 27th National Meeting of the Mexican-Polymer-Society (MPS)","DEC 03-06, 2014","10","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","2","1"
