Perez-Sanchez, Alfonso (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Protective effects of citrus and rosemary extracts on UV-induced damage in skin cell model and human volunteers","Perez-Sanchez, A.; Barrajon-Catalan, E.; Caturla, N.; Castillo, J.; Benavente-Garcia, O.; Alcaraz, M.; Micol, V.","","","","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY","JUL 5 2014","2014","136","","","","","12","18","","10.1016/j.jphotobiol.2014.04.007","","","103","9.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","14","11","10","7","19","10","10","5","3"
"Nanocarbon-Based Glycoconjugates as Multivalent Inhibitors of Ebola Virus Infection","Rodriguez-Perez, Laura; Ramos-Soriano, Javier; Perez-Sanchez, Alfonso; Illescas, Beatriz M.; Munoz, Antonio; Luczkowiak, Joanna; Lasala, Fatima; Rojo, Javier; Delgado, Rafael; Martin, Nazario","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","AUG 8 2018","2018","140","31","","","","9891","9898","","10.1021/jacs.8b03847","","","47","6.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","7","16","11","3","2"
"Fatigue behaviour and equivalent diameter of single Ti-6Al-4V struts fabricated by Electron Bean Melting orientated to porous lattice structures","Perez-Sanchez, A.; Yanez, A.; Cuadrado, A.; Martel, O.; Nuno, N.","","","","MATERIALS & DESIGN","OCT 5 2018","2018","155","","","","","106","115","","10.1016/j.matdes.2018.05.066","","","27","3.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","6","7","3","3"
"Inhibition of the Replication of Different Strains of Chikungunya Virus by 3-Aryl-[1,2,3]triazolo[4,5-<i>d</i>]pyrimidin-7(6<i>H</i>)-ones","Gomez-SanJuan, Asier; Gamo, Ana-Maria; Delang, Leen; Perez-Sanchez, Alfonso; Amrun, Siti Naqiah; Abdelnabi, Rana; Jacobs, Sofie; Priego, Eva-Maria; Camarasa, Maria-Jose; Jochmans, Dirk; Leyssen, Pieter; Ng, Lisa F. P.; Querat, Gilles; Neyts, Johan; Perez-Perez, Maria Jesus","","","","ACS INFECTIOUS DISEASES","APR 2018","2018","4","4","","","SI","605","619","","10.1021/acsinfecdis.7b0219","","","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","7","2","2","1"
"Cyclooctyne [60]fullerene hexakis adducts: a globular scaffold for copper-free click chemistry","Ramos-Soriano, Javier; Reina, Jose J.; Perez-Sanchez, Alfonso; Illescas, Beatriz M.; Rojo, Javier; Martin, Nazario","","","","CHEMICAL COMMUNICATIONS","2016","2016","52","69","","","","10544","10546","","10.1039/c6cc05484f","","","18","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","2","2","7","0","0"
"Numerical design and analysis of a langevin power ultrasonic transducer for acoustic cavitation generation","Perez-Sanchez, Alfonso; Segura, J. A.; Rubio-Gonzalez, C.; Baldenegro-Perez, Leonardo A.; Soto-Cajiga, J. A.","","","","SENSORS AND ACTUATORS A-PHYSICAL","AUG 15 2020","2020","311","","","","","","","112035","10.1016/j.sna.2020.112035","","","16","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","4","4"
"Multivalent cationic dendrofullerenes for gene transfer: synthesis and DNA complexation","Illescas, Beatriz M.; Perez-Sanchez, Alfonso; Mallo, Araceli; Martin-Domenech, Angel; Rodriguez-Crespo, Ignacio; Martin, Nazario","","","","JOURNAL OF MATERIALS CHEMISTRY B","MAY 28 2020","2020","8","20","","","","4505","4515","","10.1039/d0tb00113a","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","1","3","0"
"Topological and Multivalent Effects in Glycofullerene Oligomers as EBOLA Virus Inhibitors","Ramos-Soriano, Javier; Illescas, Beatriz M.; Perez-Sanchez, Alfonso; Sanchez-Bento, Raquel; Lasala, Fatima; Rojo, Javier; Delgado, Rafael; Martin, Nazario","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","MAY 2022","2022","23","9","","","","","","5083","10.3390/ijms23095083","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","1"
"An Ultra-Long-Lived Triplet Excited State in Water at Room Temperature: Insights on the Molecular Design of Tridecafullerenes","Ramos-Soriano, Javier; Perez-Sanchez, Alfonso; Ramirez-Barroso, Sergio; Illescas, Beatriz M.; Azmani, Khalid; Rodriguez-Fortea, Antonio; Poblet, Josep M.; Hally, Cormac; Nonell, Santi; Garcia-Fresnadillo, David; Rojo, Javier; Martin, Nazario","","","","ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","JUL 12 2021","2021","60","29","","","","16109","16118","","10.1002/anie.202104223","","","6","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0"
"Deposition of carbon nanotubes onto glass fibers using ultrasound standing waves","Rodriguez-Gonzalez, Julio Alejandro; Rubio-Gonzalez, Carlos; Perez-Sanchez, Alfonso","","","","FRONTIERS OF MATERIALS SCIENCE","SEP 2021","2021","15","3","","","","471","475","","10.1007/s11706-021-0562-8","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
