Perez-Torres, Claudia-Anahi (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Phosphate Availability Alters Lateral Root Development in <i>Arabidopsis</i> by Modulating Auxin Sensitivity via a Mechanism Involving the TIR1 Auxin Receptor","Perez-Torres, Claudia-Anahi; Lopez-Bucio, Jose; Cruz-Ramirez, Alfredo; Ibarra-Laclette, Enrique; Dharmasiri, Sunethra; Estelle, Mark; Herrera-Estrella, Luis","","","","PLANT CELL","DEC 2008","2008","20","12","","","","3258","3272","","10.1105/tpc.108.058719","","","418","24.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","21","31","26","36","35","23","29","22","23","26","27","28","39","26","16"
"Architecture and evolution of a minute plant genome","Ibarra-Laclette, Enrique; Lyons, Eric; Hernandez-Guzman, Gustavo; Anahi Perez-Torres, Claudia; Carretero-Paulet, Lorenzo; Chang, Tien-Hao; Lan, Tianying; Welch, Andreanna J.; Abraham Juarez, Maria Jazmin; Simpson, June; Fernandez-Cortes, Araceli; Arteaga-Vazquez, Mario; Gongora-Castillo, Elsa; Acevedo-Hernandez, Gustavo; Schuster, Stephan C.; Himmelbauer, Heinz; Minoche, Andre E.; Xu, Sen; Lynch, Michael; Oropeza-Aburto, Araceli; Alan Cervantes-Perez, Sergio; de Jesus Ortega-Estrada, Maria; Israel Cervantes-Luevano, Jacob; Michael, Todd P.; Mockler, Todd; Bryant, Douglas; Herrera-Estrella, Alfredo; Albert, Victor A.; Herrera-Estrella, Luis","","","","NATURE","JUN 6 2013","2013","498","7452","","","","94","+","","10.1038/nature12132","","","251","20.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","28","25","25","31","26","22","24","27","14","11","10"
"Translational regulation of <i>Arabidopsis XIPOTL1</i> is modulated by phosphocholine levels via the phylogenetically conserved upstream open reading frame 30","Alatorre-Cobos, Fulgencio; Cruz-Ramirez, Alfredo; Hayden, Celine A.; Perez-Torres, Claudia-Anahi; Chauvin, Anne-Laure; Ibarra-Laclette, Enrique; Alva-Cortes, Erika; Jorgensen, Richard A.; Herrera-Estrella, Luis","","","","JOURNAL OF EXPERIMENTAL BOTANY","SEP 2012","2012","63","14","","","","5203","5221","","10.1093/jxb/ers180","","","53","4.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","3","3","4","8","8","7","3","4","1"
"Transcriptomics and molecular evolutionary rate analysis of the bladderwort (<i>Utricularia</i>), a carnivorous plant with a minimal genome","Ibarra-Laclette, Enrique; Albert, Victor A.; Perez-Torres, Claudia A.; Zamudio-Hernandez, Flor; Ortega-Estrada, Maria de J.; Herrera-Estrella, Alfredo; Herrera-Estrella, Luis","","","","BMC PLANT BIOLOGY","JUN 3 2011","2011","11","","","","","","","101","10.1186/1471-2229-11-101","","","49","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","4","8","6","4","4","3","6","0","2","4","0"
"Deep sequencing of the Mexican avocado transcriptome, an ancient angiosperm with a high content of fatty acids","Ibarra-Laclette, Enrique; Mendez-Bravo, Alfonso; Anahi Perez-Torres, Claudia; Albert, Victor A.; Mockaitis, Keithanne; Kilaru, Aruna; Lopez-Gomez, Rodolfo; Israel Cervantes-Luevano, Jacob; Herrera-Estrella, Luis","","","","BMC GENOMICS","AUG 13 2015","2015","16","","","","","","","599","10.1186/s12864-015-1775-y","","","43","4.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","13","3","9","3","4","1"
"Functional analysis of the <i>Arabidopsis PLDZ2</i> promoter reveals an evolutionarily conserved low-Pi-responsive transcriptional enhancer element","Oropeza-Aburto, Araceli; Cruz-Ramirez, Alfredo; Acevedo-Hernandez, Gustavo J.; Perez-Torres, Claudia-Anahi; Caballero-Perez, Juan; Herrera-Estrella, Luis","","","","JOURNAL OF EXPERIMENTAL BOTANY","MAR 2012","2012","63","5","","","","2189","2202","","10.1093/jxb/err446","","","34","2.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","4","6","1","3","1","1","2","2","1","3"
"Phosphorus: Plant Strategies to Cope with its Scarcity","Sanchez-Calderon, Lenin; Chacon-Lopez, Alejandra; Perez-Torres, Claudia-Anahi; Herrera-Estrella, Luis","","","Hell, R; Mendel, RR","CELL BIOLOGY OF METALS AND NUTRIENTS","2010","2010","17","","","","","173","198","","10.1007/978-3-642-10613-2_8","","","25","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","1","2","2","1","4","2","2","2","1","1"
"An improved, low-cost, hydroponic system for growing Arabidopsis and other plant species under aseptic conditions","Alatorre-Cobos, Fulgencio; Calderon-Vazquez, Carlos; Ibarra-Laclette, Enrique; Yong-Villalobos, Lenin; Perez-Torres, Claudia-Anahi; Oropeza-Aburto, Araceli; Mendez-Bravo, Alfonso; Gonzalez-Morales, Sandra-Isabel; Gutierrez-Alanis, Dolores; Chacon-Lopez, Alejandra; Pena-Ocana, Betsy-Anaid; Herrera-Estrella, Luis","","","","BMC PLANT BIOLOGY","MAR 21 2014","2014","14","","","","","","","69","10.1186/1471-2229-14-69","","","24","2.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","2","2","4","3","2","3","1"
"<i>De novo</i> sequencing and analysis of <i>Lophophora williamsii</i> transcriptome, and searching for putative genes involved in mescaline biosynthesis","Ibarra-Laclette, Enrique; Zamudio-Hernandez, Flor; Anahi Perez-Torres, Claudia; Albert, Victor A.; Ramirez-Chavez, Enrique; Molina-Torres, Jorge; Fernandez-Cortes, Araceli; Calderon-Vazquez, Carlos; Luis Olivares-Romero, Jose; Herrera-Estrella, Alfredo; Herrera-Estrella, Luis","","","","BMC GENOMICS","SEP 2 2015","2015","16","","","","","","","657","10.1186/s12864-015-1821-9","","","14","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","1","0","4","2","1","1"
"Environmental pH modulates transcriptomic responses in the fungus <i>Fusarium</i> sp associated with KSHB <i>Euwallacea</i> sp near <i>fornicatus</i>","Sanchez-Rangel, Diana; Hernandez-Dominguez, Eric-Edmundo; Perez-Torres, Claudia-Anahi; Ortiz-Castro, Randy; Villafan, Emanuel; Rodriguez-Haas, Benjamin; Alonso-Sanchez, Alexandra; Lopez-Buenfil, Abel; Carrillo-Ortiz, Nayeli; Hernandez-Ramos, Lervin; Ibarra-Laclette, Enrique","","","","BMC GENOMICS","OCT 1 2018","2018","19","","","","","","","721","10.1186/s12864-018-5083-1","","","13","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","2","2","2"
