Hiram Ponce (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"UP-Fall Detection Dataset: A Multimodal Approach","Martinez-Villasenor, Lourdes; Ponce, Hiram; Brieva, Jorge; Moya-Albor, Ernesto; Nunez-Martinez, Jose; Penafort-Asturiano, Carlos","","","","SENSORS","MAY 1 2019","2019","19","9","","","","","","1988","10.3390/s19091988","","","181","30.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","27","33","52","41","24"
"A vision-based approach for fall detection using multiple cameras and convolutional neural networks: A case study using the UP-Fall detection dataset","Espinosa, Ricardo; Ponce, Hiram; Gutierrez, Sebastian; Martinez-Villasenor, Lourdes; Brieva, Jorge; Moya-Albor, Ernesto","","","","COMPUTERS IN BIOLOGY AND MEDICINE","DEC 2019","2019","115","","","","","","","103520","10.1016/j.compbiomed.2019.103520","","","67","11.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","23","15","7"
"A Novel Wearable Sensor-Based Human Activity Recognition Approach Using Artificial Hydrocarbon Networks","Ponce, Hiram; de Lourdes Martinez-Villasenor, Maria; Miralles-Pechuan, Luis","","","","SENSORS","JUL 2016","2016","16","7","","","","","","1033","10.3390/s16071033","","","42","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","8","6","5","6","4","4"
"Artificial Organic Networks","Ponce, Hiram; Ponce, Pedro","","","","2011 IEEE ELECTRONICS, ROBOTICS AND AUTOMOTIVE MECHANICS CONFERENCE (CERMA 2011)","2011","2011","","","","","","29","34","","10.1109/CERMA.2011.12","IEEE Electronics, Robotics and Automotive Mechanics Conference (CERMA)","NOV 15-18, 2011","28","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","0","1","6","3","8","1","1","1","0"
"Adaptive noise filtering based on artificial hydrocarbon networks: An application to audio signals","Ponce, Hiram; Ponce, Pedro; Molina, Arturo","","","","EXPERT SYSTEMS WITH APPLICATIONS","OCT 15 2014","2014","41","14","","","","6512","6523","","10.1016/j.eswa.2013.12.040","","","26","2.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","5","4","4","1","2","2","1"
"A Contactless Respiratory Rate Estimation Method Using a Hermite Magnification Technique and Convolutional Neural Networks","Brieva, Jorge; Ponce, Hiram; Moya-Albor, Ernesto","","","","APPLIED SCIENCES-BASEL","JAN 2020","2020","10","2","","","","","","607","10.3390/app10020607","","","25","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","7","6","1"
"Doubly fed induction generator (DFIG) wind turbine controlled by artificial organic networks","Ponce, Pedro; Ponce, Hiram; Molina, Arturo","","","","SOFT COMPUTING","MAY 2018","2018","22","9","","","","2867","2879","","10.1007/s00500-017-2537-3","","","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","4","1","1","2"
"The Development of an Artificial Organic Networks Toolkit for LabVIEW","Ponce, Hiram; Ponce, Pedro; Molina, Arturo","","","","JOURNAL OF COMPUTATIONAL CHEMISTRY","MAR 15 2015","2015","36","7","","","","478","492","","10.1002/jcc.23818","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","6","4","3","0","1","1","0"
"A novel robust liquid level controller for coupled-tanks systems using artificial hydrocarbon networks","Ponce, Hiram; Ponce, Pedro; Bastida, Hector; Molina, Arturo","","","","EXPERT SYSTEMS WITH APPLICATIONS","DEC 1 2015","2015","42","22","","","","8858","8867","","10.1016/j.eswa.2015.07.041","","","21","2.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","4","6","0","1","1","0"
"Artificial Hydrocarbon Networks Fuzzy Inference System","Ponce, Hiram; Ponce, Pedro; Molina, Arturo","","","","MATHEMATICAL PROBLEMS IN ENGINEERING","2013","2013","2013","","","","","","","531031","10.1155/2013/531031","","","20","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1","4","5","4","0","1","0","0"
