Quej-Ake, L. M. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Analysis of the Physicochemical, Mechanical, and Electrochemical Parameters and Their Impact on the Internal and External SCC of Carbon Steel Pipelines","Quej-Ake, Luis Manuel; Rivera-Olvera, Jesus Noe; Dominguez-Aguilar, Yureel del Rosario; Avelino-Jimenez, Itzel Ariadna; Garibay-Febles, Vicente; Zapata-Penasco, Icoquih","","","","MATERIALS","DEC 2020","2020","13","24","","","","","","5771","10.3390/ma13245771","","","13","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","3"
"Electrochemical study of the corrosion rate of API steels in clay soils","Quej-Ake, L. M.; Marin-Cruz, J.; Contreras, A.","","","","ANTI-CORROSION METHODS AND MATERIALS","2017","2017","64","1","","","","61","68","","10.1108/ACMM-03-2015-1512","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","1","4","1","0"
"Electrochemical study on the corrosion rate of X52 steel exposed to different soils","Quej-Ake, L. M.; Contreras, A.","","","","ANTI-CORROSION METHODS AND MATERIALS","2018","2018","65","1","","","","97","106","","10.1108/ACMM-12-2016-1737","","","11","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","2","1"
"The effect of non-ionic surfactant on the internal corrosion for X52 steel in extra-heavy crude oil-in-water emulsions","Quej-Ake, L. M.; Contreras, A.; Aburto, Jorge","","","","ANTI-CORROSION METHODS AND MATERIALS","2018","2018","65","3","","","","234","248","","10.1108/ACMM-03-2017-1770","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","1","1"
"Assessment on external corrosion rates for API pipeline steels exposed to acidic sand-clay soil","Quej-Ake, L. M.; Contreras, A.; Liu, H. B.; Alamilla, J. L.; Sosa, E.","","","","ANTI-CORROSION METHODS AND MATERIALS","2018","2018","65","3","","","","281","291","","10.1108/ACMM-12-2017-1874","","","10","1.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","2","0"
"The effect of the hydrodynamic and temperature on corrosion rate of API steels exposed to oilfield produced water","Manuel Quej-Ake, Luis; Contreras, Antonio; Liu, Hongbo; Alamilla, Jorge L.; Sosa, Eliceo","","","","ANTI-CORROSION METHODS AND MATERIALS","JAN 7 2019","2019","66","1","","","","101","114","","10.1108/ACMM-06-2018-1959","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","1"
"STRESS-CORROSION-CRACKING ASSESSMENT OF X52 PIPELINE STEEL EXPOSED TO MEXICAN SOILS","Rafael Lizarraga, Carlos; Perez, Tezozomoc; Galvan-Martinez, Ricardo; Manuel Quej-Ake, Luis; Contreras, Antonio","","","","MATERIALI IN TEHNOLOGIJE","2019","2019","53","1","","","","81","86","","10.17222/mit.2018.018","","","4","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1"
"Assessment of corrosivity of emulsions from a petroleum sample on X80 steel","Manuel Quej-Ake, Luis; Garcia Jimenez, Sergio; Liu, Hongbo; Alamilla, J. L.; Angeles-Chavez, Carlos","","","","ANTI-CORROSION METHODS AND MATERIALS","FEB 18 2022","2022","69","2","","","","131","140","","10.1108/ACMM-06-2021-2492","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Corrosion testing of X52 and X80 steels immersed in stimulated emulsions using a real petroleum sample","Quej-Ake, L. M.; Alamilla, J. L.; Contreras, A.","","","","PETROLEUM RESEARCH","JUN 2024","2024","9","2","","","","304","316","","10.1016/j.ptlrs.2024.01.002","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Electrochemical and Gravimetric Study on Corrosion Inhibition of Carbon Steels Exposed to Oilfield Produced Water","Quej-Ake, L. M.; Alamilla, J. L.; Contreras, A.","","","","JOURNAL OF THE MEXICAN CHEMICAL SOCIETY","2023","2023","67","4","","","SI","371","384","","10.29356/jmcs.v67i4.1937","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
