Ramos-Cerrillo, Blanca (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Characterization of a new polyvalent antivenom (Antivipmyn® Africa) against African vipers and elapids","Ramos-Cerrillo, Blanca; de Roodt, Adolfo R.; Chippaux, Jean-Philippe; Olguin, Laura; Casasola, Andrea; Guzman, Guadalupe; Paniagua-Solis, Jorge; Alagon, Alejandro; Stock, Roberto P.","","","","TOXICON","DEC 15 2008","2008","52","8","","","","881","888","","10.1016/j.toxicon.2008.09.002","","","70","4.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","6","5","5","4","7","3","3","3","2","6","8","4","4","2"
"Genetic and enzymatic characterization of sphingomyelinase D isoforms from the North American fiddleback spiders <i>Loxosceles boneti</i> and <i>Loxosceles reclusa</i>","Ramos-Cerrillo, B; Olvera, A; Odell, GV; Zamudio, F; Paniagua-Solís, J; Alagón, A; Stock, RP","","","","TOXICON","OCT 2004","2004","44","5","","","","507","514","","10.1016/j.toxicon.2004.06.013","","","64","3.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","7","6","7","4","5","2","3","3","2","3","1","2","1","3","0","2","2","0"
"North and South American <i>Loxosceles</i> spiders:: Development of a polyvalent antivenom with recombinant sphingomyelinases D as antigens","Olvera, Alejandro; Ramos-Cerrillo, Blanca; Estevez, Judith; Clement, Herlinda; de Roodt, Adolfo; Paniagua-Solis, Jorge; Vazquez, Hilda; Zavaleta, Alfonso; Arruz, Maria Salas; Stock, Roberto P.; Alagon, Alejandro","","","","TOXICON","JUL 2006","2006","48","1","","","","64","74","","10.1016/j.toxicon.2006.04.010","","","56","2.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","6","2","4","3","4","4","2","0","1","1","4","8","4","6","2","1"
"Paraspecific neutralization of the venom of African species of cobra by an equine antiserum against <i>Naja melanoleuca</i>: A comparative study","Casasola, Andrea; Ramos-Cerrillo, Blanca; de Roodt, Adolfo R.; Carbajal Saucedo, Alejandro; Chippaux, Jean-Philippe; Alagon, Alejandro; Stock, Roberto P.","","","","TOXICON","MAY 2009","2009","53","6","","","","602","608","","10.1016/j.toxicon.2009.01.011","","","54","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","1","6","1","2","2","4","4","3","7","5","5","2","3"
"Effectiveness of two common antivenoms for North, Central, and South American <i>Micrurus</i> envenomations","de Roodt, AR; Paniagua-Solis, JF; Dolab, JA; Estévez-Ramiréz, J; Ramos-Cerrillo, B; Litwin, S; Dokmetjian, JC; Alagón, A","","","","JOURNAL OF TOXICOLOGY-CLINICAL TOXICOLOGY","2004","2004","42","2","","","","171","178","","10.1081/CLT-120030943","","","39","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","2","2","3","3","2","2","0","4","1","3","4","3","2","0","1","2"
"Upregulation of IL-6, IL-8, CXCL1, and CXCL2 dominates gene expression in human fibroblast cells exposed to loxosceles reclusa sphingomyelinase D: Insights into spider venom dermonecrosis","Dragulev, Bojan; Bao, Yongde; Ramos-Cerrillo, Blanca; Vazquez, Hilda; Olvera, Alejandro; Stock, Roberto; Algaron, Alejandro; Fox, Jay W.","","","","JOURNAL OF INVESTIGATIVE DERMATOLOGY","MAY 2007","2007","127","5","","","","1264","1266","","10.1038/sj.jid.5700644","","","28","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","3","1","4","1","1","2","1","0","1","3","0","3","4","1"
"Sphingomyelinase D Activity in Model Membranes: Structural Effects of <i>in situ</i> Generation of Ceramide-1-Phosphate","Stock, Roberto P.; Brewer, Jonathan; Wagner, Kerstin; Ramos-Cerrillo, Blanca; Duelund, Lars; Jernshoj, Kit Drescher; Olsen, Lars Folke; Bagatolli, Luis A.","","","","PLOS ONE","APR 25 2012","2012","7","4","","","","","","e36003","10.1371/journal.pone.0036003","","","27","2.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","2","4","2","0","1","2","1","0","4","2"
"Neutralization of <i>Vipera</i> and <i>Macrovipera</i> venoms by two experimental polyvalent antisera: A study of paraspecificity","Archundia, Irving G.; de Roodt, Adolfo R.; Ramos-Cerrillo, Blanca; Chippaux, Jean-Philippe; Olguin-Perez, Laura; Alagon, Alejandro; Stock, Roberto P.","","","","TOXICON","JUN 2011","2011","57","7-8","","","","1049","1056","","10.1016/j.toxicon.2011.04.009","","","26","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","3","2","2","0","1","2","2","2","3","2","1"
"Study of the efficacy of the black stone on envenomation by snake bite in the murine model","Chippaux, Jean-Philippe; Ramos-Cerrillo, Blanca; Stock, Roberto P.","","","","TOXICON","APR 2007","2007","49","5","","","","717","720","","10.1016/j.toxicon.2006.11.002","","","18","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","1","0","0","1","3","1","2","1","3","1"
"Upregulation of cytokine expression in fibroblasts exposed to <i>Loxosceles</i> sphingomyelinase D:: What is the trigger? -: Response to Moolenaar <i>et al</i>.","Dragulev, Bojan; Bao, Yongde; Ramos-Cerrillo, Blanca; Vazquez, Hilda; Olvera, Alejandro; Stock, Roberto P.; Alagon, Alejandro; Fox, Jay W.","","","","JOURNAL OF INVESTIGATIVE DERMATOLOGY","MAY 2007","2007","127","5","","","","1267","1268","","10.1038/sj.jid.5700812","","","2","0.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
